"Player Details","","","","","","","Matchup","","","","","","Man","","","","","Cover 2","","","","","Cover 3","","","","","Cover 4","","","","","Cover 6","","","",""
"Rank","Name","Team","POS","G","Season","OPP","RTE","RTE/G","FP/RR","EXP FP/RTE","COV GRADE","YPRR","DEF MAN %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 2 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 3 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 4 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 6 %","DEF FP/DB","FP/RTE","RTE %","YPRR"
"20","Rome Odunze","CHI","WR","10","2025","PIT","299","29.9","0.45","0.49","10.4","1.98","35.9","0.47","0.69","23.4","2.43","12.7","0.45","0.39","13.4","1.65","32.2","0.24","0.35","39.8","1.45","12.2","0.16","0.58","12.7","3.92","7.0","0.66","0.20","10.7","1.09"
"21","Tyquan Thornton","KC","WR","10","2025","IND","165","16.5","0.43","0.48","12.7","2.25","30.2","0.46","0.42","35.2","1.93","17.3","0.37","0.88","7.9","2.69","28.4","0.28","0.49","26.1","2.84","14.7","0.20","0.07","18.2","0.33","9.5","0.33","0.54","12.7","4.43"
"22","Pat Freiermuth","PIT","TE","10","2025","CHI","140","14.0","0.42","0.47","11.5","1.87","30.4","0.63","0.15","32.9","0.89","23.9","0.42","1.13","13.6","5.53","30.7","0.45","0.27","20.0","1.29","10.7","0.63","0.44","18.6","2.08","4.3","0.02","0.55","15.0","1.24"
"23","Zay Flowers","BLT","WR","10","2025","NYJ","277","27.7","0.46","0.47","2.2","2.52","34.5","0.69","0.45","34.3","2.49","23.5","0.23","0.39","19.9","1.71","24.1","0.54","0.53","28.2","3.22","15.0","0.48","0.59","11.2","3.35","2.8","0.36","0.18","6.5","0.67"
"24","Chris Olave","NO","WR","10","2025","ATL","325","32.5","0.45","0.47","2.8","2.02","20.3","0.30","0.45","20.0","1.75","3.3","0.83","0.48","17.2","2.13","50.6","0.45","0.56","36.6","2.87","19.7","0.48","0.27","20.3","0.73","6.1","0.56","0.34","5.8","1.79"
"25","DeVonta Smith","PHI","WR","10","2025","DAL","298","29.8","0.42","0.47","11.7","2.19","16.8","0.88","0.30","28.9","1.70","24.6","0.42","0.78","18.1","3.87","39.6","0.50","0.43","30.9","2.14","11.8","0.52","0.18","15.8","0.70","7.2","0.26","0.46","6.4","3.58"
"26","Tucker Kraft","GB","TE","8","2025","MIN","183","22.9","0.60","0.46","-23.6","2.63","22.3","0.62","1.08","34.4","4.32","28.1","0.53","0.20","12.0","1.14","20.6","0.33","0.46","32.2","2.27","14.2","0.22","0.32","12.6","1.87","14.8","0.29","0.11","8.7","0.50"
"27","Trey McBride","ARZ","TE","10","2025","JAX","350","35.0","0.45","0.45","-1.3","1.93","20.3","0.81","0.37","18.3","1.31","10.2","0.27","0.24","11.4","1.18","32.8","0.30","0.41","38.0","1.88","15.6","0.57","0.67","22.6","2.57","21.1","0.22","0.51","9.7","2.74"
"28","Dallas Goedert","PHI","TE","9","2025","DAL","235","26.1","0.48","0.44","-8.1","1.51","16.8","0.88","0.81","26.8","0.97","24.6","0.42","0.49","18.7","1.91","39.6","0.50","0.32","32.3","1.66","11.8","0.52","0.33","15.3","1.61","7.2","0.26","0.29","6.8","1.69"
"29","Khalil Shakir","BUF","WR","10","2025","HST","246","24.6","0.44","0.44","1.7","1.85","19.0","0.48","0.34","32.1","1.39","9.9","0.17","0.20","13.4","1.09","32.2","0.25","0.64","35.0","2.72","24.3","0.37","0.52","11.8","2.14","14.6","0.29","0.17","7.7","0.63"
"30","Jake Tonges","SF","TE","11","2025","CAR","169","15.4","0.39","0.44","14.1","1.33","16.6","0.44","0.37","14.8","0.52","11.2","0.22","0.42","13.6","2.00","41.0","0.47","0.64","29.0","1.96","13.8","0.31","0.18","27.2","0.74","17.4","0.38","0.25","15.4","1.35"
"31","Noah Fant","CIN","TE","9","2025","NE","139","15.4","0.46","0.44","-5.9","1.83","28.5","0.79","0.29","22.3","0.29","21.0","0.25","0.57","36.7","2.20","28.2","0.34","0.47","21.6","2.70","19.5","0.36","0.46","10.1","1.71","2.8","0.12","0.45","9.4","2.23"
"32","Justin Jefferson","MIN","WR","10","2025","GB","324","32.4","0.43","0.44","0.2","2.27","20.1","0.27","0.43","32.1","1.66","18.2","0.31","0.47","14.2","3.15","34.9","0.42","0.55","30.2","3.34","11.0","0.42","0.34","10.8","1.14","15.8","0.24","0.22","12.7","1.27"
"33","CeeDee Lamb","DAL","WR","7","2025","PHI","215","30.7","0.50","0.43","-13.3","2.59","28.2","0.46","0.56","27.9","3.08","4.1","0.56","0.78","19.1","4.34","30.4","0.35","0.47","27.0","2.07","15.6","0.40","0.27","14.9","1.44","21.6","0.31","0.28","11.2","1.17"
"34","Tyler Warren","IND","TE","10","2025","KC","280","28.0","0.44","0.43","-2.3","2.19","26.2","0.27","0.23","21.1","0.64","20.2","0.28","0.21","13.9","1.05","30.9","0.48","0.71","30.0","3.80","16.4","0.35","0.60","22.5","3.25","6.3","0.39","0.08","12.5","0.26"
"35","Marquise Brown","KC","WR","10","2025","IND","232","23.2","0.45","0.43","-5.8","1.85","30.2","0.46","0.65","35.8","1.88","17.3","0.37","0.25","5.6","0.92","28.4","0.28","0.38","27.2","2.33","14.7","0.20","0.31","21.1","1.49","9.5","0.33","0.38","10.3","1.71"
"36","Mark Andrews","BLT","TE","10","2025","NYJ","185","18.5","0.45","0.42","-4.9","1.48","34.5","0.69","0.66","38.9","2.17","23.5","0.23","0.17","16.2","0.73","24.1","0.54","0.41","29.7","1.36","15.0","0.48","0.35","8.6","1.00","2.8","0.36","0.13","6.5","0.42"
"37","Ricky Pearsall","SF","WR","5","2025","CAR","142","28.4","0.38","0.41","9.3","2.30","16.6","0.44","0.58","19.0","3.93","11.2","0.22","0.17","12.0","0.53","41.0","0.47","0.59","26.1","3.73","13.8","0.31","0.34","24.6","1.97","17.4","0.38","0.06","18.3","0.19"
"38","Harold Fannin","CLV","TE","10","2025","LV","240","24.0","0.41","0.41","-0.1","1.76","13.0","0.65","0.43","39.2","1.56","15.5","0.37","0.39","14.2","1.56","47.3","0.46","0.44","25.0","2.35","16.1","0.26","0.37","10.8","1.81","8.2","0.27","0.32","10.8","1.31"
"39","Jake Ferguson","DAL","TE","10","2025","PHI","278","27.8","0.44","0.40","-7.7","1.35","28.2","0.46","0.40","29.1","0.78","4.1","0.56","0.53","18.3","2.37","30.4","0.35","0.61","27.3","1.67","15.6","0.40","0.21","11.9","0.91","21.6","0.31","0.22","13.3","0.89"
"40","Gunnar Helm","TEN","TE","10","2025","SEA","133","13.3","0.39","0.40","2.4","1.62","16.4","0.46","0.41","21.1","0.93","13.4","0.28","0.34","15.8","1.52","32.6","0.30","0.49","33.8","2.44","17.7","0.45","0.20","20.3","0.93","19.9","0.33","0.44","9.0","1.92"
"41","Keon Coleman","BUF","WR","9","2025","HST","219","24.3","0.37","0.40","6.1","1.51","19.0","0.48","0.39","32.4","1.52","9.9","0.17","0.55","11.0","1.38","32.2","0.25","0.26","37.4","1.27","24.3","0.37","0.53","11.0","1.96","14.6","0.29","0.38","8.2","2.11"
"42","Josh Downs","IND","WR","9","2025","KC","191","21.2","0.40","0.40","0.1","1.55","26.2","0.27","0.57","26.2","1.46","20.2","0.28","0.34","15.2","1.69","30.9","0.48","0.34","30.4","1.66","16.4","0.35","0.33","17.3","1.45","6.3","0.39","0.34","11.0","1.48"
"43","Romeo Doubs","GB","WR","10","2025","MIN","254","25.4","0.40","0.40","-1.6","1.86","22.3","0.62","0.39","31.5","1.26","28.1","0.53","0.37","10.2","2.58","20.6","0.33","0.42","28.7","1.85","14.2","0.22","0.51","15.0","3.00","14.8","0.29","0.31","14.6","1.49"
"44","AJ Barner","SEA","TE","10","2025","TEN","174","17.4","0.39","0.39","1.2","1.57","20.5","0.65","0.59","24.7","1.23","13.7","0.27","0.73","8.6","3.27","28.3","0.33","0.32","35.1","2.08","21.7","0.46","0.19","21.3","0.84","15.8","0.51","0.24","10.3","0.78"
"45","Tee Higgins","CIN","WR","10","2025","NE","318","31.8","0.40","0.39","-3.1","1.65","28.5","0.79","0.71","25.8","2.50","21.0","0.25","0.15","29.9","0.89","28.2","0.34","0.19","20.8","0.97","19.5","0.36","0.43","11.3","1.78","2.8","0.12","0.71","12.3","2.74"
"46","Matthew Golden","GB","WR","9","2025","MIN","177","19.7","0.29","0.39","33.2","1.63","22.3","0.62","0.22","32.8","1.52","28.1","0.53","0.72","11.3","5.15","20.6","0.33","0.20","29.4","0.83","14.2","0.22","0.20","16.4","0.66","14.8","0.29","0.48","10.2","2.00"
