"Player Details","","","","","","","Matchup","","","","","","Man","","","","","Cover 2","","","","","Cover 3","","","","","Cover 4","","","","","Cover 6","","","",""
"Rank","Name","Team","POS","G","Season","OPP","RTE","RTE/G","FP/RR","EXP FP/RTE","COV GRADE","YPRR","DEF MAN %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 2 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 3 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 4 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 6 %","DEF FP/DB","FP/RTE","RTE %","YPRR"
"83","Dontayvion Wicks","GB","WR","8","2025","MIN","134","16.8","0.27","0.28","5.0","1.35","22.3","0.62","0.35","29.1","1.67","28.1","0.53","0.33","12.7","1.53","20.6","0.33","0.31","20.1","1.59","14.2","0.22","0.22","17.9","1.38","14.8","0.29","0.13","20.1","0.52"
"84","Dyami Brown","JAX","WR","9","2025","ARZ","166","18.4","0.28","0.28","-0.3","1.32","19.0","0.98","0.34","18.7","0.77","15.3","0.31","0.05","11.4","-0.05","29.5","0.27","0.27","45.8","1.64","28.9","0.29","0.34","15.1","1.44","7.4","0.18","0.43","9.0","2.33"
"85","Dawson Knox","BUF","TE","10","2025","HST","156","15.6","0.24","0.28","18.8","1.14","19.0","0.48","0.04","31.4","0.16","9.9","0.17","0.10","14.1","0.55","32.2","0.25","0.41","41.0","2.03","24.3","0.37","0.31","10.9","1.29","14.6","0.29","0.40","2.6","1.50"
"86","Calvin Austin","PIT","WR","8","2025","CHI","170","21.3","0.32","0.28","-11.3","1.28","30.4","0.63","0.49","32.4","1.60","23.9","0.42","0.11","16.5","0.36","30.7","0.45","0.18","18.8","0.50","10.7","0.63","0.38","16.5","2.36","4.3","0.02","0.29","15.9","1.37"
"87","Parker Washington","JAX","WR","10","2025","ARZ","210","21.0","0.30","0.27","-7.4","1.62","19.0","0.98","0.34","21.4","2.04","15.3","0.31","0.32","12.9","1.33","29.5","0.27","0.39","39.0","2.17","28.9","0.29","0.16","19.0","0.85","7.4","0.18","0.00","7.6",""
"88","Cade Otton","TB","TE","10","2025","LA","279","27.9","0.26","0.27","5.5","1.29","19.3","0.50","0.15","27.6","0.68","18.3","0.23","0.46","15.1","2.43","39.2","0.38","0.22","31.5","1.17","14.4","0.18","0.25","17.6","1.29","8.9","0.10","0.43","8.2","1.74"
"89","Jayden Higgins","HST","WR","10","2025","BUF","182","18.2","0.28","0.27","-2.4","1.27","24.3","0.57","0.35","25.3","1.35","16.7","0.28","0.08","13.7","0.36","32.0","0.35","0.34","31.9","1.81","14.7","0.34","0.21","13.7","0.92","12.3","0.41","0.26","15.4","1.18"
"90","Mason Taylor","NYJ","TE","10","2025","BLT","252","25.2","0.26","0.26","0.2","1.08","36.9","0.50","0.24","21.8","0.18","14.0","0.39","0.21","21.0","0.92","32.7","0.35","0.28","35.3","1.48","6.1","0.49","0.24","11.5","1.07","10.3","0.19","0.38","10.3","1.88"
"91","T.J. Hockenson","MIN","TE","10","2025","GB","259","25.9","0.23","0.25","12.3","1.03","20.1","0.27","0.11","33.6","0.40","18.2","0.31","0.31","13.9","1.47","34.9","0.42","0.36","27.0","1.84","11.0","0.42","0.30","11.2","1.31","15.8","0.24","0.12","14.3","0.35"
"92","Sterling Shepard","TB","WR","10","2025","LA","251","25.1","0.28","0.25","-10.7","1.37","19.3","0.50","0.42","31.1","1.51","18.3","0.23","0.14","12.0","0.70","39.2","0.38","0.22","29.9","1.16","14.4","0.18","0.27","18.3","1.80","8.9","0.10","0.25","8.8","1.55"
"93","Xavier Hutchinson","HST","WR","10","2025","BUF","250","25.0","0.27","0.25","-7.3","1.06","24.3","0.57","0.52","27.6","1.41","16.7","0.28","0.07","10.8","0.30","32.0","0.35","0.20","31.2","1.13","14.7","0.34","0.17","12.4","0.71","12.3","0.41","0.22","18.0","1.09"
"94","Jonnu Smith","PIT","TE","10","2025","CHI","176","17.6","0.25","0.25","-2.3","0.83","30.4","0.63","0.26","31.3","0.38","23.9","0.42","0.31","12.5","1.32","30.7","0.45","0.16","27.3","0.58","10.7","0.63","0.28","14.2","1.24","4.3","0.02","0.33","14.8","1.42"
"95","Darius Slayton","NYG","WR","8","2025","DET","216","27.0","0.25","0.24","-5.5","1.57","39.4","0.61","0.13","21.3","0.61","12.4","0.26","0.24","19.0","1.41","28.4","0.37","0.45","30.6","2.97","17.2","0.49","0.18","16.2","1.20","2.6","0.32","0.13","13.0","0.57"
"96","Chimere Dike","TEN","WR","10","2025","SEA","174","17.4","0.28","0.24","-14.1","1.17","16.4","0.46","0.50","19.5","1.76","13.4","0.28","0.29","21.3","1.54","32.6","0.30","0.23","33.3","1.12","17.7","0.45","0.24","17.2","0.70","19.9","0.33","0.00","8.6",""
"97","Rashod Bateman","BLT","WR","9","2025","NYJ","199","22.1","0.24","0.23","-3.5","0.97","34.5","0.69","0.40","32.2","1.80","23.5","0.23","0.14","19.6","0.67","24.1","0.54","0.21","29.1","0.53","15.0","0.48","0.00","12.1","","2.8","0.36","0.30","7.0","1.57"
"98","Cole Kmet","CHI","TE","9","2025","PIT","163","18.1","0.24","0.23","-6.3","1.15","35.9","0.47","0.16","18.4","0.97","12.7","0.45","0.39","14.7","1.83","32.2","0.24","0.23","41.1","0.76","12.2","0.16","0.23","17.2","1.21","7.0","0.66","0.28","8.6","2.07"
"99","Michael Wilson","ARZ","WR","10","2025","JAX","314","31.4","0.23","0.23","-1.2","1.25","20.3","0.81","0.39","18.2","2.49","10.2","0.27","0.20","11.8","0.95","32.8","0.30","0.24","36.6","1.26","15.6","0.57","0.15","22.6","0.69","21.1","0.22","0.12","10.8","0.59"
"100","DJ Moore","CHI","WR","10","2025","PIT","289","28.9","0.24","0.23","-7.9","1.40","35.9","0.47","0.18","22.5","1.02","12.7","0.45","0.27","13.1","1.42","32.2","0.24","0.22","39.8","1.29","12.2","0.16","0.15","13.1","0.71","7.0","0.66","0.55","11.4","3.36"
"101","Jalen Tolbert","DAL","WR","10","2025","PHI","197","19.7","0.19","0.22","17.9","0.87","28.2","0.46","0.09","33.0","0.43","4.1","0.56","0.00","17.8","","30.4","0.35","0.39","29.4","1.81","15.6","0.40","0.07","7.1","","21.6","0.31","0.32","12.7","1.56"
"102","Xavier Legette","CAR","WR","9","2025","SF","239","26.6","0.26","0.22","-13.0","1.09","19.3","0.77","0.34","23.0","1.42","6.1","0.19","0.26","18.4","1.43","39.4","0.45","0.12","32.2","0.40","21.5","0.31","0.44","20.9","1.78","13.7","0.32","0.00","5.4",""
"103","Hunter Renfrow","CAR","WR","6","2025","SF","136","22.7","0.24","0.22","-6.6","0.53","19.3","0.77","0.52","27.2","0.59","6.1","0.19","0.07","17.6","0.29","39.4","0.45","0.14","30.1","0.63","21.5","0.31","0.16","19.9","0.44","13.7","0.32","0.21","5.1","0.71"
"104","KaVontae Turpin","DAL","WR","8","2025","PHI","136","17.0","0.24","0.22","-8.9","1.28","28.2","0.46","0.21","27.9","1.08","4.1","0.56","0.23","16.9","1.43","30.4","0.35","0.43","30.1","2.34","15.6","0.40","0.00","11.8","","21.6","0.31","0.08","13.2","0.22"
"105","Elic Ayomanor","TEN","WR","10","2025","SEA","288","28.8","0.20","0.21","6.9","1.10","16.4","0.46","0.15","20.1","0.78","13.4","0.28","0.09","19.4","0.36","32.6","0.30","0.31","32.3","1.85","17.7","0.45","0.10","15.6","0.53","19.9","0.33","0.29","12.5","1.56"
"106","Noah Gray","KC","TE","10","2025","IND","138","13.8","0.17","0.21","23.0","0.78","30.2","0.46","0.27","28.3","0.90","17.3","0.37","0.48","8.0","3.00","28.4","0.28","0.08","31.9","0.32","14.7","0.20","0.10","21.0","0.66","9.5","0.33","0.11","10.9","0.40"
"107","Christian Kirk","HST","WR","6","2025","BUF","141","23.5","0.20","0.21","1.5","0.98","24.3","0.57","0.22","27.7","0.95","16.7","0.28","0.09","12.8","0.33","32.0","0.35","0.40","29.1","2.00","14.7","0.34","0.00","13.5","","12.3","0.41","0.10","17.0","0.54"
"108","Cedric Tillman","CLV","WR","6","2025","LV","171","28.5","0.22","0.20","-10.5","0.96","13.0","0.65","0.27","40.4","0.97","15.5","0.37","0.13","8.8","0.60","47.3","0.46","0.24","25.1","1.44","16.1","0.26","0.08","10.5","0.22","8.2","0.27","0.20","15.2","0.85"
"109","Zay Jones","ARZ","WR","8","2025","JAX","152","19.0","0.20","0.19","-5.3","1.20","20.3","0.81","0.10","23.0","0.43","10.2","0.27","0.61","10.5","4.19","32.8","0.30","0.17","34.9","0.92","15.6","0.57","0.21","21.7","1.45","21.1","0.22","0.09","9.9","0.27"
"110","Van Jefferson","TEN","WR","10","2025","SEA","188","18.8","0.18","0.19","1.2","0.98","16.4","0.46","0.21","19.7","0.97","13.4","0.28","0.23","17.6","1.42","32.6","0.30","0.19","29.8","1.00","17.7","0.45","0.00","17.6","","19.9","0.33","0.30","15.4","1.59"
"111","Jalen Nailor","MIN","WR","10","2025","GB","233","23.3","0.21","0.18","-11.8","1.31","20.1","0.27","0.31","36.5","2.02","18.2","0.31","0.05","14.6","0.18","34.9","0.42","0.23","27.5","1.50","11.0","0.42","0.00","9.0","","15.8","0.24","0.21","12.4","1.10"
"112","Jordan Whittington","LA","WR","10","2025","TB","152","15.2","0.17","0.18","3.1","0.86","25.0","0.58","0.05","33.6","0.14","16.8","0.27","0.25","13.8","1.05","34.2","0.52","0.35","33.6","1.98","19.2","0.24","0.00","12.5","","4.7","0.55","0.00","6.6",""
"113","Kalif Raymond","DET","WR","10","2025","NYG","140","14.0","0.17","0.18","1.3","0.81","42.9","0.65","0.09","25.7","0.31","11.2","0.32","0.34","22.9","1.56","24.8","0.30","0.04","27.9","0.18","16.9","0.40","0.53","11.4","2.81","4.2","0.31","0.00","12.1",""
"114","Jerry Jeudy","CLV","WR","10","2025","LV","336","33.6","0.21","0.17","-15.6","0.99","13.0","0.65","0.27","39.3","1.37","15.5","0.37","0.03","13.7","0.13","47.3","0.46","0.19","24.4","0.51","16.1","0.26","0.11","11.6","0.56","8.2","0.27","0.35","11.0","2.16"
"115","Demarcus Robinson","SF","WR","8","2025","CAR","138","17.3","0.20","0.17","-16.3","1.12","16.6","0.44","0.17","21.0","1.03","11.2","0.22","0.42","12.3","2.41","41.0","0.47","0.11","28.3","0.54","13.8","0.31","0.27","27.5","1.68","17.4","0.38","0.06","10.9","-0.07"
"116","Darnell Mooney","ATL","WR","8","2025","NO","224","28.0","0.17","0.17","-3.6","1.00","24.1","0.70","0.18","30.4","1.21","7.4","0.50","0.10","20.1","0.51","41.5","0.48","0.19","27.7","1.10","19.3","0.26","0.05","9.8","0.09","7.7","0.48","0.33","12.1","1.81"
"117","Josh Reynolds","NYJ","WR","5","2025","BLT","151","30.2","0.14","0.15","9.0","0.67","36.9","0.50","0.17","20.5","0.74","14.0","0.39","0.09","23.2","0.34","32.7","0.35","0.18","31.1","0.94","6.1","0.49","0.12","10.6","0.56","10.3","0.19","0.10","14.6","0.59"
"118","Andrei Iosivas","CIN","WR","10","2025","NE","267","26.7","0.14","0.15","5.4","0.79","28.5","0.79","0.24","29.6","1.54","21.0","0.25","0.10","30.3","0.41","28.2","0.34","0.21","18.7","1.10","19.5","0.36","0.00","10.9","","2.8","0.12","0.00","10.5",""
"119","Tyler Lockett","TEN, LV","WR","10","2025","CLV","183","18.3","0.17","0.15","-13.6","0.77","39.1","0.63","0.06","24.0","0.36","18.4","0.30","0.20","13.7","0.76","29.3","0.19","0.21","31.7","0.84","6.9","0.25","0.24","15.8","1.34","6.3","0.81","0.18","14.8","0.67"
"120","Brandin Cooks","NO","WR","10","2025","ATL","257","25.7","0.14","0.14","-0.4","0.64","20.3","0.30","0.06","22.6","0.29","3.3","0.83","0.11","16.7","0.40","50.6","0.45","0.10","34.6","0.45","19.7","0.48","0.32","19.8","1.67","6.1","0.56","0.10","6.2","0.38"
"121","Jahan Dotson","PHI","WR","10","2025","DAL","208","20.8","0.17","0.13","-21.7","0.93","16.8","0.88","0.22","31.7","0.97","24.6","0.42","0.04","15.4","0.13","39.6","0.50","0.11","30.3","0.51","11.8","0.52","0.34","17.3","2.61","7.2","0.26","0.00","5.3",""
"122","Dont'e Thornton","LV","WR","9","2025","CLV","162","18.0","0.10","0.12","24.6","0.60","39.1","0.63","0.18","26.5","1.30","18.4","0.30","0.06","20.4","0.27","29.3","0.19","0.12","25.3","0.71","6.9","0.25","0.00","19.8","","6.3","0.81","0.11","8.0","0.31"
"123","Isaiah Bond","CLV","WR","9","2025","LV","197","21.9","0.12","0.10","-13.5","0.62","13.0","0.65","0.16","37.6","0.89","15.5","0.37","0.11","15.2","0.73","47.3","0.46","0.11","26.4","0.56","16.1","0.26","0.00","11.7","","8.2","0.27","0.14","9.1","0.33"
"124","David Sills","ATL","WR","10","2025","NO","143","14.3","0.05","0.07","26.4","0.24","24.1","0.70","0.00","29.4","","7.4","0.50","0.03","25.2","0.06","41.5","0.48","0.06","25.2","0.31","19.3","0.26","0.15","10.5","0.80","7.7","0.48","0.14","9.8","0.64"
"125","Arian Smith","NYJ","WR","10","2025","BLT","191","19.1","0.06","0.06","2.7","0.25","36.9","0.50","0.04","22.5","-0.09","14.0","0.39","0.00","20.4","","32.7","0.35","0.13","35.6","0.75","6.1","0.49","0.00","12.0","","10.3","0.19","0.00","9.4",""

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"OPP","Upcoming Opponent"
"RTE","Routes Run"
"RTE/G","Routes Run per Game"
"FP/RR","Fantasy Points per Route Run"
"EXP FP/RTE","Expected Matchup Fantasy Points Per Route Run"
"COV GRADE","Coverage Matchup Grade"
"DEF MAN %","Defense Man Coverage Rate"
"DEF FP/DB","Man Fantasy Points per Dropback"
"FP/RTE","Man Fantasy Points per Route Run"
"RTE %","Man Coverage Route Run Rate"
"DEF COVER 2 %","Defense Cover 2 Rate"
"DEF FP/DB","Cover 2 Fantasy Points per Dropback"
"FP/RTE","Cover 2 Fantasy Points per Route Run"
"RTE %","Cover 2 Routes Run Rate"
"DEF COVER 3 %","Defense Cover 3 Rate"
"DEF FP/DB","Cover 3 Fantasy Points per Dropback"
"FP/RTE","Cover 3 Fantasy Points per Route Run"
"RTE %","Cover 3 Routes Run Rate"
"DEF COVER 4 %","Defense Cover 4 Rate"
"DEF FP/DB","Cover 4 Fantasy Points per Dropback"
"FP/RTE","Cover 4 Fantasy Points per Route Run"
"RTE %","Cover 4 Routes Run Rate"
"DEF COVER 6 %","Defense Cover 6 Rate"
"DEF FP/DB","Cover 6 Fantasy Points per Dropback"
"FP/RTE","Cover 6 Fantasy Points per Route Run"
"RTE %","Cover 6 Routes Run Rate"
