"Player Details","","","","","","Snaps","","","Rushing","","","Receiving","","","","","","FPTS","","","","",""
"Rank","Name","Team","POS","G","Season","Snaps","TM Snaps","Snap %","ATT","TM ATT","ATT %","RTE","DB","RTE %","TGT","TM TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"38","Kareem Hunt","KC","RB","10","2025","275","640","43.0","86","259","33.2","109","417","26.1","12","333","3.3","80.0","767.1","10.4","8.0","9.4","93.9"
"39","Kyle Monangai","CHI","RB","10","2025","254","649","39.1","87","302","28.8","106","375","28.3","13","307","3.9","76.8","736.2","10.4","7.7","7.9","79.0"
"40","Tyrone Tracy","NYG","RB","9","2025","268","569","47.1","83","252","32.9","127","342","37.1","23","262","7.9","74.2","641.6","11.6","8.2","7.9","71.4"
"41","Omarion Hampton","LAC","RB","5","2025","233","318","73.3","66","119","55.5","117","210","55.7","21","171","11.5","73.5","374.1","19.6","14.7","15.4","77.0"
"42","Bam Knight","ARZ","RB","8","2025","174","525","33.1","53","186","28.5","77","358","21.5","17","287","5.5","73.1","664.7","11.0","9.1","7.1","56.7"
"43","Blake Corum","LA","RB","10","2025","166","623","26.6","75","270","27.8","51","356","14.3","10","324","2.9","69.1","784.1","8.8","6.9","4.4","43.7"
"44","Bucky Irving","TB","RB","4","2025","186","260","71.5","71","113","62.8","81","159","50.9","19","130","13.7","67.2","291.6","23.0","16.8","18.3","73.0"
"45","Isiah Pacheco","KC","RB","8","2025","296","521","56.8","78","225","34.7","128","330","38.8","17","261","6.0","66.4","596.7","11.1","8.3","7.5","60.2"
"46","Tyler Allgeier","ATL","RB","10","2025","172","611","28.2","77","269","28.6","51","355","14.4","8","303","2.4","66.4","689.1","9.6","6.6","8.0","79.6"
"47","Aaron Jones","MIN","RB","6","2025","173","316","54.7","52","125","41.6","93","200","46.5","21","162","12.3","60.4","341.0","17.7","10.1","10.3","61.8"
"48","Devin Singletary","NYG","RB","11","2025","169","708","23.9","60","323","18.6","71","418","17.0","10","320","2.8","59.1","799.7","7.4","5.4","4.5","49.3"
"49","Bhayshul Tuten","JAX","RB","10","2025","145","659","22.0","60","295","20.3","56","388","14.4","11","318","3.3","56.9","776.9","7.3","5.7","6.2","61.9"
"50","Jerome Ford","CLV","RB","10","2025","218","636","34.3","23","247","9.3","139","406","34.2","25","324","6.9","55.8","723.0","7.7","5.6","3.6","36.2"
"51","Michael Carter","ARZ","RB","6","2025","138","412","33.5","40","135","29.6","80","292","27.4","18","238","7.1","54.6","535.0","10.2","9.1","6.8","40.6"
"52","Emanuel Wilson","GB","RB","10","2025","168","606","27.7","53","278","19.1","84","345","24.3","13","286","4.2","53.2","688.6","7.7","5.3","4.8","47.9"
