"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"1","Drake Maye","NE","QB","11","2025","400","320","230","71.9","2836","257.8","8.86","20","5","132","113.2","36","9.0","163","8.00","44","288","2","10.9","9.3","2776","12.8","41","39.7","82.3","68.4","60.9","80.3","10.9","5.6","1.9","18","5.0","158","2.75","2.66","4.1","4.8","20","181","45.3","19.9","15.28","8.4","0.8","12","6","0","0.58","0.54","20.9","230.1","426"
"2","Justin Herbert","LAC","QB","11","2025","440","376","250","66.5","2691","244.6","7.16","19","9","124","94.2","35","8.0","213","5.97","29","303","1","4.8","7.8","2752","10.9","41","46.9","78.7","64.4","61.7","77.4","14.6","4.5","2.7","27","6.4","194","2.51","2.37","3.2","4.2","8","177","40.2","19.8","11.75","6.9","3.4","12","8","0","0.49","0.46","19.6","216.1","465"
"3","Daniel Jones","IND","QB","10","2025","359","319","223","69.9","2659","265.9","8.34","15","7","130","101.6","21","5.8","152","7.33","19","127","1","4.3","8.7","2644","10.0","32","44.6","77.4","77.1","60.2","78.7","15.0","4.1","3.1","12","3.1","66","2.49","2.47","3.5","5.6","4","117","32.6","17.9","3.21","7.8","4.2","8","6","2","0.56","0.53","20.3","202.7","380"
"4","Patrick Mahomes","KC","QB","10","2025","417","361","233","64.5","2625","262.5","7.27","18","6","130","95.9","20","4.8","136","6.77","36","286","2","1.7","8.2","2736","12.5","45","54.0","76.1","71.5","57.1","72.6","17.2","3.3","3.3","20","5.3","128","2.44","2.68","3.4","5.2","4","155","37.2","12.9","9.39","4.4","10.1","18","7","1","0.54","0.53","22.6","225.8","429"
"5","Dak Prescott","DAL","QB","10","2025","395","362","253","69.9","2587","258.7","7.15","21","6","130","102.5","16","4.1","99","6.98","17","120","0","4.4","7.7","2672","11.9","43","45.3","78.7","64.6","62.4","80.9","12.7","4.7","3.3","31","4.7","163","2.64","2.60","3.8","4.8","1","141","35.7","11.3","3.06","9.4","1.5","6","8","2","0.51","0.49","20.0","200.2","411"
"6","Matthew Stafford","LA","QB","10","2025","355","338","223","66.0","2557","255.7","7.57","27","2","132","112.7","14","3.9","88","8.29","3","11","0","2.0","9.0","2913","13.6","46","41.0","74.0","69.8","54.4","75.4","17.2","7.1","1.8","31","4.7","148","2.41","2.43","3.6","4.2","1","111","31.3","12.6","1.08","8.6","2.3","9","2","2","0.58","0.55","20.5","205.4","376"
"7","Sam Darnold","SEA","QB","10","2025","287","272","191","70.2","2541","254.1","9.34","17","10","111","105.0","10","3.5","62","8.40","5","46","0","9.2","9.6","2382","12.1","33","38.4","80.2","64.7","64.7","75.7","12.5","7.0","3.7","13","2.6","88","2.54","2.50","2.8","5.1","1","84","29.3","11.9","-2.90","5.1","2.1","13","9","1","0.56","0.54","16.1","160.6","297"
"8","Jared Goff","DET","QB","10","2025","334","310","216","69.7","2490","249.0","8.03","21","4","123","110.8","20","6.0","125","7.89","4","24","0","6.0","6.9","1921","6.1","19","59.0","82.1","67.4","58.7","76.8","14.8","3.2","1.3","10","5.8","186","2.46","2.51","3.1","5.2","3","111","33.2","18.0","3.05","5.2","1.8","15","8","0","0.54","0.53","18.0","179.8","342"
"9","Josh Allen","BUF","QB","10","2025","342","293","204","69.6","2456","245.6","8.38","18","7","118","105.6","20","5.8","112","7.63","29","268","2","4.0","8.1","2284","13.0","38","51.2","77.5","62.1","63.8","77.8","17.4","2.7","3.4","12","4.4","73","2.73","2.60","3.6","5.0","6","130","38.0","15.4","6.21","6.5","3.2","7","4","1","0.75","0.68","25.6","256.3","378"
"10","Bo Nix","DEN","QB","11","2025","417","387","237","61.2","2421","220.1","6.26","18","8","118","86.1","12","2.9","73","5.88","18","176","1","-0.1","8.6","3064","13.4","52","53.3","73.7","65.6","54.5","70.3","19.9","4.7","2.8","20","5.9","211","2.64","2.54","3.9","4.8","5","144","34.5","8.3","1.54","9.6","7.0","20","9","1","0.50","0.46","18.8","207.1","449"
