"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"32","Amon-Ra St. Brown","DET","WR","10","2025","295","0.31","2.49","0.64","72","0.39","3.10","0.91","215","0.27","2.30","0.49","156","0.30","2.35","0.63","139","0.32","2.65","0.64"
"33","Cade Otton","TB","TE","10","2025","293","0.18","1.30","0.26","83","0.14","0.88","0.17","202","0.20","1.52","0.30","156","0.15","0.99","0.20","137","0.20","1.65","0.33"
"34","Nico Collins","HST","WR","9","2025","292","0.28","2.20","0.48","68","0.26","1.71","0.42","210","0.28","2.19","0.44","144","0.28","2.51","0.51","148","0.27","1.89","0.43"
"35","Dalton Schultz","HST","TE","10","2025","292","0.23","1.67","0.36","79","0.19","0.80","0.18","200","0.25","2.10","0.42","138","0.22","1.44","0.35","154","0.24","1.88","0.37"
"36","Hunter Henry","NE","TE","11","2025","290","0.17","1.46","0.35","68","0.16","0.88","0.35","213","0.18","1.66","0.35","166","0.19","1.61","0.36","124","0.15","1.24","0.33"
"37","Tyler Warren","IND","TE","10","2025","289","0.22","2.13","0.47","60","0.12","0.63","0.23","221","0.25","2.60","0.49","133","0.22","2.68","0.55","156","0.22","1.67","0.36"
"38","DK Metcalf","PIT","WR","10","2025","289","0.22","1.91","0.42","91","0.15","0.67","0.25","178","0.26","2.75","0.55","130","0.29","2.00","0.50","159","0.16","1.83","0.36"
"39","Davante Adams","LA","WR","10","2025","288","0.29","1.98","0.56","104","0.30","1.32","0.67","175","0.27","2.41","0.43","154","0.25","1.68","0.34","134","0.34","2.32","0.81"
"40","Zay Flowers","BLT","WR","10","2025","284","0.25","2.48","0.46","95","0.26","2.49","0.45","182","0.24","2.53","0.46","149","0.28","3.07","0.51","135","0.21","1.82","0.38"
"41","T.J. Hockenson","MIN","TE","10","2025","280","0.17","1.00","0.26","92","0.09","0.38","0.10","172","0.22","1.35","0.29","140","0.16","1.19","0.29","140","0.17","0.81","0.24"
"42","Drake London","ATL","WR","9","2025","279","0.32","2.90","0.64","78","0.23","0.91","0.42","194","0.35","3.76","0.70","150","0.33","3.01","0.57","129","0.32","2.78","0.70"
"43","Jaylen Waddle","MIA","WR","11","2025","276","0.26","2.62","0.55","48","0.29","1.75","0.49","214","0.26","2.98","0.60","129","0.32","3.26","0.61","147","0.20","2.05","0.49"
"44","Zach Ertz","WAS","TE","11","2025","271","0.21","1.43","0.38","84","0.20","0.55","0.15","180","0.20","1.79","0.37","166","0.18","1.08","0.22","105","0.25","1.97","0.63"
"45","Deebo Samuel","WAS","WR","10","2025","268","0.25","1.75","0.53","78","0.24","1.19","0.52","183","0.26","2.06","0.49","160","0.23","1.26","0.33","108","0.29","2.49","0.72"
"46","Stefon Diggs","NE","WR","11","2025","267","0.27","2.47","0.54","70","0.31","2.94","0.71","187","0.25","2.37","0.48","148","0.25","2.72","0.57","119","0.29","2.15","0.49"
"47","Jakobi Meyers","JAX, LV","WR","9","2025","267","0.21","1.71","0.32","81","0.21","1.65","0.31","176","0.22","1.84","0.35","131","0.20","1.73","0.32","136","0.22","1.69","0.33"
"48","A.J. Brown","PHI","WR","9","2025","267","0.24","1.71","0.38","71","0.39","3.63","0.86","191","0.18","1.03","0.21","125","0.27","2.14","0.44","142","0.21","1.33","0.33"
"49","Xavier Hutchinson","HST","WR","10","2025","265","0.13","1.00","0.26","71","0.14","1.37","0.50","181","0.13","0.92","0.18","136","0.14","1.29","0.36","129","0.12","0.68","0.15"
"50","Brandin Cooks","NO","WR","10","2025","264","0.09","0.63","0.13","63","0.05","0.27","0.06","199","0.11","0.74","0.16","134","0.07","0.34","0.08","130","0.12","0.92","0.19"
"51","Sterling Shepard","TB","WR","10","2025","264","0.17","1.32","0.29","83","0.24","1.49","0.43","173","0.14","1.30","0.22","143","0.19","1.36","0.32","121","0.15","1.27","0.23"
"52","Romeo Doubs","GB","WR","10","2025","262","0.24","1.90","0.44","81","0.26","1.25","0.38","174","0.23","2.13","0.41","144","0.25","1.81","0.40","118","0.24","2.03","0.47"
"53","Jaxon Smith-Njigba","SEA","WR","10","2025","262","0.36","4.37","0.84","62","0.26","3.40","0.65","190","0.41","4.90","0.92","135","0.31","3.36","0.70","127","0.41","5.46","0.96"
"54","Brian Thomas","JAX","WR","8","2025","262","0.23","1.60","0.33","47","0.17","2.30","0.34","205","0.24","1.52","0.30","154","0.25","1.36","0.29","108","0.19","1.94","0.31"
"55","Mason Taylor","NYJ","TE","10","2025","257","0.18","1.07","0.27","55","0.15","0.18","0.24","197","0.19","1.32","0.27","130","0.17","1.04","0.23","127","0.19","1.11","0.30"
"56","Jalen Nailor","MIN","WR","10","2025","253","0.14","1.26","0.27","89","0.19","1.93","0.29","148","0.09","0.91","0.15","129","0.16","1.87","0.28","124","0.12","0.62","0.22"
"57","Xavier Legette","CAR","WR","9","2025","253","0.17","1.04","0.27","57","0.16","1.37","0.33","184","0.17","0.99","0.23","124","0.16","0.88","0.23","129","0.18","1.20","0.31"
"58","Kendrick Bourne","SF","WR","10","2025","252","0.17","1.91","0.31","45","0.16","0.91","0.18","195","0.17","2.18","0.35","119","0.15","1.84","0.31","133","0.18","1.98","0.32"
"59","Khalil Shakir","BUF","WR","10","2025","251","0.24","1.81","0.44","79","0.16","1.39","0.34","167","0.26","2.06","0.48","156","0.26","2.21","0.53","95","0.20","1.16","0.28"
"60","Harold Fannin","CLV","TE","10","2025","251","0.25","1.68","0.39","98","0.23","1.50","0.42","146","0.27","1.88","0.39","140","0.26","1.96","0.41","111","0.23","1.32","0.37"
"61","Jauan Jennings","SF","WR","9","2025","250","0.22","1.51","0.36","44","0.32","1.50","0.60","192","0.19","1.57","0.30","117","0.24","1.66","0.36","133","0.20","1.38","0.33"
"62","Jordan Addison","MIN","WR","7","2025","247","0.20","1.67","0.36","77","0.16","1.17","0.21","156","0.22","1.96","0.36","120","0.16","1.26","0.20","127","0.24","2.06","0.50"
"63","Alec Pierce","IND","WR","8","2025","247","0.21","2.37","0.37","65","0.28","2.65","0.40","176","0.19","2.35","0.38","119","0.29","3.44","0.50","128","0.13","1.38","0.25"
"64","Marquise Brown","KC","WR","10","2025","244","0.23","1.76","0.43","83","0.29","1.88","0.65","149","0.20","1.83","0.34","129","0.22","2.02","0.39","115","0.23","1.47","0.48"
"65","David Njoku","CLV","TE","9","2025","238","0.18","1.21","0.32","84","0.11","0.64","0.22","146","0.22","1.54","0.35","129","0.16","0.98","0.24","109","0.20","1.49","0.41"
"66","Oronde Gadsden","LAC","TE","9","2025","238","0.20","2.13","0.41","70","0.19","0.66","0.25","153","0.22","2.97","0.52","104","0.23","1.96","0.36","134","0.18","2.26","0.46"
"67","Dallas Goedert","PHI","TE","9","2025","238","0.21","1.50","0.48","65","0.20","0.94","0.79","172","0.21","1.72","0.36","122","0.20","1.31","0.36","116","0.22","1.69","0.60"
"68","Puka Nacua","LA","WR","9","2025","237","0.36","3.59","0.82","71","0.38","3.85","0.96","159","0.37","3.63","0.71","129","0.43","4.64","0.99","108","0.28","2.33","0.49"
"69","Darius Slayton","NYG","WR","8","2025","235","0.14","1.46","0.24","52","0.17","0.54","0.11","170","0.14","1.84","0.29","108","0.20","2.07","0.33","127","0.09","0.94","0.16"
