"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"138","George Kittle","SF","TE","6","2025","140","0.21","1.79","0.58","27","0.26","2.81","0.95","104","0.20","1.58","0.46","67","0.27","2.46","0.74","73","0.16","1.18","0.45"
"139","Dontayvion Wicks","GB","WR","8","2025","138","0.20","1.31","0.26","39","0.31","1.67","0.35","95","0.17","1.22","0.24","63","0.27","1.71","0.35","75","0.15","0.97","0.19"
"140","Tyler Johnson","NYJ","WR","9","2025","138","0.10","1.36","0.25","34","0.03","0.44","0.25","99","0.13","1.74","0.26","73","0.07","0.97","0.14","65","0.14","1.78","0.38"
"141","Michael Mayer","LV","TE","8","2025","134","0.23","1.25","0.33","28","0.25","2.00","0.41","101","0.23","1.07","0.25","65","0.22","1.52","0.31","69","0.25","1.00","0.35"
"142","Dalton Kincaid","BUF","TE","8","2025","133","0.27","3.37","0.74","44","0.27","3.05","0.60","86","0.28","3.65","0.83","76","0.26","3.49","0.73","57","0.28","3.21","0.74"
"143","Jaylin Noel","HST","WR","10","2025","129","0.19","1.62","0.36","39","0.23","0.85","0.39","87","0.18","2.02","0.35","64","0.17","1.39","0.26","65","0.22","1.85","0.45"
"144","Jamari Thrash","CLV","WR","9","2025","128","0.11","0.84","0.16","51","0.10","0.69","0.15","73","0.11","0.68","0.14","69","0.13","1.04","0.21","59","0.08","0.59","0.11"
"145","Ray-Ray McCloud","ATL, NYG","WR","6","2025","128","0.10","0.54","0.11","29","0.10","0.48","0.08","95","0.11","0.58","0.12","67","0.07","-0.03","0.03","61","0.13","1.16","0.20"
"146","Ryan Flournoy","DAL","WR","9","2025","127","0.18","1.57","0.41","37","0.19","2.05","0.50","83","0.19","1.49","0.37","62","0.18","1.65","0.39","65","0.18","1.51","0.38"
"147","Malik Nabers","NYG","WR","4","2025","127","0.25","2.13","0.45","26","0.27","2.73","0.47","91","0.26","2.20","0.49","43","0.35","3.00","0.53","84","0.20","1.69","0.41"
"148","Tory Horton","SEA","WR","8","2025","126","0.17","1.28","0.47","36","0.22","2.06","0.68","88","0.16","0.99","0.39","66","0.24","1.53","0.64","60","0.10","1.00","0.28"
"149","Austin Hooper","NE","TE","10","2025","125","0.12","1.39","0.29","20","0.10","1.60","0.26","100","0.13","1.42","0.31","70","0.14","1.53","0.35","55","0.09","1.22","0.21"
"150","Roman Wilson","PIT","WR","10","2025","121","0.14","1.37","0.33","42","0.17","2.71","0.53","71","0.14","0.73","0.24","52","0.10","1.25","0.18","69","0.17","1.46","0.44"
"151","Isaiah Likely","BLT","TE","7","2025","121","0.13","0.98","0.20","30","0.13","0.53","0.12","88","0.13","1.16","0.23","62","0.13","1.24","0.24","59","0.14","0.69","0.15"
"152","Josh Palmer","BUF","WR","7","2025","118","0.21","2.13","0.35","47","0.23","2.62","0.43","67","0.19","1.72","0.28","71","0.23","2.27","0.37","47","0.19","1.91","0.32"
"153","Elijah Arroyo","SEA","TE","10","2025","117","0.19","1.49","0.31","24","0.17","1.50","0.48","86","0.19","1.59","0.28","53","0.17","1.47","0.37","64","0.20","1.50","0.26"
"154","Jalen Coker","CAR","WR","5","2025","116","0.12","1.02","0.21","34","0.21","1.88","0.36","74","0.09","0.73","0.14","59","0.15","1.46","0.28","57","0.09","0.56","0.11"
"155","Daniel Bellinger","NYG","TE","10","2025","114","0.13","1.77","0.34","39","0.08","0.74","0.13","73","0.16","2.37","0.46","66","0.15","2.38","0.45","48","0.10","0.94","0.18"
"156","Elijah Higgins","ARZ","TE","10","2025","114","0.17","1.42","0.27","19","0.21","0.95","0.20","90","0.16","1.54","0.30","51","0.10","0.53","0.15","63","0.22","2.14","0.37"
"157","DeAndre Hopkins","BLT","WR","10","2025","114","0.19","1.92","0.41","51","0.24","2.61","0.52","61","0.16","1.41","0.34","62","0.24","2.58","0.50","52","0.13","1.13","0.31"
"158","Adam Thielen","MIN","WR","10","2025","113","0.15","0.61","0.15","41","0.10","0.63","0.11","70","0.19","0.61","0.15","67","0.15","0.79","0.17","46","0.15","0.35","0.08"
"159","Kyle Williams","NE","WR","11","2025","112","0.10","0.82","0.16","27","0.15","2.67","0.53","82","0.09","0.24","0.05","63","0.10","1.14","0.23","49","0.10","0.41","0.08"
"160","Brenton Strange","JAX","TE","5","2025","110","0.22","1.85","0.37","21","0.33","3.05","0.64","86","0.20","1.63","0.31","68","0.21","1.85","0.35","42","0.24","1.86","0.40"
"161","Tutu Atwell","LA","WR","6","2025","108","0.08","1.52","0.24","39","0.10","2.36","0.44","68","0.07","1.06","0.14","64","0.11","1.97","0.34","44","0.05","0.86","0.11"
"162","Hunter Long","JAX","TE","8","2025","108","0.15","0.79","0.30","22","0.18","1.00","0.24","79","0.14","0.75","0.25","59","0.15","0.64","0.27","49","0.14","0.96","0.34"
"163","Rashee Rice","KC","WR","4","2025","107","0.33","2.36","0.72","31","0.23","0.87","0.64","66","0.36","3.26","0.69","54","0.28","1.13","0.50","53","0.38","3.62","0.80"
"164","Darnell Washington","PIT","TE","10","2025","107","0.24","1.95","0.44","24","0.29","1.83","0.60","71","0.21","1.76","0.33","52","0.29","2.48","0.44","55","0.20","1.45","0.40"
"165","Devaughn Vele","NO","WR","9","2025","106","0.12","0.51","0.16","18","0.17","0.56","0.11","84","0.10","0.49","0.10","48","0.08","0.13","0.03","58","0.16","0.83","0.27"
"166","Christian Watson","GB","WR","4","2025","105","0.16","2.23","0.45","31","0.19","2.77","0.83","70","0.16","2.11","0.31","53","0.19","2.72","0.54","52","0.13","1.73","0.37"
"167","Terry McLaurin","WAS","WR","4","2025","105","0.20","1.93","0.37","33","0.24","0.97","0.16","68","0.18","2.35","0.38","59","0.27","2.41","0.39","46","0.11","1.33","0.35"
"168","Luke Musgrave","GB","TE","10","2025","105","0.14","1.05","0.23","22","0.09","0.41","0.09","78","0.17","1.29","0.28","54","0.11","0.93","0.19","51","0.18","1.18","0.27"
"169","Allen Lazard","NYJ","WR","6","2025","104","0.11","0.43","0.17","15","0.07","0.20","0.09","86","0.10","0.49","0.19","53","0.17","0.72","0.30","51","0.04","0.14","0.03"
"170","Luther Burden","CHI","WR","9","2025","102","0.23","2.44","0.50","17","0.18","2.76","0.45","81","0.22","2.41","0.50","53","0.21","3.30","0.63","49","0.24","1.51","0.33"
"171","Mike Evans","TB","WR","4","2025","101","0.31","1.39","0.34","24","0.29","0.88","0.46","75","0.32","1.59","0.31","50","0.32","1.34","0.41","51","0.29","1.43","0.26"
"172","Luke McCaffrey","WAS","WR","9","2025","96","0.16","2.11","0.53","28","0.14","-0.07","0.03","66","0.15","3.03","0.62","61","0.11","1.61","0.52","35","0.23","3.00","0.50"
"173","Tanner Conner","MIA","TE","9","2025","96","0.16","0.95","0.19","22","0.18","0.64","0.11","68","0.15","0.94","0.20","41","0.17","0.83","0.16","55","0.15","1.04","0.21"
"174","Casey Washington","ATL","WR","7","2025","95","0.15","0.99","0.16","26","0.27","1.00","0.18","64","0.11","1.06","0.17","54","0.11","0.48","0.09","41","0.20","1.66","0.26"
"175","Tyreek Hill","MIA","WR","4","2025","94","0.31","2.82","0.57","20","0.30","1.70","0.72","70","0.30","3.20","0.53","29","0.34","3.79","0.59","65","0.29","2.38","0.56"
"176","Luke Farrell","SF","TE","11","2025","94","0.11","0.87","0.31","5","","","0.00","83","0.10","0.75","0.16","41","0.12","1.00","0.22","53","0.09","0.77","0.38"
"177","Tyrell Shavers","BUF","WR","10","2025","94","0.18","1.83","0.36","24","0.13","1.04","0.19","68","0.21","2.16","0.44","64","0.16","1.50","0.26","30","0.23","2.53","0.59"
"178","Drew Sample","CIN","TE","10","2025","94","0.06","0.26","0.14","23","0.04","","0.00","69","0.06","0.29","0.09","44","0.07","0.11","0.06","50","0.06","0.38","0.22"
"179","Jalin Hyatt","NYG","WR","7","2025","93","0.14","0.38","0.09","30","0.13","0.57","0.16","61","0.15","0.30","0.06","55","0.13","0.38","0.11","38","0.16","0.37","0.06"
"180","Isaac TeSlaa","DET","WR","10","2025","93","0.09","0.70","0.24","28","0.18","0.43","0.29","61","0.05","0.87","0.23","54","0.13","1.00","0.38","39","0.03","0.28","0.05"
"181","Brycen Tremayne","CAR","WR","10","2025","92","0.15","1.45","0.28","23","0.04","","0.00","62","0.21","2.15","0.41","44","0.14","1.61","0.28","48","0.17","1.29","0.28"
"182","Jeremy Ruckert","NYJ","TE","10","2025","88","0.18","1.35","0.36","20","0.15","0.80","0.18","67","0.19","1.54","0.42","49","0.24","1.61","0.49","39","0.10","1.03","0.21"
"183","Mike Gesicki","CIN","TE","6","2025","86","0.19","0.71","0.16","23","0.26","0.09","0.10","62","0.16","0.95","0.19","27","0.19","0.22","0.06","59","0.19","0.93","0.21"
"184","Luke Schoonmaker","DAL","TE","10","2025","84","0.18","0.75","0.17","17","0.06","0.65","0.12","65","0.22","0.80","0.19","37","0.22","0.22","0.08","47","0.15","1.17","0.24"
"185","Adam Trautman","DEN","TE","11","2025","83","0.14","1.12","0.32","10","0.20","0.40","0.84","69","0.14","1.29","0.26","40","0.18","1.78","0.35","43","0.12","0.51","0.28"
"186","Brock Wright","DET","TE","10","2025","83","0.17","0.95","0.37","14","0.14","1.57","0.30","67","0.16","0.81","0.29","47","0.17","1.06","0.36","36","0.17","0.81","0.39"
"187","Johnny Mundt","JAX","TE","10","2025","83","0.17","1.00","0.18","15","0.13","1.40","0.21","65","0.18","0.95","0.19","48","0.13","0.77","0.14","35","0.23","1.31","0.25"
"188","Lil'Jordan Humphrey","NYG, DEN","WR","4","2025","82","0.10","0.67","0.12","38","0.11","0.16","0.04","43","0.09","1.14","0.18","51","0.06","0.78","0.12","31","0.16","0.48","0.11"
"189","Mitchell Evans","CAR","TE","11","2025","81","0.14","1.46","0.43","12","0.08","0.17","0.60","66","0.14","1.70","0.31","45","0.13","1.18","0.38","36","0.14","1.81","0.49"
"190","Adonai Mitchell","IND, NYJ","WR","9","2025","81","0.26","2.00","0.31","18","0.50","2.89","0.51","63","0.19","1.75","0.25","38","0.34","3.34","0.44","43","0.19","0.81","0.20"
"191","Marquez Valdes-Scantling","SF","WR","5","2025","81","0.10","0.49","0.10","16","0.06","","0.00","62","0.11","0.65","0.13","34","0.03","0.09","0.04","47","0.15","0.79","0.14"
"192","Elijah Moore","BUF","WR","8","2025","79","0.18","1.46","0.35","18","0.22","2.67","0.43","59","0.17","1.14","0.20","53","0.17","1.53","0.25","26","0.19","1.31","0.25"
"193","Davis Allen","LA","TE","10","2025","78","0.21","1.33","0.53","24","0.33","1.17","0.87","51","0.16","1.49","0.40","40","0.25","1.55","0.51","38","0.16","1.11","0.56"
"194","Mo Alie-Cox","IND","TE","10","2025","77","0.10","0.65","0.12","15","0.07","","0.00","62","0.11","0.81","0.15","30","0.17","0.47","0.11","47","0.06","0.77","0.12"
"195","Malik Heath","GB","WR","9","2025","77","0.08","1.12","0.19","24","0.13","1.21","0.25","51","0.06","1.12","0.17","53","0.11","1.62","0.28","24","","","0.00"
"196","Curtis Samuel","BUF","WR","6","2025","76","0.11","1.07","0.28","20","0.15","1.00","0.55","55","0.09","1.11","0.18","45","0.16","1.67","0.43","31","0.03","0.19","0.05"
"197","Jack Bech","LV","WR","10","2025","75","0.13","1.23","0.23","19","0.21","1.74","0.28","54","0.11","1.09","0.22","30","0.20","1.73","0.34","45","0.09","0.89","0.16"
"198","Tylan Wallace","BLT","WR","10","2025","71","0.10","0.63","0.20","29","0.14","0.86","0.36","41","0.07","0.49","0.10","36","0.14","0.86","0.34","35","0.06","0.40","0.07"
"199","Tim Patrick","JAX","WR","9","2025","70","0.14","1.19","0.39","22","0.05","0.05","0.32","45","0.20","1.82","0.45","44","0.14","1.43","0.37","26","0.15","0.77","0.42"
"200","Darren Waller","MIA","TE","4","2025","69","0.17","1.70","0.66","14","0.29","2.36","1.38","50","0.12","1.46","0.23","30","0.07","0.20","0.05","39","0.26","2.85","1.13"
"201","John Bates","WAS","TE","9","2025","69","0.13","0.90","0.18","18","0.11","0.28","0.08","48","0.15","1.19","0.22","44","0.11","0.55","0.12","25","0.16","1.52","0.27"
"202","Colby Parkinson","LA","TE","8","2025","69","0.25","1.78","0.56","12","0.33","2.50","1.08","56","0.21","1.79","0.46","33","0.21","1.79","0.72","36","0.28","1.78","0.40"
"203","Charlie Kolar","BLT","TE","10","2025","69","0.13","1.28","0.40","22","0.14","0.59","0.70","45","0.13","1.67","0.28","42","0.12","1.07","0.18","27","0.15","1.59","0.75"
"204","Julian Hill","MIA","TE","8","2025","66","0.21","1.38","0.33","5","0.20","3.80","0.58","58","0.22","1.24","0.30","32","0.25","1.94","0.38","34","0.18","0.85","0.23"
"205","Chris Godwin","TB","WR","2","2025","64","0.20","0.81","0.18","17","0.18","0.47","0.11","45","0.20","0.98","0.21","40","0.15","0.38","0.09","24","0.29","1.54","0.32"
"206","Charlie Woerner","ATL","TE","10","2025","63","0.03","0.14","0.05","11","0.09","-0.45","0.05","51","0.02","0.27","0.05","30","","","0.00","33","0.06","0.27","0.09"
"207","Tyler Conklin","LAC","TE","8","2025","61","0.15","1.56","0.26","22","0.18","0.68","0.16","38","0.11","1.55","0.23","37","0.16","1.86","0.29","24","0.13","1.08","0.19"
"208","Grant Calcaterra","PHI","TE","8","2025","59","0.12","0.68","0.14","21","0.19","1.90","0.38","37","0.08","","0.00","22","0.18","1.55","0.29","37","0.08","0.16","0.04"
"209","Xavier Weaver","ARZ","WR","4","2025","57","0.07","0.26","0.06","8","","","0.00","45","0.09","0.33","0.08","31","0.10","0.19","0.05","26","0.04","0.35","0.07"
"210","Greg Dulcich","MIA","TE","4","2025","56","0.21","1.59","0.30","6","0.17","3.67","0.53","45","0.24","1.49","0.30","29","0.24","1.59","0.30","27","0.19","1.59","0.31"
"211","John FitzPatrick","GB","TE","10","2025","54","0.11","0.54","0.28","15","0.13","0.47","0.18","39","0.10","0.56","0.31","30","0.10","0.40","0.34","24","0.13","0.71","0.20"
"212","Terrance Ferguson","LA","TE","7","2025","53","0.21","2.60","0.47","21","0.14","3.33","0.76","32","0.25","2.13","0.28","37","0.16","2.89","0.40","16","0.31","1.94","0.63"
"213","Skyy Moore","SF","WR","11","2025","52","0.12","1.23","0.20","12","0.17","3.25","0.49","39","0.10","0.64","0.12","22","0.14","2.45","0.38","30","0.10","0.33","0.07"
"214","Tanner Hudson","CIN","TE","6","2025","52","0.23","1.60","0.47","23","0.09","1.30","0.22","23","0.30","1.87","0.45","15","0.13","2.00","0.33","37","0.27","1.43","0.52"
"215","Gage Larvadain","CLV","WR","6","2025","51","0.10","0.43","0.09","15","0.27","1.47","0.28","32","0.03","","0.01","23","0.09","0.35","0.08","28","0.11","0.50","0.10"
"216","Ashton Dulin","IND","WR","9","2025","51","0.14","1.14","0.28","10","0.20","2.00","0.30","40","0.13","0.95","0.17","32","0.13","1.47","0.24","19","0.16","0.58","0.11"
"217","Jackson Hawes","BUF","TE","10","2025","50","0.22","2.26","0.63","11","0.36","4.73","1.29","37","0.16","1.24","0.39","28","0.18","1.36","0.28","22","0.27","3.41","1.07"
"218","Xavier Smith","LA","WR","10","2025","50","0.18","1.70","0.31","15","0.20","2.07","0.41","35","0.17","1.54","0.27","29","0.17","1.52","0.32","21","0.19","1.95","0.29"
"219","Isaiah Williams","NYJ","WR","8","2025","48","0.15","0.77","0.24","20","0.10","0.75","0.18","28","0.18","0.79","0.19","29","0.14","1.03","0.21","19","0.16","0.37","0.14"
"220","Trent Sherfield","DEN","WR","10","2025","47","0.09","0.45","0.11","4","","","0.00","41","0.10","0.51","0.12","22","0.05","0.14","0.06","25","0.12","0.72","0.15"
"221","Konata Mumpfield","LA","WR","10","2025","45","0.09","0.27","0.20","14","0.21","0.36","0.54","31","0.03","0.23","0.05","29","0.14","0.41","0.32","16","","","0.00"
"222","Jimmy Horn","CAR","WR","7","2025","42","0.21","1.57","0.40","10","0.40","2.50","0.45","31","0.16","1.32","0.26","22","0.27","2.95","0.52","20","0.15","0.05","0.06"
"223","Beaux Collins","NYG","WR","9","2025","42","0.14","0.60","0.11","12","0.17","","0.00","28","0.11","0.89","0.16","24","0.17","1.04","0.19","18","0.11","","0.00"
"224","Ben Sinnott","WAS","TE","10","2025","42","0.07","0.79","0.29","9","0.11","0.44","0.82","33","0.06","0.88","0.15","27","0.11","1.22","0.46","15","","","0.00"
"225","Dee Eskridge","MIA","WR","9","2025","41","0.15","1.51","0.25","6","0.17","","0.00","34","0.15","1.82","0.30","19","0.16","0.74","0.18","22","0.14","2.18","0.31"
"226","Braxton Berrios","HST","WR","4","2025","40","0.20","0.93","0.24","5","0.40","2.80","0.68","34","0.18","0.68","0.19","17","0.29","2.24","0.52","23","0.13","-0.04","0.04"
"227","Durham Smythe","CHI","TE","10","2025","39","0.08","0.21","0.05","7","","","0.00","32","0.09","0.25","0.06","21","0.05","","0.00","18","0.11","0.44","0.10"
"228","Robbie Chosen","WAS","WR","3","2025","39","0.23","1.36","0.26","17","0.24","0.76","0.14","21","0.24","1.90","0.38","28","0.21","1.29","0.27","11","0.27","1.55","0.25"
"229","Tucker Fisk","LAC","TE","9","2025","39","0.08","0.49","0.10","7","0.14","","0.00","28","0.07","0.68","0.14","24","0.08","0.50","0.09","15","0.07","0.47","0.11"
"230","Will Dissly","LAC","TE","4","2025","39","0.13","1.10","0.21","11","0.27","2.91","0.47","27","0.07","0.41","0.11","21","0.14","1.52","0.25","18","0.11","0.61","0.17"
"231","Savion Williams","GB","WR","10","2025","38","0.26","2.05","0.67","9","0.11","0.89","0.87","28","0.32","2.50","0.57","20","0.20","0.45","0.25","18","0.33","3.83","1.05"
"232","Nate Adkins","DEN","TE","6","2025","37","0.24","1.30","0.45","4","0.25","","0.00","29","0.24","1.66","0.58","18","0.17","0.78","0.19","19","0.32","1.79","0.71"
"233","Mitchell Tinsley","CIN","WR","10","2025","37","0.16","1.32","0.38","9","0.11","","0.00","22","0.14","1.64","0.25","18","0.17","1.50","0.21","19","0.16","1.16","0.54"
"234","Harrison Bryant","HST","TE","8","2025","37","0.16","0.19","0.07","5","0.40","0.40","0.24","29","0.14","0.17","0.05","20","0.20","0.35","0.14","17","0.12","","0.00"
"235","John Metchie","PHI, NYJ","WR","9","2025","37","0.22","1.78","0.54","13","0.23","3.31","1.02","24","0.21","0.96","0.30","20","0.15","1.30","0.28","17","0.29","2.35","0.88"
"236","Noah Brown","WAS","WR","2","2025","37","0.19","0.97","0.18","14","0.14","","0.00","22","0.23","1.64","0.30","21","0.19","1.29","0.22","16","0.19","0.56","0.12"
"237","Andrew Ogletree","IND","TE","10","2025","37","0.03","","0.00","4","","","0.00","33","0.03","","0.00","15","","","0.00","22","0.05","","0.00"
"238","Kylen Granson","PHI","TE","10","2025","36","0.11","0.28","0.11","11","0.09","","0.00","24","0.13","0.42","0.17","16","0.19","0.56","0.18","20","0.05","0.05","0.06"
"239","David Moore","CAR","WR","4","2025","36","0.03","0.14","0.08","5","","","0.00","31","0.03","0.16","0.05","26","0.04","0.19","0.06","10","","","0.00"
"240","Josh Oliver","MIN","TE","8","2025","36","0.19","1.61","0.66","10","0.40","3.20","1.22","21","0.14","1.24","0.55","17","0.24","0.71","0.60","19","0.16","2.42","0.72"
"241","Ben Skowronek","PIT","WR","10","2025","36","0.08","0.97","0.32","11","","","0.00","23","0.09","1.52","0.50","19","0.11","1.84","0.61","17","0.06","","0.00"
"242","KhaDarel Hodge","ATL","WR","9","2025","35","0.29","0.89","0.17","12","0.25","0.67","0.15","22","0.32","1.05","0.20","15","0.27","1.60","0.29","20","0.30","0.35","0.09"
"243","Kameron Johnson","TB","WR","10","2025","35","0.17","1.83","0.51","10","0.40","3.40","1.14","25","0.08","1.20","0.20","21","0.24","3.05","0.78","14","0.07","","0.00"
"244","Scott Miller","PIT","WR","7","2025","35","0.06","0.26","0.05","11","0.09","","0.00","23","0.04","0.39","0.08","21","0.05","0.43","0.09","14","0.07","","0.00"
"245","Foster Moreau","NO","TE","6","2025","33","0.15","0.76","0.17","6","0.17","","0.00","27","0.15","0.93","0.20","19","0.16","0.53","0.11","14","0.14","1.07","0.25"
"246","Ian Thomas","LV","TE","10","2025","33","0.18","1.61","0.34","7","","","0.00","23","0.26","2.30","0.49","16","0.19","2.44","0.43","17","0.18","0.82","0.26"
"247","Mason Kinsey","TEN","WR","4","2025","32","0.09","0.44","0.08","6","0.17","2.33","0.40","24","0.08","","0.00","14","0.14","1.00","0.17","18","0.06","","0.00"
"248","KeAndre Lambert-Smith","LAC","WR","6","2025","32","0.13","0.03","0.03","8","","","0.00","23","0.17","0.04","0.05","14","0.14","","0.00","18","0.11","0.06","0.06"
"249","Brevyn Spann-Ford","DAL","TE","10","2025","32","0.16","0.56","0.18","6","","","0.00","24","0.21","0.75","0.24","14","0.21","1.14","0.33","18","0.11","0.11","0.07"
"250","Tip Reiman","ARZ","TE","4","2025","32","0.16","0.56","0.15","4","","","0.00","27","0.19","0.67","0.18","11","0.18","0.91","0.18","21","0.14","0.38","0.13"
"251","Justin Watson","HST","WR","2","2025","31","0.13","0.97","0.19","13","0.23","1.38","0.29","18","0.06","0.67","0.12","20","0.10","0.75","0.13","11","0.18","1.36","0.32"
"252","Blake Whiteheart","CLV","TE","9","2025","29","0.10","0.14","0.08","9","0.11","0.44","0.16","20","0.10","","0.05","15","0.20","0.27","0.16","14","","","0.00"
"253","Payne Durham","TB","TE","10","2025","27","0.07","","0.00","5","","","0.00","22","0.09","","0.00","13","0.08","","0.00","14","0.07","","0.00"
"254","Jack Stoll","NO","TE","9","2025","26","0.23","1.08","0.45","4","","","0.00","22","0.27","1.27","0.54","10","0.20","","0.00","16","0.25","1.75","0.74"
"255","Treylon Burks","WAS","WR","2","2025","26","0.15","2.77","0.43","6","0.17","6.17","0.78","20","0.15","1.75","0.33","13","0.23","4.92","0.72","13","0.08","0.62","0.14"
"256","Lucas Krull","DEN","TE","3","2025","26","0.15","0.58","0.13","1","","","0.00","24","0.17","0.63","0.15","14","0.14","","0.00","12","0.17","1.25","0.29"
"257","Cody White","SEA","WR","4","2025","26","0.08","2.31","0.50","10","0.10","","0.00","14","0.07","4.29","0.93","17","0.12","3.53","0.76","9","","","0.00"
"258","Malachi Corley","CLV","WR","6","2025","25","0.20","1.04","0.56","5","","","0.00","20","0.25","1.30","0.33","14","0.29","0.64","0.28","11","0.09","1.55","0.25"
"259","Quintin Morris","JAX","TE","6","2025","25","0.08","0.44","0.08","7","","","0.00","17","0.12","0.65","0.12","14","0.07","","0.00","11","0.09","1.00","0.19"
"260","Anthony Gould","IND","WR","8","2025","24","0.04","0.13","0.05","6","","","0.00","17","0.06","0.18","0.08","5","","","0.00","19","0.05","0.16","0.07"
"261","Austin Trammell","JAX","WR","3","2025","24","0.21","1.92","0.32","8","0.38","2.25","0.35","16","0.13","1.75","0.30","18","0.28","2.56","0.42","6","","","0.00"
"262","Isaiah Hodgins","NYG","WR","1","2025","24","0.25","2.38","0.45","6","0.33","0.67","0.23","17","0.24","3.12","0.55","19","0.26","1.95","0.41","5","0.20","4.00","0.60"
"263","Robert Tonyan","KC","TE","10","2025","23","0.04","0.04","0.05","1","","","0.00","22","0.05","0.05","0.05","11","0.09","0.09","0.10","12","","","0.00"
"264","Albert Okwuegbunam","LV","TE","1","2025","23","0.26","1.57","0.37","10","0.10","0.50","0.15","13","0.38","2.38","0.55","13","0.23","1.62","0.32","10","0.30","1.50","0.45"
"265","Gunner Olszewski","NYG","WR","11","2025","22","0.14","1.09","0.43","8","","","0.00","14","0.21","1.71","0.67","11","0.09","2.18","0.85","11","0.18","","0.00"
"266","Simi Fehoko","ARZ","WR","7","2025","21","","","0.00","4","","","0.00","13","","","0.00","13","","","0.00","8","","","0.00"
"267","Ryan Miller","TB","WR","10","2025","21","0.19","1.62","0.54","4","","","0.00","17","0.24","2.00","0.67","6","0.17","","0.00","15","0.20","2.27","0.76"
"268","Darius Cooper","PHI","WR","6","2025","20","","","0.00","7","","","0.00","13","","","0.00","11","","","0.00","9","","","0.00"
"269","Russell Gage","SF","WR","1","2025","19","","","0.00","5","","","0.00","10","","","0.00","9","","","0.00","10","","","0.00"
"270","Eric Saubert","SEA","TE","7","2025","19","0.05","0.63","0.12","4","","","0.00","15","0.07","0.80","0.15","10","0.10","1.20","0.22","9","","","0.00"
"271","Devontez Walker","BLT","WR","5","2025","19","0.16","3.16","1.11","6","0.33","4.33","2.77","13","0.08","2.62","0.34","11","0.18","5.27","1.25","8","0.13","0.25","0.90"
"272","Taysom Hill","NO","TE","6","2025","19","0.21","0.95","0.88","2","","","0.00","17","0.24","1.06","0.33","9","0.11","0.56","0.17","10","0.30","1.30","0.41"
"273","Cade Stover","HST","TE","2","2025","19","0.21","1.16","0.33","4","","","0.00","15","0.27","1.47","0.41","11","0.18","1.45","0.33","8","0.25","0.75","0.33"
"274","Cedrick Wilson","MIA","WR","4","2025","18","0.11","0.50","0.16","3","0.33","2.33","0.57","13","0.08","0.15","0.09","9","","","0.00","9","0.22","1.00","0.32"
"275","Derius Davis","LAC","WR","8","2025","18","0.11","0.17","0.10","5","","","0.00","12","0.17","0.25","0.11","11","0.18","0.27","0.12","7","","","0.00"
"276","Mason Tipton","NO","WR","8","2025","17","0.12","","0.00","2","","","0.00","15","0.13","","0.00","8","","","0.00","9","0.22","","0.00"
"277","Jake Bobo","SEA","WR","6","2025","16","0.13","1.25","0.25","3","","","0.00","13","0.15","1.54","0.31","9","0.11","1.89","0.30","7","0.14","0.43","0.19"
"278","Bo Melton","GB","WR","2","2025","16","0.31","1.75","0.41","0","","","0.00","16","0.31","1.75","0.30","7","0.29","2.57","0.40","9","0.33","1.11","0.22"
"279","Jared Wayne","HST","WR","1","2025","14","0.14","1.43","0.29","2","","","0.00","12","0.17","1.67","0.33","9","0.22","2.22","0.44","5","","","0.00"
"280","Tahj Washington","MIA","WR","4","2025","14","0.14","0.79","0.08","2","","","0.00","12","0.17","0.92","0.09","7","","","0.00","7","0.29","1.57","0.16"
"281","Gabe Davis","BUF","WR","1","2025","14","0.29","2.86","0.50","8","0.38","2.25","0.48","6","0.17","3.67","0.53","10","0.40","4.00","0.70","4","","","0.00"
"282","Jayden Reed","GB","WR","2","2025","14","0.36","3.21","0.96","9","0.22","1.89","0.97","5","0.60","5.60","0.96","9","0.22","1.89","0.97","5","0.60","5.60","0.96"
"283","Tay Martin","WAS","WR","3","2025","12","0.17","1.92","0.36","4","","","0.00","8","0.25","2.88","0.54","9","0.22","2.56","0.48","3","","","0.00"
"284","Andre Baccellia","ARZ","WR","1","2025","12","0.08","0.42","0.13","0","","","0.00","11","0.09","0.45","0.14","6","","","0.00","6","0.17","0.83","0.25"
"285","Jordan Watkins","SF","WR","3","2025","12","0.25","2.17","0.38","2","0.50","9.50","1.45","7","0.14","","0.00","5","0.20","3.80","0.58","7","0.29","1.00","0.24"
"286","Josiah Deguara","ARZ","TE","5","2025","12","","","0.00","3","","","0.00","9","","","0.00","10","","","0.00","2","","","0.00"
"287","Ben Yurosek","MIN","TE","8","2025","12","0.17","0.42","0.13","2","","","0.00","10","0.20","0.50","0.15","5","","","0.00","7","0.29","0.71","0.21"
"288","Colson Yankoff","WAS","TE","9","2025","11","0.09","0.36","0.13","1","1.00","4.00","1.40","10","","","0.00","10","0.10","0.40","0.14","1","","","0.00"
"289","Thomas Fidone","NYG","TE","2","2025","11","","","0.00","2","","","0.00","9","","","0.00","6","","","0.00","5","","","0.00"
