"Player Details","","","","","","","Matchup","","","","","Man","","","","Cover 2","","","","Cover 3","","","","Cover 4","","","","Cover 6","","",""
"Rank","Name","Team","POS","G","Season","OPP","DB","DB/G","FP/DB","EXP FP/DB","COV GRADE","DEF MAN %","DEF FP/DB","QB MAN %","QB FP/DB","DEF COVER 2 %","DEF FP/DB","QB COVER 2 %","QB FP/DB","DEF COVER 3 %","DEF FP/DB","QB Cover 3 %","QB FP/DB","DEF COVER 4 %","DEF FP/DB","QB Cover 4 %","QB FP/DB","DEF COVER 6 %","DEF FP/DB","QB COVER 6 %","QB FP/DB"
"1","Josh Allen","BUF","QB","10","2025","HST","334","33.4","0.60","0.65","8.5","19.0","0.48","30.5","0.57","9.9","0.17","13.2","0.41","32.2","0.25","38.0","0.59","24.3","0.37","11.4","0.68","14.6","0.29","6.9","0.98"
"2","Drake Maye","NE","QB","11","2025","CIN","387","35.2","0.55","0.60","8.5","27.3","0.71","25.3","0.89","12.1","0.45","16.8","0.38","36.3","0.40","39.0","0.44","4.5","0.31","12.4","0.41","19.7","0.45","6.5","0.68"
"3","Jared Goff","DET","QB","10","2025","NYG","325","32.5","0.51","0.58","12.4","42.9","0.65","23.1","0.73","11.2","0.32","18.5","0.34","24.8","0.30","34.5","0.49","16.9","0.40","12.0","0.51","4.2","0.31","12.0","0.43"
"4","Lamar Jackson","BLT","QB","7","2025","NYJ","201","28.7","0.59","0.56","-4.3","34.5","0.69","38.3","0.76","23.5","0.23","22.4","0.32","24.1","0.54","24.4","0.52","15.0","0.48","10.0","0.47","2.8","0.36","5.0","1.03"
"5","Matthew Stafford","LA","QB","10","2025","TB","343","34.3","0.57","0.52","-8.1","25.0","0.58","33.5","0.94","16.8","0.27","8.5","0.46","34.2","0.52","31.8","0.47","19.2","0.24","16.3","0.16","4.7","0.55","9.9","0.41"
"6","Patrick Mahomes","KC","QB","10","2025","IND","392","39.2","0.50","0.52","3.3","30.2","0.46","33.7","0.62","17.3","0.37","7.1","0.62","28.4","0.28","27.6","0.48","14.7","0.20","20.2","0.38","9.5","0.33","11.5","0.34"
"7","Caleb Williams","CHI","QB","10","2025","PIT","356","35.6","0.48","0.51","7.8","35.9","0.47","21.9","0.70","12.7","0.45","13.5","0.41","32.2","0.24","40.4","0.42","12.2","0.16","12.6","0.36","7.0","0.66","11.5","0.47"
"8","Sam Darnold","SEA","QB","10","2025","TEN","268","26.8","0.55","0.50","-8.8","20.5","0.65","24.3","0.64","13.7","0.27","9.0","0.22","28.3","0.33","34.3","0.68","21.7","0.46","23.1","0.51","15.8","0.51","9.3","0.21"
"9","Daniel Jones","IND","QB","10","2025","KC","347","34.7","0.48","0.49","2.5","26.2","0.27","23.3","0.65","20.2","0.28","13.8","0.48","30.9","0.48","29.1","0.43","16.4","0.35","22.2","0.37","6.3","0.39","11.5","0.44"
"10","Justin Fields","NYJ","QB","9","2025","BLT","254","28.2","0.41","0.47","14.0","36.9","0.50","26.4","0.81","14.0","0.39","24.8","0.28","32.7","0.35","32.3","0.27","6.1","0.49","8.7","0.21","10.3","0.19","7.9","0.28"
"11","Jaxson Dart","NYG","QB","9","2025","DET","239","26.6","0.46","0.46","1.0","39.4","0.61","30.1","0.50","12.4","0.26","7.9","0.24","28.4","0.37","34.3","0.62","17.2","0.49","16.3","0.31","2.6","0.32","11.3","0.22"
"12","Aaron Rodgers","PIT","QB","10","2025","CHI","285","28.5","0.44","0.46","2.8","30.4","0.63","28.4","0.54","23.9","0.42","13.0","0.59","30.7","0.45","27.0","0.30","10.7","0.63","15.4","0.36","4.3","0.02","16.1","0.48"
"13","Dak Prescott","DAL","QB","10","2025","PHI","372","37.2","0.47","0.44","-5.2","28.2","0.46","28.5","0.59","4.1","0.56","16.7","0.40","30.4","0.35","30.1","0.58","15.6","0.40","12.9","0.28","21.6","0.31","11.8","0.19"
"14","Baker Mayfield","TB","QB","10","2025","LA","364","36.4","0.46","0.44","-5.0","19.3","0.50","25.8","0.56","18.3","0.23","14.6","0.36","39.2","0.38","32.1","0.33","14.4","0.18","19.2","0.57","8.9","0.10","8.2","0.61"
"15","Jordan Love","GB","QB","10","2025","MIN","330","33.0","0.47","0.44","-7.3","22.3","0.62","30.0","0.73","28.1","0.53","10.6","0.36","20.6","0.33","30.0","0.42","14.2","0.22","14.8","0.34","14.8","0.29","14.5","0.25"
"16","Jalen Hurts","PHI","QB","10","2025","DAL","315","31.5","0.49","0.43","-12.6","16.8","0.88","28.9","0.88","24.6","0.42","17.8","0.41","39.6","0.50","31.1","0.31","11.8","0.52","16.2","0.30","7.2","0.26","6.0","0.28"
"17","C.J. Stroud","HST","QB","8","2025","BUF","267","33.4","0.40","0.39","-2.7","24.3","0.57","25.5","0.64","16.7","0.28","13.1","0.19","32.0","0.35","36.7","0.40","14.7","0.34","10.1","0.31","12.3","0.41","14.6","0.24"
"18","Mac Jones","SF","QB","9","2025","CAR","294","32.7","0.40","0.39","-2.1","16.6","0.44","17.0","0.61","11.2","0.22","14.3","0.42","41.0","0.47","33.3","0.43","13.8","0.31","25.5","0.31","17.4","0.38","9.9","0.14"
"19","Jacoby Brissett","ARZ","QB","7","2025","JAX","217","31.0","0.39","0.37","-3.9","20.3","0.81","21.2","0.47","10.2","0.27","10.6","0.33","32.8","0.30","42.4","0.30","15.6","0.57","18.4","0.60","21.1","0.22","7.4","0.26"
"20","Kyler Murray","ARZ","QB","5","2025","JAX","183","36.6","0.35","0.37","5.6","20.3","0.81","13.1","0.59","10.2","0.27","13.1","0.18","32.8","0.30","32.2","0.37","15.6","0.57","27.3","0.34","21.1","0.22","14.2","0.29"
"21","Michael Penix","ATL","QB","9","2025","NO","291","32.3","0.37","0.37","0.2","24.1","0.70","26.1","0.39","7.4","0.50","15.5","0.31","41.5","0.48","36.1","0.44","19.3","0.26","11.3","0.26","7.7","0.48","11.0","0.33"
"22","Geno Smith","LV","QB","10","2025","CLV","335","33.5","0.33","0.33","2.4","39.1","0.63","26.3","0.44","18.4","0.30","15.5","0.11","29.3","0.19","28.4","0.34","6.9","0.25","20.6","0.36","6.3","0.81","9.3","0.22"
"23","Carson Wentz","MIN","QB","5","2025","GB","183","36.6","0.31","0.33","8.7","20.1","0.27","31.1","0.19","18.2","0.31","13.7","0.49","34.9","0.42","29.5","0.37","11.0","0.42","12.0","0.18","15.8","0.24","13.7","0.35"
"24","Bryce Young","CAR","QB","10","2025","SF","328","32.8","0.35","0.33","-6.4","19.3","0.77","21.6","0.47","6.1","0.19","14.6","0.36","39.4","0.45","35.1","0.32","21.5","0.31","23.5","0.33","13.7","0.32","5.2","0.14"
"25","Trevor Lawrence","JAX","QB","10","2025","ARZ","367","36.7","0.33","0.32","-4.0","19.0","0.98","19.1","0.56","15.3","0.31","12.3","0.25","29.5","0.27","43.9","0.32","28.9","0.29","16.6","0.22","7.4","0.18","8.2","0.24"
"26","J.J. McCarthy","MIN","QB","5","2025","GB","152","30.4","0.36","0.32","-9.7","20.1","0.27","34.9","0.52","18.2","0.31","13.8","0.48","34.9","0.42","29.6","0.24","11.0","0.42","10.5","0.15","15.8","0.24","11.2","0.18"
"27","Spencer Rattler","NO","QB","8","2025","ATL","276","34.5","0.35","0.31","-10.0","20.3","0.30","20.7","0.49","3.3","0.83","18.8","0.40","50.6","0.45","35.5","0.22","19.7","0.48","21.4","0.42","6.1","0.56","3.6","0.13"
"28","Dillon Gabriel","CLV","QB","8","2025","LV","200","25.0","0.29","0.29","0.1","13.0","0.65","36.0","0.34","15.5","0.37","19.5","0.19","47.3","0.46","26.0","0.33","16.1","0.26","12.5","0.26","8.2","0.27","6.0","0.30"
