"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"23","DeVonta Smith","PHI","WR","10","2025","298","0.081","2.18","0.22","14.8","12.1","2.7","0.0","9.4","68","49","665","3","843","7.6","124","0.121","3.19","0.25","17.7","174","0.052","1.46","0.20","12.6","","","","","0.0","","","","","0.0"
"24","Theo Johnson","NYG","TE","11","2025","297","-0.007","1.14","0.18","6.7","6.1","0.7","0.0","8.1","54","36","350","5","364","5.6","42","0.000","1.26","0.20","11.9","159","-0.019","1.40","0.15","6.3","80","0.013","0.76","0.22","6.3","16","0.000","0.06","0.12","0.0"
"25","Rome Odunze","CHI","WR","10","2025","297","0.081","1.94","0.24","14.5","12.8","1.3","0.3","8.4","73","39","600","6","1088","10.9","183","0.087","2.42","0.28","15.8","113","0.053","1.13","0.17","11.5","","","","","0.0","1","2.000","","","100.0"
"26","Andrei Iosivas","CIN","WR","10","2025","295","0.058","0.85","0.12","11.5","10.5","1.0","0.0","6.4","35","19","256","1","321","6.6","95","0.084","1.56","0.19","13.7","199","0.045","0.52","0.08","10.6","","","","","0.0","1","0.000","","","0.0"
"27","Elic Ayomanor","TEN","WR","10","2025","294","0.078","1.12","0.19","11.2","9.5","1.7","0.0","5.1","56","28","334","2","712","8.7","243","0.086","0.98","0.17","11.5","51","0.039","1.79","0.26","9.8","","","","","0.0","","","","","0.0"
"28","Jameson Williams","DET","WR","10","2025","293","0.048","1.89","0.16","11.3","10.2","0.7","0.3","7.8","49","31","562","5","696","10.1","213","0.033","2.12","0.17","11.3","80","0.088","1.29","0.16","11.3","","","","","0.0","","","","","0.0"
"29","Amon-Ra St. Brown","DET","WR","10","2025","292","0.147","2.49","0.31","16.8","14.0","2.7","0.0","4.8","91","66","735","8","780","7.1","140","0.143","2.65","0.32","17.9","150","0.153","2.38","0.30","16.0","","","","","0.0","2","0.000","","","0.0"
"30","Jake Ferguson","DAL","TE","10","2025","292","-0.007","1.35","0.24","5.8","5.8","0.0","0.0","6.8","71","60","400","7","297","4.1","23","0.087","1.70","0.22","17.4","165","-0.024","0.99","0.22","5.5","104","0.000","1.82","0.28","3.8","","","","","0.0"
"31","Juwan Johnson","NO","TE","10","2025","291","0.010","1.65","0.20","4.5","3.4","1.0","0.0","4.5","59","43","491","3","427","5.3","50","-0.040","0.69","0.18","4.0","157","0.032","1.94","0.19","5.7","75","0.000","1.68","0.22","2.7","9","0.000","1.67","0.33","0.0"
"32","Nico Collins","HST","WR","9","2025","289","0.087","2.20","0.28","15.6","14.2","1.4","0.0","8.3","81","49","642","4","967","7.8","231","0.091","2.39","0.29","16.0","58","0.069","1.43","0.24","13.8","","","","","0.0","","","","","0.0"
"33","Travis Kelce","KC","TE","10","2025","288","0.073","2.10","0.22","10.8","10.1","0.7","0.0","3.8","65","50","631","4","374","5.1","69","0.029","1.82","0.15","5.8","136","0.110","2.10","0.24","14.0","80","0.050","2.21","0.23","10.0","3","0.000","5.67","0.33","0.0"
"34","DJ Moore","CHI","WR","10","2025","288","0.069","1.42","0.16","12.2","9.7","2.4","0.0","7.6","49","31","421","1","560","10.1","184","0.076","1.49","0.16","14.7","94","0.053","1.05","0.14","7.4","","","","","0.0","10","0.100","3.60","0.50","10.0"
"35","Davante Adams","LA","WR","10","2025","287","0.192","1.98","0.29","23.3","17.8","5.6","0.0","9.8","84","43","569","10","1110","8.9","247","0.182","2.00","0.28","23.1","40","0.250","1.83","0.35","25.0","","","","","0.0","","","","","0.0"
"36","Dalton Schultz","HST","TE","10","2025","287","0.059","1.67","0.23","7.7","7.0","0.7","0.0","2.1","67","51","489","1","438","5.0","20","0.050","2.80","0.15","5.0","94","0.138","1.42","0.21","13.8","169","0.018","1.65","0.25","4.7","4","0.000","3.25","0.50","0.0"
"37","Cade Otton","TB","TE","10","2025","284","-0.021","1.30","0.18","3.5","3.2","0.4","0.0","6.0","52","37","381","0","282","4.7","54","-0.074","0.85","0.16","5.6","144","0.021","1.58","0.19","4.9","85","-0.059","1.11","0.17","0.0","1","0.000","","","0.0"
"38","Tyler Warren","IND","TE","10","2025","284","0.007","2.13","0.22","3.5","3.2","0.4","0.0","3.2","64","50","617","3","370","4.7","35","0.057","0.91","0.23","8.6","131","0.015","0.92","0.11","3.1","109","-0.037","3.68","0.32","1.8","9","0.222","5.00","0.44","11.1"
"39","Hunter Henry","NE","TE","11","2025","283","0.035","1.46","0.17","6.7","6.4","0.4","0.0","3.5","50","34","422","4","424","6.0","46","-0.087","0.61","0.08","0.0","126","0.071","1.58","0.17","9.5","95","0.042","1.66","0.21","6.3","16","0.063","1.81","0.19","6.3"
"40","Zay Flowers","BLT","WR","10","2025","281","0.110","2.48","0.25","14.2","10.7","3.6","0.0","6.8","70","53","703","1","610","8.0","175","0.126","2.27","0.22","16.6","105","0.086","2.83","0.29","10.5","","","","","0.0","1","0.000","","","0.0"
"41","DK Metcalf","PIT","WR","10","2025","279","0.000","1.91","0.22","11.8","9.7","1.8","0.4","13.6","63","37","551","5","696","6.0","219","-0.005","2.19","0.24","12.8","59","0.017","0.85","0.14","8.5","","","","","0.0","1","0.000","","","0.0"
"42","T.J. Hockenson","MIN","TE","10","2025","275","0.029","1.00","0.17","5.8","4.7","1.1","0.0","4.0","47","34","280","2","250","4.4","41","0.073","0.60","0.12","9.8","107","0.000","1.00","0.17","5.6","126","0.040","1.14","0.17","4.8","1","0.000","","1.00","0.0"
"43","Drake London","ATL","WR","9","2025","272","0.029","2.90","0.32","14.3","12.9","1.5","0.0","12.1","90","60","810","6","921","10.0","189","0.011","2.90","0.31","13.8","83","0.072","2.92","0.36","15.7","","","","","0.0","","","","","0.0"
"44","Jaylen Waddle","MIA","WR","11","2025","269","0.100","2.62","0.26","15.6","13.0","2.6","0.0","7.8","71","49","722","5","931","8.9","206","0.117","2.88","0.28","17.5","61","0.049","1.68","0.16","9.8","","","","","0.0","2","0.000","3.50","0.50","0.0"
"45","Zach Ertz","WAS","TE","11","2025","267","0.041","1.43","0.21","9.0","9.0","0.0","0.0","4.9","56","39","387","4","504","7.4","37","0.000","1.24","0.27","8.1","152","0.020","1.18","0.18","7.2","78","0.103","2.00","0.23","12.8","","","","","0.0"
"46","Deebo Samuel","WAS","WR","10","2025","264","0.004","1.75","0.25","8.3","7.6","0.8","0.0","8.7","68","53","470","5","365","5.4","96","0.031","2.03","0.24","13.5","161","-0.012","1.58","0.26","5.6","","","","","0.0","7","0.000","2.00","0.29","0.0"
"47","Xavier Hutchinson","HST","WR","10","2025","263","-0.030","1.00","0.13","6.5","6.1","0.4","0.0","9.5","34","24","264","3","317","6.6","214","-0.047","0.63","0.09","6.1","49","0.041","2.58","0.30","8.2","","","","","0.0","","","","","0.0"
"48","Jakobi Meyers","LV, JAX","WR","9","2025","262","0.011","1.71","0.21","7.3","5.7","1.5","0.0","7.6","56","41","457","0","516","8.4","112","0.036","1.79","0.23","9.8","150","-0.007","1.65","0.20","5.3","","","","","0.0","","","","","0.0"
"49","A.J. Brown","PHI","WR","9","2025","261","0.050","1.71","0.24","13.4","11.1","2.3","0.0","10.7","64","38","457","3","752","7.3","234","0.038","1.85","0.23","12.8","27","0.148","0.59","0.31","18.5","","","","","0.0","","","","","0.0"
"50","Stefon Diggs","NE","WR","11","2025","261","0.050","2.47","0.27","10.0","8.4","1.5","0.0","6.5","71","59","659","3","644","7.0","138","0.094","3.01","0.31","13.8","122","0.000","1.89","0.22","5.7","","","","","0.0","1","0.000","","","0.0"
"51","Brian Thomas","JAX","WR","8","2025","260","0.019","1.60","0.23","11.5","10.4","1.2","0.0","10.8","59","30","420","1","730","8.7","202","0.025","2.01","0.23","13.4","58","0.000","0.17","0.22","5.2","","","","","0.0","","","","","0.0"
