"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"98","JuJu Smith-Schuster","KC","WR","10","2025","194","0.026","1.46","0.14","10.3","8.8","1.5","0.0","9.3","28","25","291","1","138","6.9","107","0.019","1.03","0.09","9.3","86","0.035","2.01","0.20","11.6","1","0.000","","","0.0","","","","","0.0"
"99","Van Jefferson","TEN","WR","10","2025","194","-0.026","0.96","0.16","8.2","7.2","1.0","0.0","11.9","32","17","189","1","389","8.7","173","-0.029","0.88","0.15","8.1","21","0.000","1.67","0.24","9.5","","","","","0.0","","","","","0.0"
"100","Alvin Kamara","NO","RB","10","2025","193","0.005","0.93","0.19","0.5","0.0","0.5","0.0","0.5","37","31","182","0","49","-1.6","15","0.000","1.87","0.13","0.0","16","-0.063","","0.06","0.0","","","","","0.0","162","0.012","0.93","0.21","0.6"
"101","Jayden Higgins","HST","WR","10","2025","192","0.047","1.31","0.18","11.5","9.9","1.6","0.0","7.8","36","23","256","3","428","7.7","159","0.031","1.32","0.19","11.9","33","0.121","1.32","0.15","9.1","","","","","0.0","","","","","0.0"
"102","Tyler Lockett","TEN, LV","WR","10","2025","190","0.021","0.77","0.15","7.4","6.3","1.1","0.0","6.3","28","18","147","0","155","7.0","45","0.067","1.31","0.22","11.1","145","0.007","0.61","0.12","6.2","","","","","0.0","","","","","0.0"
"103","Mark Andrews","BLT","TE","10","2025","189","0.058","1.43","0.22","9.5","9.0","0.5","0.0","4.2","43","32","276","5","331","6.0","35","-0.057","1.17","0.14","2.9","122","0.115","1.75","0.25","12.3","32","-0.031","0.47","0.19","6.3","","","","","0.0"
"104","Tez Johnson","TB","WR","9","2025","186","0.081","1.38","0.16","10.2","7.5","1.6","1.1","5.9","31","20","261","4","406","8.6","108","0.074","1.01","0.17","12.0","77","0.091","1.91","0.16","7.8","","","","","0.0","1","0.000","","","0.0"
"105","Jonnu Smith","PIT","TE","10","2025","185","-0.043","0.85","0.19","1.1","1.1","0.0","0.0","5.4","36","26","163","2","169","3.8","29","-0.103","0.31","0.17","3.4","87","-0.034","0.99","0.18","1.1","66","-0.030","0.94","0.22","0.0","3","0.000","","","0.0"
"106","Tucker Kraft","GB","TE","8","2025","185","0.070","2.57","0.22","9.2","8.1","1.1","0.0","2.7","42","32","489","6","193","3.1","23","0.130","0.33","0.08","13.0","62","0.048","3.15","0.23","8.1","100","0.070","2.73","0.25","9.0","","","","","0.0"
"107","Chris Moore","WAS","WR","10","2025","184","0.049","1.02","0.11","14.7","12.5","2.2","0.0","12.0","20","10","192","1","316","9.8","157","0.019","1.06","0.11","12.7","27","0.222","0.79","0.07","25.9","","","","","0.0","","","","","0.0"
"108","Chimere Dike","TEN","WR","10","2025","180","0.022","1.14","0.19","6.1","5.0","1.1","0.0","5.0","34","23","208","1","279","6.5","47","0.106","1.17","0.19","10.6","133","-0.008","1.13","0.19","4.5","","","","","0.0","","","","","0.0"
"109","Jake Tonges","SF","TE","11","2025","180","-0.017","1.24","0.19","2.8","2.8","0.0","0.0","4.4","35","26","226","4","153","3.9","13","-0.077","","","0.0","53","-0.057","0.98","0.22","1.9","113","0.009","1.42","0.19","3.5","1","0.000","11.00","1.00","0.0"
"110","Matthew Golden","GB","WR","9","2025","178","0.101","1.55","0.17","11.2","6.7","3.9","0.6","6.2","31","24","286","0","415","8.1","95","0.158","1.37","0.16","13.7","79","0.025","1.83","0.18","7.6","4","0.250","","","25.0","","","","","0.0"
"111","Tony Pollard","TEN","RB","10","2025","176","-0.006","0.84","0.15","0.0","0.0","0.0","0.0","0.6","27","22","147","0","9","-2.0","5","0.000","","","0.0","12","-0.083","","0.08","0.0","","","","","0.0","159","0.000","0.92","0.16","0.0"
"112","AJ Barner","SEA","TE","10","2025","176","0.000","1.63","0.18","1.1","0.6","0.0","0.6","2.3","34","31","306","4","197","3.7","5","0.000","","","0.0","17","-0.118","0.39","0.11","0.0","151","0.013","1.83","0.19","1.3","3","0.000","1.00","0.33","0.0"
"113","Calvin Austin","PIT","WR","8","2025","176","-0.017","1.31","0.19","7.4","6.3","1.1","0.0","9.7","36","22","242","2","368","6.6","89","-0.056","0.81","0.13","6.7","85","0.000","1.62","0.25","7.1","","","","","0.0","2","1.000","9.00","0.50","50.0"
"114","Kyren Williams","LA","RB","10","2025","174","0.023","1.04","0.17","1.7","1.1","0.6","0.0","0.0","30","23","182","3","77","-1.4","1","0.000","","","0.0","19","0.105","2.53","0.21","10.5","","","","","0.0","154","0.013","0.86","0.17","0.6"
"115","Dyami Brown","JAX","WR","9","2025","174","0.046","1.24","0.20","13.2","11.5","1.1","0.6","10.9","36","19","219","1","526","10.6","125","0.080","1.51","0.21","16.0","49","-0.041","0.58","0.18","6.1","","","","","0.0","","","","","0.0"
"116","Colston Loveland","CHI","TE","9","2025","172","0.012","1.84","0.18","5.2","5.2","0.0","0.0","4.1","33","24","329","2","285","6.6","41","0.049","0.95","0.09","12.2","47","0.021","2.20","0.24","8.5","81","-0.012","1.94","0.18","0.0","3","0.000","5.67","0.67","0.0"
"117","Ashton Jeanty","LV","RB","10","2025","172","0.006","0.94","0.21","0.6","0.6","0.0","0.0","0.0","37","29","163","3","-84","-3.9","6","0.000","1.33","0.33","0.0","7","0.000","1.00","0.29","0.0","","","","","0.0","159","0.006","0.93","0.21","0.6"
"118","Cedric Tillman","CLV","WR","6","2025","172","0.110","0.96","0.15","16.3","14.0","2.3","0.0","7.6","26","16","169","2","235","8.8","119","0.076","0.50","0.16","14.3","53","0.189","1.98","0.13","20.8","","","","","0.0","","","","","0.0"
"119","Rachaad White","TB","RB","10","2025","172","0.000","0.83","0.17","1.2","1.2","0.0","0.0","1.2","30","28","144","0","-47","-3.2","11","0.000","1.42","0.33","9.1","17","0.000","0.65","0.06","5.9","","","","","0.0","144","0.000","0.80","0.17","0.0"
"120","Tyquan Thornton","KC","WR","10","2025","170","0.106","2.15","0.17","15.3","14.1","1.2","0.0","5.9","29","15","372","3","801","9.5","106","0.113","2.04","0.18","17.0","64","0.094","2.34","0.15","12.5","","","","","0.0","","","","","0.0"
"121","Dont'e Thornton","LV","WR","9","2025","170","-0.018","0.58","0.12","8.2","5.3","2.9","0.0","12.9","21","6","98","0","376","9.0","108","0.000","0.91","0.15","10.2","62","-0.048","","0.08","4.8","","","","","0.0","","","","","0.0"
"122","Tommy Tremble","CAR","TE","11","2025","170","0.000","1.08","0.14","2.9","2.9","0.0","0.0","2.9","24","19","184","1","93","3.5","23","0.000","0.35","0.04","4.3","60","-0.033","1.43","0.17","1.7","83","0.024","1.07","0.15","3.6","4","0.000","","","0.0"
"123","Jahmyr Gibbs","DET","RB","10","2025","167","0.012","2.00","0.26","3.0","3.0","0.0","0.0","1.2","43","37","334","2","-25","-2.8","11","0.091","6.73","0.45","9.1","8","0.000","0.50","0.38","0.0","","","","","0.0","148","0.007","1.73","0.24","2.7"
"124","Cole Kmet","CHI","TE","9","2025","164","0.006","1.14","0.16","3.0","3.0","0.0","0.0","2.4","27","16","192","1","259","5.3","41","0.024","1.40","0.17","4.9","37","0.027","1.76","0.13","8.1","80","-0.013","0.81","0.17","0.0","6","0.000","","0.14","0.0"
"125","Zay Jones","ARZ","WR","8","2025","161","0.062","1.12","0.10","11.2","9.9","1.2","0.0","6.2","16","12","183","0","223","8.7","112","0.089","1.41","0.11","10.7","49","0.000","0.45","0.08","12.2","","","","","0.0","","","","","0.0"
"126","Jordan Whittington","LA","WR","10","2025","158","0.044","0.82","0.11","8.9","8.9","0.0","0.0","4.4","18","13","130","0","119","6.9","64","0.125","0.31","0.09","14.1","93","-0.011","1.07","0.12","5.4","","","","","0.0","1","0.000","9.00","1.00","0.0"
"127","Pat Bryant","DEN","WR","11","2025","157","0.051","1.43","0.14","10.8","10.2","0.6","0.0","6.4","22","15","231","1","239","8.3","67","0.119","1.82","0.16","16.4","89","0.000","1.16","0.12","6.7","1","0.000","","","0.0","","","","","0.0"
"128","Greg Dortch","ARZ","WR","10","2025","156","0.045","0.89","0.14","5.8","4.5","1.3","0.0","2.6","22","21","139","2","14","3.0","39","0.051","1.36","0.21","7.7","113","0.044","0.71","0.11","5.3","","","","","0.0","4","0.000","1.25","0.25","0.0"
"129","DeMario Douglas","NE","WR","11","2025","155","0.129","2.09","0.21","14.8","11.6","2.6","0.6","5.2","33","23","332","3","305","5.7","29","0.310","3.45","0.31","24.1","122","0.082","1.71","0.18","12.3","","","","","0.0","4","0.250","4.25","0.25","25.0"
"130","TreVeyon Henderson","NE","RB","11","2025","155","0.000","1.04","0.18","0.0","0.0","0.0","0.0","0.0","29","26","165","1","-11","-1.1","11","0.000","0.55","0.09","0.0","6","0.000","-0.17","0.17","0.0","1","0.000","1.00","1.00","0.0","137","0.000","1.14","0.19","0.0"
"131","Dawson Knox","BUF","TE","10","2025","154","-0.006","1.13","0.13","6.5","6.5","0.0","0.0","7.1","20","13","178","1","188","5.7","23","0.174","0.63","0.08","21.7","60","-0.083","1.32","0.12","3.3","67","0.000","1.22","0.16","4.5","4","0.000","","","0.0"
"132","Josh Reynolds","NYJ","WR","5","2025","151","0.000","0.66","0.14","7.3","6.6","0.7","0.0","7.9","21","11","101","0","278","9.2","117","-0.017","0.69","0.15","6.8","34","0.059","0.56","0.09","8.8","","","","","0.0","","","","","0.0"
"133","Jaylin Lane","WAS","WR","11","2025","151","0.053","1.47","0.19","14.6","13.2","1.3","0.0","10.6","29","16","225","0","383","8.6","88","-0.011","1.44","0.21","13.6","63","0.143","1.51","0.16","15.9","","","","","0.0","","","","","0.0"
"134","Ricky Pearsall","SF","WR","5","2025","151","0.126","2.15","0.20","18.5","16.6","2.0","0.0","7.3","31","21","327","0","477","10.1","115","0.087","1.92","0.17","17.4","36","0.250","2.89","0.31","22.2","","","","","0.0","","","","","0.0"
"135","Kenneth Gainwell","PIT","RB","10","2025","151","0.026","1.30","0.27","2.6","2.0","0.7","0.0","0.7","42","36","204","2","-32","-1.9","9","0.000","","","0.0","22","0.182","2.73","0.50","13.6","18","0.000","0.76","0.19","0.0","102","0.000","1.22","0.26","1.0"
"136","Saquon Barkley","PHI","RB","10","2025","151","0.020","1.36","0.22","1.3","0.7","0.0","0.7","0.7","33","28","207","2","11","-1.8","19","0.053","0.65","0.25","5.3","12","0.000","0.33","0.17","0.0","","","","","0.0","120","0.017","1.58","0.22","0.8"
"137","Pat Freiermuth","PIT","TE","10","2025","150","-0.060","1.79","0.18","4.0","3.3","0.7","0.0","10.0","28","23","279","3","172","4.9","34","-0.088","0.47","0.06","5.9","88","-0.057","2.52","0.24","4.5","28","-0.036","1.17","0.13","0.0","","","","","0.0"
"138","Nick Westbrook-Ikhine","MIA","WR","11","2025","149","-0.020","0.58","0.11","1.3","1.3","0.0","0.0","3.4","17","11","89","0","90","7.2","84","-0.036","0.81","0.14","1.2","65","0.000","0.28","0.07","1.5","","","","","0.0","","","","","0.0"
"139","Marvin Mims","DEN","WR","9","2025","149","0.107","1.53","0.21","10.1","7.4","2.0","0.7","2.7","32","22","234","1","402","5.7","104","0.087","1.14","0.16","10.6","42","0.167","1.91","0.30","9.5","","","","","0.0","3","0.000","10.00","0.67","0.0"
"140","Christian Kirk","HST","WR","6","2025","148","0.014","0.96","0.19","7.4","6.1","1.4","0.0","7.4","28","16","144","0","229","4.9","40","-0.025","0.63","0.13","7.5","106","0.028","1.05","0.20","7.5","","","","","0.0","2","0.000","3.00","0.50","0.0"
"141","Calvin Ridley","TEN","WR","7","2025","147","-0.007","2.05","0.23","6.8","4.8","2.0","0.0","9.5","34","17","303","0","439","9.1","112","-0.027","2.14","0.25","6.3","35","0.057","1.74","0.17","8.6","","","","","0.0","","","","","0.0"
"142","Tre Harris","LAC","WR","11","2025","145","0.007","0.91","0.13","8.3","7.6","0.7","0.0","8.3","19","16","137","1","135","6.5","86","0.035","1.10","0.13","10.5","55","-0.018","0.63","0.11","5.5","3","-0.333","1.00","0.33","0.0","1","0.000","","","0.0"
"143","Travis Etienne","JAX","RB","10","2025","144","0.000","0.90","0.21","0.0","0.0","0.0","0.0","0.0","30","21","130","1","-63","-2.7","6","0.000","1.83","0.17","0.0","16","0.000","0.94","0.25","0.0","","","","","0.0","122","0.000","0.85","0.20","0.0"
"144","Noah Fant","CIN","TE","9","2025","144","0.007","1.73","0.22","2.8","2.1","0.7","0.0","2.8","33","30","256","3","115","3.2","13","0.077","","0.08","7.7","32","-0.031","0.26","0.06","3.1","97","0.010","2.49","0.30","2.1","2","0.000","","","0.0"
"145","David Sills","ATL","WR","10","2025","144","0.028","0.23","0.05","9.0","8.3","0.7","0.0","6.9","8","4","34","0","110","9.4","75","0.067","0.15","0.04","10.7","69","-0.014","0.32","0.07","7.2","","","","","0.0","","","","","0.0"
"146","Ja'Tavion Sanders","CAR","TE","8","2025","144","0.042","1.16","0.20","7.6","6.9","0.7","0.0","4.2","29","24","170","0","161","5.5","25","0.120","0.27","0.12","20.0","86","0.012","1.60","0.24","4.7","32","0.063","0.69","0.16","6.3","1","0.000","","","0.0"
"147","Noah Gray","KC","TE","10","2025","143","0.000","0.74","0.14","7.0","5.6","1.4","0.0","8.4","21","13","107","0","123","6.0","27","-0.074","0.59","0.11","7.4","46","0.000","0.70","0.17","6.5","68","0.029","0.72","0.13","7.4","2","0.000","4.00","0.50","0.0"
"148","Hunter Renfrow","CAR","WR","6","2025","142","0.113","0.62","0.16","11.3","9.2","2.1","0.0","2.1","23","15","89","2","187","5.6","28","0.214","1.25","0.18","17.9","114","0.088","0.47","0.16","9.6","","","","","0.0","","","","","0.0"
"149","Kalif Raymond","DET","WR","10","2025","142","0.063","0.80","0.12","7.7","7.0","0.7","0.0","2.1","17","13","113","0","94","7.9","86","0.047","0.67","0.09","7.0","56","0.089","0.98","0.16","8.9","","","","","0.0","","","","","0.0"
"150","Tyler Higbee","LA","TE","9","2025","141","-0.014","1.29","0.20","3.5","3.5","0.0","0.0","5.0","30","20","190","2","143","5.0","21","0.048","","0.05","9.5","37","-0.027","0.84","0.14","5.4","82","-0.024","1.81","0.27","1.2","1","0.000","","","0.0"
"151","D'Andre Swift","CHI","RB","9","2025","140","0.021","1.48","0.23","2.1","2.1","0.0","0.0","0.0","32","23","210","1","-36","-2.4","7","0.000","","0.25","0.0","10","0.000","5.80","0.20","0.0","5","0.200","0.40","0.20","20.0","118","0.017","1.26","0.23","1.7"
"152","Demarcus Robinson","SF","WR","8","2025","140","0.064","1.08","0.16","13.6","12.9","0.7","0.0","7.9","23","12","155","0","323","9.0","92","0.087","1.38","0.17","17.4","47","0.021","0.52","0.15","6.4","1","0.000","","","0.0","","","","","0.0"
"153","KaVontae Turpin","DAL","WR","8","2025","139","0.173","1.30","0.17","15.1","10.8","4.3","0.0","2.2","24","16","184","1","184","6.4","33","0.273","2.17","0.31","24.2","105","0.143","1.02","0.12","12.4","","","","","0.0","1","0.000","","","0.0"
"154","Rico Dowdle","CAR","RB","11","2025","138","0.000","1.43","0.20","0.7","0.7","0.0","0.0","0.7","28","23","197","1","-18","-2.7","24","0.000","0.46","0.04","0.0","7","0.000","","0.14","0.0","","","","","0.0","107","0.000","1.74","0.24","0.9"
"155","George Kittle","SF","TE","6","2025","138","0.014","1.79","0.21","7.2","6.5","0.7","0.0","6.5","30","27","251","5","184","5.7","12","-0.167","0.83","0.17","0.0","45","-0.022","1.66","0.19","4.4","81","0.062","2.01","0.23","9.9","","","","","0.0"
"156","James Cook","BUF","RB","10","2025","138","0.007","1.34","0.16","0.7","0.0","0.7","0.0","0.7","23","21","190","1","26","-1.8","","","","","0.0","2","0.000","","","0.0","","","","","0.0","136","0.007","1.36","0.16","0.7"
"157","Gunnar Helm","TEN","TE","10","2025","137","0.015","1.54","0.21","5.1","5.1","0.0","0.0","3.6","29","24","216","1","200","4.7","12","-0.083","0.08","0.08","0.0","50","0.020","1.44","0.26","2.0","75","0.027","1.83","0.19","8.0","","","","","0.0"
"158","Josh Jacobs","GB","RB","10","2025","137","-0.007","1.72","0.25","0.0","0.0","0.0","0.0","0.7","34","28","237","0","-61","-3.3","9","-0.111","3.89","0.22","0.0","2","0.000","15.50","0.50","0.0","7","0.000","1.43","0.29","0.0","119","0.000","1.34","0.24","0.0"
"159","Jerome Ford","CLV","RB","10","2025","137","0.007","0.55","0.18","0.7","0.7","0.0","0.0","0.0","25","21","76","0","-30","-3.5","5","0.000","","0.20","0.0","1","0.000","","","0.0","16","0.000","","","0.0","115","0.009","0.66","0.21","0.9"
"160","Tyler Johnson","NYJ","WR","9","2025","135","-0.044","1.36","0.10","3.0","3.0","0.0","0.0","7.4","14","10","187","1","213","8.0","78","-0.051","1.84","0.13","3.8","57","-0.035","0.69","0.07","1.8","","","","","0.0","","","","","0.0"
"161","Dontayvion Wicks","GB","WR","8","2025","135","0.126","1.31","0.20","16.3","13.3","2.2","0.7","7.4","28","18","181","0","333","9.0","65","0.154","1.45","0.22","21.5","69","0.101","1.20","0.19","11.6","1","0.000","","","0.0","","","","","0.0"
"162","Chuba Hubbard","CAR","RB","9","2025","134","0.000","0.92","0.18","0.0","0.0","0.0","0.0","0.0","25","17","126","2","-9","-2.2","27","0.000","0.57","0.11","0.0","7","0.000","4.57","0.29","0.0","","","","","0.0","100","0.000","0.76","0.20","0.0"
"163","Michael Mayer","LV","TE","8","2025","132","-0.008","1.25","0.23","3.0","2.3","0.8","0.0","4.5","31","21","168","1","123","4.7","9","-0.222","","0.09","0.0","29","0.000","1.00","0.21","6.9","90","0.011","1.42","0.24","2.2","4","0.000","2.75","0.50","0.0"
"164","Woody Marks","HST","RB","10","2025","132","0.008","1.42","0.19","3.0","2.3","0.8","0.0","3.0","25","16","190","2","43","0.2","6","-0.167","","0.17","0.0","6","0.000","1.00","0.17","16.7","","","","","0.0","120","0.017","1.51","0.19","2.5"
"165","Rhamondre Stevenson","NE","RB","8","2025","131","0.008","1.28","0.14","2.3","1.5","0.8","0.0","2.3","19","16","169","0","76","0.3","8","-0.125","1.88","0.25","0.0","1","0.000","","","0.0","","","","","0.0","122","0.016","1.25","0.14","2.5"
"166","Ray-Ray McCloud","ATL, NYG","WR","6","2025","128","0.039","0.54","0.10","10.2","9.4","0.8","0.0","7.0","13","7","69","0","80","8.4","87","-0.023","-0.08","0.07","5.7","41","0.171","1.85","0.17","19.5","","","","","0.0","","","","","0.0"
"167","Jamari Thrash","CLV","WR","9","2025","127","0.000","0.84","0.11","5.5","5.5","0.0","0.0","5.5","14","10","107","0","140","7.0","56","-0.018","0.68","0.13","5.4","71","0.014","0.96","0.10","5.6","","","","","0.0","","","","","0.0"
"168","Isiah Pacheco","KC","RB","8","2025","126","0.000","0.34","0.13","0.0","0.0","0.0","0.0","0.0","17","11","43","1","-42","-2.7","10","0.000","","","0.0","9","0.000","","","0.0","","","","","0.0","107","0.000","0.40","0.16","0.0"
"169","Dalton Kincaid","BUF","TE","8","2025","126","0.103","3.37","0.27","11.9","9.5","1.6","0.8","4.8","36","29","448","4","338","7.3","30","0.033","3.25","0.19","6.7","69","0.174","3.03","0.26","14.5","27","0.000","4.34","0.38","11.1","","","","","0.0"
"170","Tyrone Tracy","NYG","RB","9","2025","126","0.000","1.09","0.18","0.0","0.0","0.0","0.0","0.0","23","18","138","0","-25","-1.5","8","0.000","","","0.0","8","0.000","0.67","0.11","0.0","","","","","0.0","110","0.000","1.20","0.20","0.0"
"171","Jaylin Noel","HST","WR","10","2025","126","-0.016","1.62","0.19","4.0","4.0","0.0","0.0","5.6","25","19","209","1","233","5.8","41","0.000","1.29","0.12","2.4","84","-0.024","1.79","0.23","4.8","","","","","0.0","1","0.000","","","0.0"
"172","Ryan Flournoy","DAL","WR","9","2025","126","0.000","1.57","0.18","7.9","7.1","0.8","0.0","8.7","23","17","200","2","211","6.7","79","0.000","1.04","0.13","7.6","47","0.000","2.46","0.27","8.5","","","","","0.0","","","","","0.0"
"173","Tory Horton","SEA","WR","8","2025","125","0.080","1.28","0.17","14.4","12.8","0.8","0.8","8.8","22","13","161","5","353","9.7","98","0.071","1.07","0.17","14.3","27","0.111","2.04","0.19","14.8","","","","","0.0","","","","","0.0"
"174","Breece Hall","NYJ","RB","10","2025","124","0.024","1.81","0.22","1.6","0.8","0.8","0.0","0.0","28","24","226","1","83","-1.5","6","0.000","2.17","0.33","0.0","5","0.000","0.20","0.20","0.0","","","","","0.0","113","0.027","1.86","0.22","1.8"
"175","Malik Nabers","NYG","WR","4","2025","123","0.049","2.13","0.25","5.7","4.1","1.6","0.0","2.4","32","18","271","2","542","6.1","93","0.054","2.16","0.27","6.5","30","0.033","2.03","0.20","3.3","","","","","0.0","","","","","0.0"
"176","Austin Hooper","NE","TE","10","2025","121","-0.017","1.39","0.12","1.7","1.7","0.0","0.0","3.3","15","13","174","1","142","4.7","20","-0.100","0.14","0.05","0.0","9","0.000","1.33","0.22","0.0","91","0.000","1.69","0.13","2.2","1","0.000","","","0.0"
"177","Isaiah Likely","BLT","TE","7","2025","120","0.017","0.98","0.13","4.2","4.2","0.0","0.0","2.5","16","12","118","0","96","5.1","17","-0.059","0.65","0.12","0.0","81","0.037","1.02","0.12","4.9","22","0.000","1.05","0.18","4.5","","","","","0.0"
"178","Cam Skattebo","NYG","RB","8","2025","119","0.008","1.70","0.25","0.8","0.0","0.8","0.0","0.8","30","24","207","2","4","-1.7","7","0.000","2.14","0.29","0.0","7","0.000","0.57","0.29","0.0","","","","","0.0","105","0.010","1.74","0.24","1.0"
"179","Kyle Juszczyk","SF","FB","11","2025","117","-0.009","1.33","0.18","1.7","1.7","0.0","0.0","2.6","21","18","160","1","74","2.1","14","-0.071","1.57","0.21","0.0","35","0.029","1.23","0.20","2.9","47","-0.043","0.76","0.08","0.0","21","0.048","2.64","0.32","4.8"
"180","Kimani Vidal","LAC","RB","8","2025","117","0.009","0.43","0.13","0.9","0.9","0.0","0.0","1.7","15","12","52","1","-26","-3.1","4","0.000","","","0.0","3","0.000","4.33","0.33","0.0","1","0.000","","","0.0","109","0.009","0.35","0.13","0.9"
"181","Jalen Coker","CAR","WR","5","2025","115","0.000","1.02","0.12","9.6","9.6","0.0","0.0","9.6","14","11","118","0","126","7.1","40","-0.075","1.30","0.18","7.5","75","0.040","0.87","0.09","10.7","","","","","0.0","","","","","0.0"
"182","Omarion Hampton","LAC","RB","5","2025","114","0.009","1.16","0.18","0.9","0.9","0.0","0.0","0.0","21","20","136","0","-27","-2.3","5","0.000","3.80","0.20","0.0","6","0.000","3.00","0.50","0.0","1","0.000","2.50","0.50","0.0","102","0.010","0.90","0.15","1.0"
"183","Josh Palmer","BUF","WR","7","2025","114","0.114","2.13","0.21","14.9","12.3","1.8","0.9","7.0","25","16","251","0","302","8.5","88","0.125","2.21","0.22","13.6","26","0.077","1.85","0.19","19.2","","","","","0.0","","","","","0.0"
"184","RJ Harvey","DEN","RB","11","2025","114","0.026","1.67","0.27","1.8","0.9","0.0","0.9","0.9","32","28","195","4","19","-1.0","20","0.000","0.45","0.10","0.0","16","0.000","1.13","0.25","0.0","3","0.000","","","0.0","75","0.040","2.15","0.33","2.7"
"185","DeAndre Hopkins","BLT","WR","10","2025","113","-0.088","1.92","0.19","6.2","5.3","0.9","0.0","15.9","22","13","219","2","335","6.8","84","-0.083","2.42","0.22","7.1","29","-0.103","0.45","0.10","3.4","","","","","0.0","","","","","0.0"
"186","Roman Wilson","PIT","WR","10","2025","113","0.062","1.37","0.14","8.0","6.2","1.8","0.0","3.5","17","12","166","2","177","7.2","92","0.043","1.61","0.14","6.5","21","0.143","0.32","0.14","14.3","","","","","0.0","","","","","0.0"
"187","Elijah Arroyo","SEA","TE","10","2025","113","0.088","1.49","0.19","8.0","5.3","2.7","0.0","1.8","22","14","174","1","186","5.7","25","0.200","0.88","0.16","16.0","19","0.053","0.25","0.15","10.5","68","0.059","1.90","0.20","4.4","1","0.000","12.00","1.00","0.0"
"188","Adam Thielen","MIN","WR","10","2025","112","0.054","0.61","0.15","8.9","8.9","0.0","0.0","3.6","17","8","69","0","144","7.0","51","0.059","0.85","0.25","9.8","60","0.050","0.42","0.07","8.3","","","","","0.0","1","0.000","","","0.0"
"189","Ty Johnson","BUF","RB","10","2025","111","0.018","1.02","0.11","1.8","1.8","0.0","0.0","0.0","12","8","116","1","-7","0.1","19","0.000","","","0.0","19","0.000","3.45","0.15","0.0","","","","","0.0","73","0.027","0.63","0.12","2.7"
"190","Elijah Higgins","ARZ","TE","10","2025","111","0.009","1.42","0.17","3.6","3.6","0.0","0.0","2.7","19","16","162","0","60","3.8","11","0.091","0.64","0.09","9.1","37","0.027","0.68","0.14","2.7","58","-0.017","1.82","0.18","3.4","5","0.000","3.80","0.40","0.0"
"191","Jordan Mason","MIN","RB","10","2025","111","0.009","0.39","0.13","0.9","0.9","0.0","0.0","0.0","14","12","44","0","-46","-2.8","4","0.000","","","0.0","2","0.000","","","0.0","11","0.000","","","0.0","94","0.011","0.46","0.15","1.1"
"192","Kyle Williams","NE","WR","11","2025","111","-0.009","0.82","0.10","8.1","7.2","0.9","0.0","9.0","11","3","92","1","236","8.0","97","-0.031","0.94","0.09","7.2","14","0.143","","0.14","14.3","","","","","0.0","","","","","0.0"
"193","Brenton Strange","JAX","TE","5","2025","109","0.037","1.85","0.22","5.5","5.5","0.0","0.0","1.8","24","20","204","0","130","3.4","21","0.143","2.76","0.38","14.3","41","0.000","2.02","0.21","2.4","47","0.021","1.30","0.15","4.3","","","","","0.0"
"194","Daniel Bellinger","NYG","TE","10","2025","109","-0.055","1.77","0.13","2.8","2.8","0.0","0.0","8.3","15","12","202","1","177","5.1","16","-0.125","0.71","0.12","0.0","40","-0.075","1.83","0.12","2.5","43","-0.023","2.16","0.16","4.7","10","0.000","1.64","0.09","0.0"
"195","Justice Hill","BLT","RB","9","2025","108","0.000","1.54","0.25","0.0","0.0","0.0","0.0","0.0","27","21","169","1","-15","-2.5","5","0.000","","","0.0","8","0.000","1.25","0.63","0.0","","","","","0.0","95","0.000","1.66","0.23","0.0"
"196","Devaughn Vele","NO","WR","9","2025","106","0.000","0.51","0.12","2.8","2.8","0.0","0.0","2.8","13","6","54","1","163","8.2","59","-0.017","0.51","0.14","3.4","44","0.023","0.41","0.09","2.3","3","0.000","2.00","0.33","0.0","","","","","0.0"
"197","Tutu Atwell","LA","WR","6","2025","106","0.057","1.52","0.08","6.6","5.7","0.0","0.9","2.8","9","4","164","1","170","9.6","38","0.026","0.11","0.13","7.9","68","0.074","2.29","0.06","5.9","","","","","0.0","","","","","0.0"
"198","Hunter Long","JAX","TE","8","2025","106","-0.038","0.79","0.15","2.8","2.8","0.0","0.0","6.6","16","12","85","2","65","3.6","23","-0.130","0.48","0.09","0.0","26","-0.077","0.62","0.12","0.0","56","0.018","1.00","0.19","5.4","1","0.000","","","0.0"
"199","Luke Musgrave","GB","TE","10","2025","103","0.010","1.05","0.14","2.9","1.9","1.0","0.0","2.9","15","13","110","0","91","5.7","9","0.000","","0.11","0.0","34","-0.059","1.03","0.17","0.0","60","0.050","1.22","0.13","5.0","","","","","0.0"
"200","Allen Lazard","NYJ","WR","6","2025","103","-0.039","0.43","0.11","2.9","2.9","0.0","0.0","6.8","11","7","45","1","103","7.6","62","-0.065","0.55","0.13","1.6","41","0.000","0.26","0.07","4.9","","","","","0.0","","","","","0.0"
