"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"38","Juwan Johnson","NO","TE","10","2025","59","17.2","43","491","22.4","11.42","8.32","49.1","72.9","3","27.3","0","6","1","10.9","109.1","109.1","66.1"
"39","Dalton Schultz","HST","TE","10","2025","67","18.5","51","489","20.1","9.59","7.30","48.9","76.1","1","7.1","2","5","0","10.6","105.9","105.9","54.9"
"40","Sam LaPorta","DET","TE","9","2025","49","17.8","40","489","21.8","12.23","9.98","54.3","81.6","3","14.3","3","6","0","11.9","106.9","106.9","66.9"
"41","Tucker Kraft","GB","TE","8","2025","42","16.8","32","489","23.6","15.28","11.64","61.1","76.2","6","46.2","3","11","0","14.7","117.2","117.2","85.2"
"42","Kendrick Bourne","SF","WR","10","2025","42","11.9","31","482","18.1","15.55","11.48","48.2","73.8","0","0.0","1","2","0","7.9","79.2","79.2","48.2"
"43","Deebo Samuel","WAS","WR","10","2025","68","24.6","53","470","23.2","8.87","6.91","47.0","77.9","5","35.7","6","11","1","14.1","141.2","141.2","88.2"
"44","Jakobi Meyers","JAX, LV","WR","9","2025","56","20.7","41","457","23.5","11.15","8.16","50.8","73.2","0","0.0","0","6","0","9.6","86.7","86.7","45.7"
"45","A.J. Brown","PHI","WR","9","2025","64","25.7","38","457","25.2","12.03","7.14","50.8","59.4","3","25.0","3","8","0","11.3","101.7","101.7","63.7"
"46","Brock Bowers","LV","TE","7","2025","53","22.6","39","455","28.2","11.67","8.58","65.0","73.6","3","27.3","4","10","0","15.0","104.7","104.7","65.7"
"47","Khalil Shakir","BUF","WR","10","2025","59","19.7","46","454","18.1","9.87","7.69","45.4","78.0","3","16.7","2","8","0","11.0","109.9","109.9","63.9"
"48","Dalton Kincaid","BUF","TE","8","2025","36","14.8","29","448","22.3","15.45","12.44","56.0","80.6","4","30.8","1","5","1","12.2","97.8","97.8","68.8"
"49","Kyle Pitts","ATL","TE","10","2025","62","18.9","47","434","19.4","9.23","7.00","43.4","75.8","1","11.1","3","5","0","9.6","96.4","96.4","49.4"
"50","Kayshon Boutte","NE","WR","9","2025","30","11.7","23","431","18.8","18.74","14.37","47.9","76.7","5","29.4","0","1","0","10.7","96.1","96.1","73.1"
"51","Marquise Brown","KC","WR","10","2025","55","15.2","38","429","16.3","11.29","7.80","42.9","69.1","4","22.2","6","8","1","10.5","104.9","104.9","66.9"
"52","Hunter Henry","NE","TE","11","2025","50","15.5","34","422","14.8","12.41","8.44","38.4","68.0","4","20.0","6","9","0","9.1","100.2","100.2","66.2"
"53","Harold Fannin","CLV","TE","10","2025","62","17.2","44","422","23.5","9.59","6.81","42.2","71.0","2","22.2","1","6","0","9.9","98.8","98.8","54.8"
"54","DJ Moore","CHI","WR","10","2025","49","14.8","31","421","17.7","13.58","8.59","42.1","63.3","1","7.1","2","4","1","9.4","93.9","93.9","62.9"
"55","Brian Thomas","JAX","WR","8","2025","59","20.1","30","420","22.8","14.00","7.12","52.5","50.8","1","11.1","3","4","0","10.7","85.6","85.6","55.6"
"56","Michael Wilson","ARZ","WR","10","2025","55","14.7","37","416","16.4","11.24","7.56","41.6","67.3","1","6.3","4","6","0","8.5","84.6","84.6","47.6"
"57","Jordan Addison","MIN","WR","7","2025","49","19.4","28","412","25.3","14.71","8.41","58.9","57.1","3","33.3","1","9","0","12.7","88.8","88.8","60.8"
"58","Jake Ferguson","DAL","TE","10","2025","71","19.1","60","400","14.9","6.67","5.63","40.0","84.5","7","31.8","9","16","1","14.1","141.0","141.0","81.0"
"59","Garrett Wilson","NYJ","WR","7","2025","55","30.4","36","395","35.7","10.97","7.18","56.4","65.5","4","50.0","1","4","1","14.2","99.5","99.5","63.5"
"60","Cooper Kupp","SEA","WR","9","2025","40","15.9","29","390","17.5","13.45","9.75","43.3","72.5","1","7.7","1","4","0","8.1","73.0","73.0","44.0"
"61","Zach Ertz","WAS","TE","11","2025","56","18.2","39","387","17.2","9.92","6.91","35.2","69.6","4","26.7","4","7","1","9.4","103.7","103.7","64.7"
"62","Mack Hollins","NE","WR","11","2025","38","11.8","30","387","13.6","12.90","10.18","35.2","78.9","2","10.0","3","5","0","7.4","81.1","81.1","51.1"
"63","Cade Otton","TB","TE","10","2025","52","15.3","37","381","16.1","10.30","7.33","38.1","71.2","0","0.0","2","2","0","7.5","75.1","75.1","38.1"
"64","Jauan Jennings","SF","WR","9","2025","54","18.1","32","378","16.4","11.81","7.00","42.0","59.3","3","17.6","3","9","1","9.9","88.8","88.8","56.8"
