"Player Details","","","","","","Total","","","Rushing","","","Passing","","","Inside 5","","","Inside 10","","","Inside 20","","","FPTS",""
"Rank","Name","Team","POS","G","Season","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","FP/G","FP"
"488","Myles Price","MIN","WR","10","2025","10","574","1.7","8","204","3.9","2","370","0.5","0","18","0.0","0","34","0.0","0","91","0.0","","0.0"
"489","Owen Wright","TB","RB","2","2025","2","118","1.7","2","60","3.3","0","58","0.0","0","4","0.0","0","8","0.0","0","18","0.0","","0.0"
"490","Feleipe Franks","ATL","TE","7","2025","7","422","1.7","7","178","3.9","0","244","0.0","0","17","0.0","0","35","0.0","1","60","1.7","0.0","0.2"
"491","Ronnie Rivers","LA","RB","1","2025","1","62","1.6","0","28","0.0","1","34","2.9","0","7","0.0","0","9","0.0","0","14","0.0","","0.0"
"492","Jelani Woods","NYJ","TE","1","2025","1","70","1.4","1","32","3.1","0","38","0.0","0","2","0.0","0","9","0.0","0","21","0.0","","0.0"
"493","Jacob Saylors","DET","RB","8","2025","6","492","1.2","6","221","2.7","0","271","0.0","0","21","0.0","0","42","0.0","0","90","0.0","0.1","1.1"
"494","Ke'Shawn Williams","PIT","WR","6","2025","4","340","1.2","0","129","0.0","4","211","1.9","0","12","0.0","0","21","0.0","1","48","2.1","","0.0"
"495","Craig Reynolds","DET","RB","6","2025","4","361","1.1","4","168","2.4","0","193","0.0","0","15","0.0","0","38","0.0","0","78","0.0","0.1","0.4"
"496","Roschon Johnson","CHI","RB","6","2025","4","384","1.0","3","178","1.7","1","206","0.5","0","8","0.0","0","21","0.0","0","68","0.0","0.3","1.7"
"497","Kaden Davis","CLV","WR","2","2025","1","111","0.9","1","40","2.5","0","71","0.0","0","4","0.0","0","7","0.0","0","14","0.0","","0.0"
"498","Velus Jones","NO","RB","4","2025","2","266","0.8","2","105","1.9","0","161","0.0","0","6","0.0","0","13","0.0","0","38","0.0","","0.0"
"499","Charlie Jones","CIN","WR","10","2025","4","587","0.7","1","184","0.5","3","403","0.7","0","27","0.0","0","42","0.0","0","81","0.0","","0.0"
