"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"21","Chase Brown","CIN","RB","10","2025","126","519","51.9","4.12","2","1","28","4.0","136","26.2","81.8","1.6","48.4","46.8","24","0.19","327","2.60","63.0","1.52","62","49.2","261","1","4.21","48.4","63","50.0","257","1","4.08","49.2","13.4","133.8","162.9","16.3"
"22","Tony Pollard","TEN","RB","10","2025","129","502","50.2","3.89","2","2","26","2.3","54","10.8","40.0","1.6","43.4","48.8","15","0.12","307","2.38","61.2","1.51","63","48.8","237","0","3.76","42.9","66","51.2","265","2","4.02","43.9","9.7","96.9","116.6","11.7"
"23","Jacory Croskey-Merritt","WAS","RB","11","2025","114","498","45.3","4.37","4","2","25","4.4","115","23.1","26.7","3.5","56.1","41.2","13","0.11","286","2.51","57.4","1.86","44","38.6","192","1","4.36","61.4","70","61.4","306","3","4.37","52.9","8.0","87.6","83.5","7.6"
"24","David Montgomery","DET","RB","10","2025","110","493","49.3","4.48","5","1","23","3.6","140","28.4","58.8","4.5","44.5","50.0","14","0.13","269","2.45","54.6","2.04","70","63.6","247","1","3.53","41.4","40","36.4","246","4","6.15","50.0","11.1","111.0","101.1","10.1"
"25","TreVeyon Henderson","NE","RB","11","2025","100","492","44.7","4.92","5","1","25","5.0","185","37.6","18.8","5.0","47.0","48.0","11","0.11","174","1.74","35.4","3.18","30","30.0","170","1","5.67","56.7","65","65.0","270","3","4.15","40.0","11.5","126.7","105.8","9.6"
"26","Jordan Mason","MIN","RB","10","2025","108","489","48.9","4.53","5","2","29","4.6","96","19.6","75.0","4.6","53.7","41.7","20","0.19","242","2.24","49.5","2.29","60","55.6","235","3","3.92","43.3","47","43.5","245","2","5.21","66.0","9.4","94.3","87.5","8.8"
"27","Alvin Kamara","NO","RB","10","2025","128","460","46.0","3.59","1","1","21","3.1","66","14.3","40.0","0.8","41.4","51.6","21","0.16","220","1.72","47.8","1.88","77","60.2","287","1","3.73","37.7","51","39.8","173","0","3.39","47.1","9.9","99.2","127.5","12.7"
"28","Nick Chubb","HST","RB","10","2025","99","419","41.9","4.23","2","0","17","3.0","71","16.9","30.8","2.0","52.5","42.4","7","0.07","238","2.40","56.8","1.83","38","38.4","151","1","3.97","47.4","61","61.6","268","1","4.39","55.7","7.1","70.8","87.0","8.7"
"29","Kimani Vidal","LAC","RB","8","2025","96","417","52.1","4.34","2","1","24","5.2","123","29.5","71.4","2.1","47.9","52.1","9","0.09","213","2.22","51.1","2.13","56","58.3","260","1","4.64","48.2","40","41.7","157","1","3.93","47.5","9.6","76.9","86.9","10.9"
"30","Kyle Monangai","CHI","RB","10","2025","87","413","41.3","4.75","3","0","22","4.6","96","23.2","33.3","3.4","55.2","39.1","10","0.11","216","2.48","52.3","2.26","55","63.2","220","1","4.00","50.9","31","35.6","180","2","5.81","61.3","7.9","79.0","76.8","7.7"
"31","Cam Skattebo","NYG","RB","8","2025","101","410","51.3","4.06","5","1","27","4.0","76","18.5","69.2","5.0","50.5","42.6","26","0.26","285","2.82","69.5","1.24","62","61.4","242","1","3.90","45.2","39","38.6","168","4","4.31","59.0","16.1","128.7","119.1","14.9"
"32","Rachaad White","TB","RB","10","2025","97","376","37.6","3.88","4","0","29","1.0","16","4.3","58.3","4.1","57.7","41.2","15","0.15","168","1.73","44.7","2.14","33","34.0","136","0","4.12","54.5","61","62.9","237","4","3.89","60.7","10.4","104.0","113.3","11.3"
"33","Kareem Hunt","KC","RB","10","2025","86","353","35.3","4.10","6","1","29","1.2","33","9.3","71.4","7.0","60.5","36.0","11","0.13","195","2.27","55.2","1.84","49","57.0","240","2","4.90","59.2","32","37.2","103","4","3.22","59.4","9.4","93.9","80.0","8.0"
"34","Zach Charbonnet","SEA","RB","9","2025","105","350","38.9","3.33","6","0","20","2.9","60","17.1","55.6","5.7","44.8","49.5","17","0.16","251","2.39","71.7","0.94","72","68.6","226","5","3.14","41.7","31","29.5","116","1","3.74","51.6","9.6","86.7","91.6","10.2"
"35","Woody Marks","HST","RB","10","2025","99","348","34.8","3.52","2","0","17","4.0","77","22.1","46.2","2.0","42.4","54.5","3","0.03","208","2.10","59.8","1.41","42","42.4","131","1","3.12","40.5","57","57.6","217","1","3.81","43.9","9.4","93.8","108.0","10.8"
"36","Tyrone Tracy","NYG","RB","9","2025","83","336","37.3","4.05","1","0","18","3.6","64","19.0","0.0","1.2","45.8","48.2","5","0.06","183","2.20","54.5","1.84","52","62.7","213","0","4.10","46.2","31","37.3","123","1","3.97","45.2","7.9","71.4","74.2","8.2"
