"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"92","Ameer Abdullah","IND","RB","6","2025","8","40","6.7","5.00","1","0","3","","0","","7.7","12.5","62.5","37.5","1","0.13","23","2.88","57.5","2.13","6","75.0","32","1","5.33","66.7","2","25.0","8","0","4.00","50.0","3.0","18.0","13.9","2.3"
"93","Brittain Brown","CHI","RB","1","2025","5","37","37.0","7.40","1","0","2","20.0","22","59.5","0.0","20.0","60.0","20.0","2","0.40","12","2.40","32.4","5.00","2","40.0","23","1","11.50","50.0","3","60.0","14","0","4.67","66.7","9.7","9.7","4.0","4.0"
"94","Julius Chestnut","TEN","RB","10","2025","8","36","3.6","4.50","0","0","2","12.5","27","75.0","20.0","","37.5","62.5","1","0.13","13","1.63","36.1","2.88","2","25.0","27","0","13.50","50.0","6","75.0","9","0","1.50","33.3","0.4","3.6","10.3","1.0"
"95","Hassan Haskins","LAC","RB","7","2025","12","30","4.3","2.50","0","0","2","","0","","0.0","","25.0","75.0","0","","13","1.08","43.3","1.42","7","58.3","10","0","1.43","28.6","5","41.7","20","0","4.00","20.0","1.2","8.3","11.2","1.6"
"96","Dameon Pierce","HST","RB","4","2025","10","26","6.5","2.60","0","0","1","","0","","0.0","","20.0","80.0","0","","27","2.70","103.8","-0.10","4","40.0","16","0","4.00","25.0","6","60.0","10","0","1.67","16.7","0.7","2.6","8.4","2.1"
"97","Malik Davis","DAL","RB","4","2025","7","26","6.5","3.71","0","0","2","","0","","8.3","","57.1","42.9","0","","13","1.86","50.0","1.86","7","100.0","26","0","3.71","57.1","0","","0","0","","","0.7","2.6","4.6","1.2"
"98","Zamir White","LV","RB","3","2025","10","25","8.3","2.50","0","0","0","","0","","0.0","","20.0","50.0","0","","13","1.30","52.0","1.20","9","90.0","30","0","3.33","22.2","1","10.0","-5","0","-5.00","","2.5","7.4","11.2","3.7"
"99","Tahj Brooks","CIN","RB","8","2025","7","23","2.9","3.29","0","0","0","","0","","0.0","","42.9","57.1","1","0.14","17","2.43","73.9","0.86","6","85.7","21","0","3.50","50.0","1","14.3","2","0","2.00","","0.3","2.3","3.7","0.5"
"100","Jacardia Wright","SEA","RB","1","2025","5","20","20.0","4.00","0","0","1","","0","","0.0","","40.0","60.0","1","0.20","9","1.80","45.0","2.20","4","80.0","10","0","2.50","25.0","1","20.0","10","0","10.00","100.0","2.0","2.0","2.1","2.1"
"101","Cam Akers","MIN","RB","2","2025","5","19","9.5","3.80","0","0","1","","0","","0.0","","40.0","60.0","1","0.20","21","4.20","110.5","-0.40","1","20.0","14","0","14.00","100.0","4","80.0","5","0","1.25","25.0","3.6","7.2","4.1","2.0"
"102","Jaleel McLaughlin","DEN","RB","2","2025","7","19","9.5","2.71","1","0","2","","0","","100.0","14.3","71.4","28.6","0","","9","1.29","47.4","1.43","4","57.1","11","0","2.75","75.0","3","42.9","8","1","2.67","66.7","4.2","8.4","8.4","4.2"
"103","Dare Ogunbowale","HST","RB","10","2025","3","18","1.8","6.00","0","0","0","","0","","0.0","","","33.3","1","0.33","12","4.00","66.7","2.00","2","66.7","9","0","4.50","","1","33.3","9","0","9.00","","0.9","9.4","9.7","1.0"
"104","Roschon Johnson","CHI","RB","6","2025","2","17","2.8","8.50","0","0","1","","0","","0.0","","100.0","","0","","5","2.50","29.4","6.00","1","50.0","11","0","11.00","100.0","1","50.0","6","0","6.00","100.0","0.3","1.7","1.1","0.2"
"105","Adam Prentice","DEN","FB","11","2025","4","17","1.5","4.25","0","0","3","","0","","0.0","","75.0","","0","","10","2.50","58.8","1.75","1","25.0","3","0","3.00","","0","","0","0","","","0.7","7.8","7.4","0.7"
"106","British Brooks","HST","FB","6","2025","4","15","2.5","3.75","0","0","2","","0","","18.2","","50.0","50.0","1","0.25","11","2.75","73.3","1.00","0","","0","0","","","0","","0","0","","","0.3","1.5","7.3","1.2"
"107","Hunter Luepke","DAL","FB","10","2025","3","13","1.3","4.33","0","0","2","","0","","0.0","","66.7","","0","","5","1.67","38.5","2.67","0","","0","0","","","1","33.3","6","0","6.00","","2.0","19.9","15.0","1.5"
"108","Tyler Goodson","IND","RB","5","2025","5","12","2.4","2.40","0","0","0","","0","","0.0","","20.0","60.0","0","","8","1.60","66.7","0.80","1","20.0","2","0","2.00","","4","80.0","10","0","2.50","25.0","0.8","4.0","8.4","1.7"
"109","Jacob Saylors","DET","RB","8","2025","2","11","1.4","5.50","0","0","1","","0","","0.0","","50.0","50.0","1","0.50","6","3.00","54.5","2.50","1","50.0","9","0","9.00","100.0","1","50.0","2","0","2.00","","0.1","1.1","0.9","0.1"
"110","Josh Williams","TB","RB","2","2025","4","11","5.5","2.75","0","0","0","","0","","0.0","","25.0","50.0","0","","5","1.25","45.5","1.50","3","75.0","7","0","2.33","","1","25.0","4","0","4.00","100.0","0.6","1.1","2.4","1.2"
"111","Chris Brooks","GB","RB","10","2025","3","10","1.0","3.33","0","0","0","","0","","0.0","","","66.7","0","","4","1.33","40.0","2.00","3","100.0","10","0","3.33","","0","","0","0","","","1.3","13.4","14.7","1.5"
"112","Tyler Badie","DEN","RB","10","2025","2","9","0.9","4.50","0","0","0","","0","","0.0","","","50.0","0","","6","3.00","66.7","1.50","2","100.0","9","0","4.50","","0","","0","0","","","2.1","20.6","29.1","2.9"
"113","Alec Ingold","MIA","FB","11","2025","2","9","0.8","4.50","0","0","1","","0","","0.0","","50.0","50.0","1","0.50","8","4.00","88.9","0.50","0","","0","0","","","0","","0","0","","","0.9","9.5","11.6","1.1"
"114","Amar Johnson","LAC","RB","1","2025","2","8","8.0","4.00","0","0","0","","0","","0.0","","50.0","50.0","0","","4","2.00","50.0","2.00","0","","0","0","","","2","100.0","8","0","4.00","50.0","0.8","0.8","1.0","1.0"
"115","D'Ernest Johnson","ARZ, NE","RB","3","2025","5","7","2.3","1.40","0","0","0","","0","","25.0","","20.0","80.0","0","","7","1.40","100.0","0.00","2","40.0","4","0","2.00","50.0","3","60.0","3","0","1.00","","0.2","0.7","4.6","1.5"
"116","Clyde Edwards-Helaire","KC","RB","1","2025","2","5","5.0","2.50","0","0","0","","0","","0.0","","50.0","50.0","0","","4","2.00","80.0","0.50","2","100.0","5","0","2.50","50.0","0","","0","0","","","0.5","0.5","1.0","1.0"
"117","Dylan Laube","LV","RB","10","2025","5","5","0.5","1.00","0","0","0","","0","","0.0","","","100.0","0","","5","1.00","100.0","0.00","4","80.0","3","0","0.75","","1","20.0","2","0","2.00","","0.5","5.3","8.4","0.8"
"118","Rasheen Ali","BLT","RB","9","2025","1","5","0.6","5.00","0","0","0","","0","","0.0","","100.0","","0","","3","3.00","60.0","2.00","0","","0","0","","","1","100.0","5","0","5.00","100.0","0.3","3.0","2.0","0.2"
"119","Sione Vaki","DET","RB","3","2025","1","4","1.3","4.00","0","0","0","","0","","0.0","","100.0","","0","","2","2.00","50.0","2.00","0","","0","0","","","1","100.0","4","0","4.00","100.0","0.1","0.4","0.5","0.2"
"120","Craig Reynolds","DET","RB","6","2025","3","4","0.7","1.33","0","0","0","","0","","0.0","","","66.7","0","","1","0.33","25.0","1.00","3","100.0","4","0","1.33","","0","","0","0","","","0.1","0.4","2.1","0.4"
"121","Raheim Sanders","CLV","RB","1","2025","3","3","3.0","1.00","1","0","2","","0","","50.0","33.3","66.7","33.3","0","","2","0.67","66.7","0.33","1","33.3","1","1","1.00","100.0","1","33.3","0","0","","","6.3","6.3","7.2","7.2"
"122","Patrick Ricard","BLT","FB","4","2025","1","3","0.8","3.00","0","0","1","","0","","0.0","","100.0","","0","","1","1.00","33.3","2.00","0","","0","0","","","0","","0","0","","","0.1","0.3","0.4","0.1"
"123","Kendall Milton","CIN","RB","1","2025","2","2","2.0","1.00","0","0","0","","0","","0.0","","","100.0","0","","2","1.00","100.0","0.00","1","50.0","2","0","2.00","","1","50.0","0","0","","","0.2","0.2","1.7","1.7"
"124","Trayveon Williams","LAC","RB","2","2025","3","-1","-0.5","-0.33","0","0","0","","0","","0.0","","","100.0","0","","1","0.33","-100.0","-0.67","1","33.3","-3","0","-3.00","","2","66.7","2","0","1.00","","0.5","0.9","2.6","1.3"
"125","Nyheim Hines","LAC","RB","3","2025","2","-2","-0.7","-1.00","0","0","0","","0","","0.0","","","100.0","0","","1","0.50","-50.0","-1.50","0","","0","0","","","2","100.0","-2","0","-1.00","","-0.1","-0.2","0.9","0.3"
"126","Travis Homer","CHI","RB","4","2025","1","-2","-0.5","-2.00","0","0","0","","0","","0.0","","","100.0","0","","4","4.00","-200.0","-6.00","0","","0","0","","","1","100.0","-2","0","-2.00","","-0.1","-0.2","0.6","0.1"
"127","Kyle Juszczyk","SF","FB","11","2025","2","-3","-0.3","-1.50","0","0","0","","0","","8.3","","","100.0","0","","1","0.50","-33.3","-2.00","0","","0","0","","","0","","0","0","","","3.6","39.7","42.8","3.9"
"128","DeeJay Dallas","CAR","RB","2","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","0","","","0.00","1","100.0","0","0","","","0","","0","0","","","","0.0","0.6","0.3"
"129","Ulysses Bentley","IND","RB","1","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","","-1.00","1","100.0","0","0","","","0","","0","0","","","","0.0","0.6","0.6"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"RuYDS/G","Rushing Yards per Game"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"FUM","Rushing Fumbles"
"1D","Rushing 1st Downs"
"EXP RUN %","Percentage of Runs to go for 15+ Yards"
"EXP YDS","Rushing Yards on Runs that go for 15+ Yards"
"EXP YDS %","Percentage of Yards to come on Explosive Runs"
"i5 %","Percentage of Team's Inside the 5 Carries"
"TD RATE","Percentage of Carries where a TD is Scored"
"Success %","Rushing success rate"
"STUFF %","Percentage of Carries that are ""Stuffed"". A ""stuff"" is any run that does not result in a first down or touchdown, less than 4 yards on first down, or less than 3 yards on any other down"
"MTF","Missed Tackles Forced on Carries"
"MTF/ATT","Missed Tackles Forced per Attempt"
"YACO","Yards After Contact on Carries"
"YACO/ATT","Yards After Contact per Attempt"
"YACO %","Percentage of Yards that come After Contact"
"YBCO/ATT","Yards Before Contact per Attempt"
"ATT","Zone Attempts"
"ATT %","Zone Attempts Percentage"
"YDS","Zone Yards Total"
"TD","Zone Touchdowns Total"
"YPC","Zone Yards per Carry"
"Success %","Zone Attempts Success Rate"
"ATT","Man/Gap Attempts"
"ATT %","Man/Gap Attempts Percentage"
"YDS","Man/Gap Yards Total"
"TD","Man/Gap Touchdowns Total"
"YPC","Man/Gap Yards per Carry"
"Success %","Man/Gap Attempts Success Rate"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
"XFP","Expected Fantasy Points"
"XFP/G","Expected PPR Fantasy Points per Game"
