"Player Details","","","","","","Overall","","","","","","Slant","","","","","","","Out","","","","","","","In/Dig","","","","","","","Hitch","","","","","","","Comeback","","","","","","","Corner","","","","","","","Post","","","","","","","Go","","","","","","Crossers","","","","","","","Screens","","","","","","","Flat","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","TGT","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","ADOR","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE"
"102","Tyler Lockett","TEN, LV","WR","10","2025","190","0.021","0.77","0.15","7.4","28","21","11.1","-0.095","0.29","0.14","2.8","9.5","18","9.5","0.000","2.33","0.33","8.1","16.7","12","6.3","0.000","","0.08","12.6","8.3","33","17.4","-0.061","0.79","0.15","8.8","0.0","1","0.5","1.000","","","100.0","12.0","12","6.3","0.000","","0.08","13.8","0.0","15","7.9","0.200","","","11.2","13.3","31","16.3","0.000","0.61","0.06","0.0","32","16.8","0.125","1.25","0.19","11.0","15.6","5","2.6","0.000","1.00","0.60","-3.0","0.0","10","5.3","0.000","0.90","0.10","","0.0","","0.0","","","","","0.0"
"103","Mark Andrews","BLT","TE","10","2025","189","0.058","1.43","0.22","9.5","43","7","3.7","-0.143","0.71","0.29","2.6","0.0","36","19.0","0.194","2.44","0.36","6.7","19.4","12","6.3","0.083","0.75","0.17","9.9","8.3","41","21.7","-0.049","0.81","0.21","7.2","0.0","","0.0","","","","0.0","","22","11.6","0.091","0.73","0.09","8.5","13.6","6","3.2","0.167","","0.17","10.5","16.7","17","9.0","-0.059","3.11","0.28","0.0","28","14.8","0.143","1.38","0.17","7.0","21.4","","0.0","","","","","0.0","20","10.6","0.000","1.35","0.20","","0.0","","0.0","","","","","0.0"
"104","Tez Johnson","TB","WR","9","2025","186","0.081","1.38","0.16","10.2","31","5","2.7","0.200","2.60","0.20","4.2","20.0","17","9.1","0.294","2.00","0.29","8.8","23.5","13","7.0","0.154","","0.08","15.2","23.1","35","18.8","0.000","1.09","0.14","10.2","8.6","1","0.5","0.000","","1.00","0.0","15.0","23","12.4","0.130","0.43","0.13","13.1","8.7","19","10.2","0.263","1.76","0.24","15.3","21.1","37","19.9","-0.027","1.89","0.05","2.7","26","14.0","0.000","1.00","0.15","10.9","3.8","6","3.2","0.000","3.83","0.50","-4.3","0.0","3","1.6","0.000","2.67","0.33","","0.0","1","0.5","0.000","","","-2.0","0.0"
"105","Tucker Kraft","GB","TE","8","2025","185","0.070","2.57","0.22","9.2","42","11","5.9","0.182","2.18","0.09","2.6","18.2","14","7.6","0.000","0.57","0.07","6.2","7.1","4","2.2","0.250","","","7.5","25.0","32","17.3","0.000","0.44","0.16","5.9","0.0","","0.0","","","","0.0","","12","6.5","0.417","6.31","0.31","9.7","33.3","4","2.2","0.500","3.75","0.25","9.0","50.0","18","9.7","0.111","5.68","0.21","11.1","27","14.6","-0.037","0.54","0.18","4.0","11.1","10","5.4","0.000","6.50","0.60","-3.5","0.0","53","28.6","0.038","2.87","0.27","","3.8","","0.0","","","","","0.0"
"106","Jonnu Smith","PIT","TE","10","2025","185","-0.043","0.85","0.19","1.1","36","20","10.8","-0.150","0.50","0.05","3.6","5.0","20","10.8","-0.050","0.23","0.14","6.5","5.0","7","3.8","-0.286","","0.14","12.1","0.0","28","15.1","0.000","1.79","0.21","5.4","0.0","","0.0","","","","0.0","","17","9.2","-0.059","","0.22","7.6","0.0","7","3.8","0.000","3.00","0.14","9.1","0.0","22","11.9","-0.045","","0.08","0.0","22","11.9","0.000","0.14","0.14","5.0","0.0","11","5.9","0.000","3.82","0.82","-3.6","0.0","27","14.6","0.000","1.11","0.22","","0.0","4","2.2","0.000","","","-0.5","0.0"
"107","Chris Moore","WAS","WR","10","2025","184","0.049","1.02","0.11","14.7","20","8","4.3","-0.125","1.63","0.25","2.8","12.5","5","2.7","0.400","","0.17","18.8","40.0","20","10.9","0.250","0.95","0.10","13.6","25.0","45","24.5","-0.067","1.04","0.15","11.5","8.9","2","1.1","1.000","5.50","0.50","100.0","15.5","22","12.0","0.136","1.55","0.14","16.0","27.3","16","8.7","0.000","","","17.0","6.3","48","26.1","-0.063","0.45","0.04","4.2","16","8.7","0.250","2.75","0.13","14.3","25.0","1","0.5","0.000","","","-4.0","0.0","1","0.5","0.000","","","","0.0","","0.0","","","","","0.0"
"108","Jake Tonges","SF","TE","11","2025","180","-0.017","1.24","0.19","2.8","35","19","10.6","-0.105","1.05","0.32","2.2","0.0","9","5.0","0.000","","","5.9","0.0","12","6.7","0.083","1.50","0.17","11.4","16.7","31","17.2","-0.065","1.00","0.16","6.4","0.0","","0.0","","","","0.0","","19","10.6","0.000","1.05","0.11","6.5","5.3","5","2.8","0.000","2.33","0.33","14.2","0.0","26","14.4","-0.077","1.07","0.15","0.0","16","8.9","0.063","0.81","0.13","6.0","6.3","6","3.3","0.000","8.17","1.00","-3.8","0.0","35","19.4","0.029","0.60","0.14","","2.9","2","1.1","0.000","5.50","0.50","2.0","0.0"
"109","Chimere Dike","TEN","WR","10","2025","180","0.022","1.14","0.19","6.1","34","14","7.8","-0.071","1.00","0.14","3.4","0.0","12","6.7","-0.083","1.25","0.25","7.3","8.3","14","7.8","0.000","0.57","0.07","13.0","7.1","22","12.2","-0.045","1.30","0.17","10.0","0.0","1","0.6","0.000","","","0.0","17.0","10","5.6","0.200","","0.20","15.2","20.0","23","12.8","0.087","2.57","0.13","12.4","8.7","37","20.6","0.081","","0.05","8.1","28","15.6","0.000","1.90","0.23","7.3","7.1","12","6.7","0.000","2.58","0.75","-3.7","0.0","7","3.9","0.000","-0.86","0.14","","0.0","","0.0","","","","","0.0"
"110","Matthew Golden","GB","WR","9","2025","178","0.101","1.55","0.17","11.2","31","7","3.9","0.000","","","4.0","0.0","19","10.7","0.158","1.21","0.26","11.7","15.8","25","14.0","0.240","0.96","0.04","13.8","16.0","25","14.0","0.000","1.92","0.20","8.2","4.0","","0.0","","","","0.0","","18","10.1","0.333","2.42","0.11","14.1","27.8","13","7.3","0.000","","","14.5","7.7","35","19.7","0.114","1.77","0.15","11.4","20","11.2","-0.050","2.68","0.18","10.8","10.0","9","5.1","0.000","1.89","0.89","-3.3","0.0","7","3.9","0.000","","","","0.0","","0.0","","","","","0.0"
"111","Tony Pollard","TEN","RB","10","2025","176","-0.006","0.84","0.15","0.0","27","","0.0","","","","","0.0","1","0.6","-1.000","","","2.0","0.0","","0.0","","","","","0.0","2","1.1","0.000","","","3.5","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","0.6","0.000","","","0.0","3","1.7","0.000","","","-3.3","0.0","4","2.3","0.000","","0.25","-4.8","0.0","6","3.4","0.000","","","","0.0","159","90.3","0.000","0.92","0.16","-2.1","0.0"
"112","Calvin Austin","PIT","WR","8","2025","176","-0.017","1.31","0.19","7.4","36","21","11.9","0.000","1.41","0.27","2.8","19.0","22","12.5","0.045","1.79","0.17","7.1","13.6","12","6.8","-0.083","","","10.8","0.0","23","13.1","-0.130","2.33","0.25","10.0","0.0","","0.0","","","","0.0","","28","15.9","0.000","0.29","0.07","12.5","7.1","8","4.5","0.000","1.44","0.22","13.9","0.0","40","22.7","0.000","0.88","0.14","7.5","11","6.3","-0.182","","0.09","7.6","0.0","5","2.8","0.000","5.20","1.00","-2.6","0.0","5","2.8","0.000","1.80","0.60","","0.0","1","0.6","2.000","18.00","1.00","10.0","100.0"
"113","AJ Barner","SEA","TE","10","2025","176","0.000","1.63","0.18","1.1","34","26","14.8","0.000","1.15","0.19","1.7","0.0","13","7.4","-0.077","1.00","0.27","5.1","0.0","8","4.5","-0.250","0.89","0.11","11.9","0.0","37","21.0","0.000","0.95","0.14","4.0","0.0","","0.0","","","","0.0","","14","8.0","0.000","2.76","0.18","7.9","0.0","7","4.0","0.429","8.71","0.14","11.0","14.3","12","6.8","0.083","1.33","0.17","8.3","18","10.2","-0.056","1.43","0.19","5.7","0.0","2","1.1","0.000","","","-2.0","0.0","35","19.9","0.000","1.62","0.22","","0.0","4","2.3","0.000","0.75","0.25","2.0","0.0"
"114","Kyren Williams","LA","RB","10","2025","174","0.023","1.04","0.17","1.7","30","1","0.6","0.000","13.00","1.00","1.0","0.0","4","2.3","0.250","1.25","0.25","7.3","25.0","","0.0","","","","","0.0","1","0.6","0.000","","","5.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","5","2.9","0.200","6.00","0.40","20.0","","0.0","","","","","0.0","6","3.4","0.000","","","-3.3","0.0","2","1.1","0.000","","","","0.0","155","89.1","0.013","0.86","0.17","-1.7","0.6"
"115","Dyami Brown","JAX","WR","9","2025","174","0.046","1.24","0.20","13.2","36","3","1.7","-0.333","","","10.0","0.0","21","12.1","0.000","1.65","0.22","10.8","9.5","22","12.6","0.182","1.05","0.09","14.9","22.7","29","16.7","0.034","0.41","0.14","12.6","13.8","7","4.0","0.000","3.86","0.43","28.6","18.1","18","10.3","0.000","3.33","0.33","12.8","5.6","17","9.8","0.118","","0.12","13.8","11.8","25","14.4","-0.160","","0.16","4.0","28","16.1","0.214","1.71","0.21","10.9","21.4","4","2.3","0.000","2.75","1.00","-2.8","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"116","Rachaad White","TB","RB","10","2025","172","0.000","0.83","0.17","1.2","30","","0.0","","","","","0.0","4","2.3","0.000","","","4.3","25.0","2","1.2","0.500","","","5.5","50.0","2","1.2","0.000","6.50","0.50","6.0","0.0","","0.0","","","","0.0","","2","1.2","-0.500","","0.50","16.5","0.0","","0.0","","","","","0.0","4","2.3","0.000","","","0.0","2","1.2","0.000","","","-3.5","0.0","4","2.3","0.000","1.00","0.50","-4.8","0.0","7","4.1","0.000","","","","0.0","145","84.3","0.000","0.89","0.17","-4.1","0.0"
"117","Ashton Jeanty","LV","RB","10","2025","172","0.006","0.94","0.21","0.6","37","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","0.6","0.000","","","7.0","0.0","1","0.6","0.000","","","0.0","15.0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","0.6","0.000","","","0.0","","0.0","","","","","0.0","9","5.2","0.000","1.67","0.44","-4.7","0.0","1","0.6","0.000","","","","0.0","159","92.4","0.006","0.93","0.21","-4.1","0.6"
"118","Cedric Tillman","CLV","WR","6","2025","172","0.110","0.96","0.15","16.3","26","7","4.1","0.000","1.29","0.14","4.1","14.3","16","9.3","0.188","2.06","0.44","8.0","25.0","26","15.1","0.154","0.50","0.08","11.7","15.4","41","23.8","0.073","0.41","0.12","9.5","14.6","1","0.6","0.000","","","0.0","15.0","19","11.0","0.053","","","12.6","5.3","17","9.9","0.176","0.26","0.11","11.8","29.4","20","11.6","0.000","1.18","0.09","10.0","22","12.8","0.227","3.00","0.27","9.7","22.7","","0.0","","","","","0.0","3","1.7","0.000","","0.33","","0.0","","0.0","","","","","0.0"
"119","Colston Loveland","CHI","TE","9","2025","172","0.012","1.84","0.18","5.2","33","11","6.4","0.091","4.09","0.45","3.1","9.1","21","12.2","0.048","1.86","0.29","7.2","9.5","16","9.3","0.063","","","13.2","6.3","33","19.2","-0.030","1.63","0.17","10.2","3.0","","0.0","","","","0.0","","12","7.0","-0.083","2.58","0.25","12.3","0.0","9","5.2","0.222","4.22","0.33","11.7","33.3","23","13.4","-0.043","2.32","0.08","4.3","20","11.6","0.000","0.48","0.10","7.0","0.0","","0.0","","","","","0.0","24","14.0","0.000","1.64","0.20","","0.0","3","1.7","0.000","3.33","0.33","-3.3","0.0"
"120","Dont'e Thornton","LV","WR","9","2025","170","-0.018","0.58","0.12","8.2","21","9","5.3","-0.444","","0.11","3.7","0.0","11","6.5","0.091","0.82","0.27","11.6","18.2","18","10.6","-0.278","","0.06","14.9","0.0","24","14.1","-0.125","0.17","0.08","11.2","4.2","2","1.2","0.000","","","0.0","12.5","32","18.8","0.031","0.63","0.13","12.1","3.1","18","10.6","0.056","","","12.7","5.6","36","21.2","0.139","1.00","0.17","19.4","19","11.2","0.053","1.53","0.21","8.3","10.5","","0.0","","","","","0.0","1","0.6","0.000","","","","0.0","","0.0","","","","","0.0"
"121","Tyquan Thornton","KC","WR","10","2025","170","0.106","2.15","0.17","15.3","29","3","1.8","0.000","","","3.7","33.3","14","8.2","0.071","0.50","0.07","14.5","7.1","7","4.1","0.143","","","17.4","28.6","13","7.6","0.077","2.62","0.15","11.7","15.4","","0.0","","","","0.0","","32","18.8","0.250","4.00","0.18","15.7","21.9","24","14.1","0.125","6.42","0.21","13.3","16.7","58","34.1","0.052","0.59","0.22","13.8","14","8.2","0.071","0.33","0.07","17.7","7.1","4","2.4","0.000","1.25","0.25","-2.5","0.0","1","0.6","0.000","","","","0.0","","0.0","","","","","0.0"
"122","Tommy Tremble","CAR","TE","11","2025","170","0.000","1.08","0.14","2.9","24","5","2.9","0.200","1.00","0.20","2.6","20.0","17","10.0","-0.118","","0.12","4.9","0.0","19","11.2","-0.053","3.63","0.16","8.1","0.0","34","20.0","-0.029","0.88","0.12","6.6","0.0","","0.0","","","","0.0","","16","9.4","0.000","0.44","0.13","7.3","6.3","","0.0","","","","","0.0","24","14.1","0.042","","0.04","4.2","27","15.9","0.074","0.68","0.14","0.2","7.4","2","1.2","0.000","4.50","0.50","-1.5","0.0","21","12.4","0.000","2.14","0.29","","0.0","5","2.9","0.000","","","-0.6","0.0"
"123","Jahmyr Gibbs","DET","RB","10","2025","167","0.012","2.00","0.26","3.0","43","3","1.8","0.000","","","1.7","0.0","2","1.2","0.000","","","4.0","0.0","1","0.6","0.000","","","5.0","0.0","4","2.4","0.000","3.00","0.75","3.3","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","2","1.2","0.000","","","0.0","2","1.2","0.500","-1.00","1.00","-1.5","50.0","5","3.0","0.000","13.60","0.60","-4.2","0.0","1","0.6","0.000","","","","0.0","147","88.0","0.007","1.74","0.24","-3.2","2.7"
"124","Cole Kmet","CHI","TE","9","2025","164","0.006","1.14","0.16","3.0","27","7","4.3","0.143","3.14","0.14","4.3","14.3","11","6.7","-0.091","0.82","0.18","7.3","0.0","16","9.8","0.000","0.81","0.13","11.6","6.3","28","17.1","0.036","0.25","0.11","7.8","3.6","","0.0","","","","0.0","","6","3.7","0.000","3.63","0.25","15.8","0.0","11","6.7","-0.182","1.27","0.27","13.4","0.0","18","11.0","0.000","2.16","0.16","0.0","23","14.0","0.087","1.35","0.13","5.1","8.7","1","0.6","0.000","","1.00","-5.0","0.0","37","22.6","0.000","0.70","0.16","","0.0","6","3.7","0.000","","0.14","-0.2","0.0"
"125","Zay Jones","ARZ","WR","8","2025","161","0.062","1.12","0.10","11.2","16","9","5.6","0.000","1.89","0.22","3.4","11.1","13","8.1","0.077","1.92","0.15","9.1","15.4","18","11.2","0.000","1.58","0.11","16.3","5.6","28","17.4","0.036","0.54","0.07","9.3","7.1","4","2.5","0.750","","","50.0","20.5","15","9.3","0.200","","","14.5","20.0","12","7.5","0.083","2.00","0.08","12.3","8.3","40","24.8","0.075","1.05","0.05","7.5","19","11.8","-0.105","1.53","0.26","10.9","15.8","1","0.6","0.000","","","-4.0","0.0","2","1.2","0.000","","","","0.0","","0.0","","","","","0.0"
"126","Jordan Whittington","LA","WR","10","2025","158","0.044","0.82","0.11","8.9","18","6","3.8","0.000","1.50","0.17","3.0","16.7","15","9.5","0.133","1.47","0.07","8.3","20.0","16","10.1","0.063","","","13.3","12.5","28","17.7","0.107","0.25","0.04","9.2","14.3","1","0.6","0.000","","","0.0","19.0","24","15.2","-0.083","","0.04","12.6","0.0","5","3.2","0.200","","0.20","14.0","20.0","29","18.4","-0.034","1.33","0.03","0.0","15","9.5","0.200","1.13","0.33","5.4","20.0","2","1.3","0.000","4.50","1.00","-2.0","0.0","15","9.5","0.000","1.13","0.27","","0.0","2","1.3","0.000","4.50","0.50","-0.5","0.0"
"127","Pat Bryant","DEN","WR","11","2025","157","0.051","1.43","0.14","10.8","22","16","10.2","0.250","1.94","0.28","3.3","31.3","22","14.0","0.000","1.86","0.27","7.4","9.1","26","16.6","0.231","0.85","0.08","12.7","23.1","19","12.1","-0.105","0.68","0.11","8.9","0.0","","0.0","","","","0.0","","10","6.4","0.100","4.80","0.10","14.6","20.0","10","6.4","0.100","","0.10","11.8","10.0","22","14.0","0.000","1.00","0.13","4.5","26","16.6","-0.077","1.65","0.04","11.3","0.0","1","0.6","0.000","5.00","1.00","-3.0","0.0","5","3.2","0.000","","","","0.0","","0.0","","","","","0.0"
"128","Greg Dortch","ARZ","WR","10","2025","156","0.045","0.89","0.14","5.8","22","13","8.3","-0.077","0.77","0.15","1.8","7.7","16","10.3","0.063","","","4.8","6.3","14","9.0","0.071","0.21","0.07","8.1","7.1","19","12.2","0.000","1.42","0.11","5.8","5.3","1","0.6","-1.000","","","0.0","14.0","11","7.1","0.091","","","6.4","9.1","11","7.1","0.182","1.55","0.09","9.2","9.1","19","12.2","0.000","","","0.0","21","13.5","0.190","0.67","0.10","1.9","14.3","19","12.2","0.000","3.32","0.68","-4.3","0.0","6","3.8","0.000","","","","0.0","6","3.8","0.000","0.83","0.17","-0.5","0.0"
"129","DeMario Douglas","NE","WR","11","2025","155","0.129","2.09","0.21","14.8","33","5","3.2","0.000","6.20","0.40","1.8","0.0","25","16.1","0.080","0.80","0.28","7.2","20.0","9","5.8","0.222","1.11","0.11","12.7","22.2","15","9.7","0.200","0.80","0.13","4.9","13.3","4","2.6","0.500","6.25","0.50","50.0","14.8","9","5.8","0.111","0.70","0.20","8.7","11.1","11","7.1","0.273","4.82","0.09","14.5","18.2","31","20.0","-0.032","1.38","0.03","3.2","29","18.7","0.241","2.90","0.28","9.0","24.1","7","4.5","0.000","3.29","0.57","-4.4","0.0","6","3.9","0.000","0.86","0.14","0.3","0.0","4","2.6","0.250","3.40","0.40","-8.5","25.0"
"130","TreVeyon Henderson","NE","RB","11","2025","155","0.000","1.04","0.18","0.0","29","","0.0","","","","","0.0","1","0.6","0.000","","","2.0","0.0","1","0.6","0.000","","","3.0","0.0","4","2.6","0.000","1.50","0.25","5.5","0.0","","0.0","","","","0.0","","1","0.6","0.000","","","10.0","0.0","","0.0","","","","","0.0","3","1.9","0.000","","","0.0","5","3.2","0.000","","","-5.6","0.0","2","1.3","0.000","-0.50","0.50","-6.5","0.0","1","0.6","0.000","1.00","1.00","","0.0","137","88.4","0.000","1.14","0.19","-1.2","0.0"
"131","Dawson Knox","BUF","TE","10","2025","154","-0.006","1.13","0.13","6.5","20","6","3.9","0.000","1.83","0.17","2.3","16.7","12","7.8","0.167","1.62","0.23","8.4","25.0","11","7.1","-0.091","","","10.8","0.0","27","17.5","-0.074","","0.04","7.3","3.7","","0.0","","","","0.0","","19","12.3","-0.105","0.42","0.21","10.1","5.3","3","1.9","0.000","6.33","0.33","9.7","0.0","25","16.2","0.040","2.00","0.08","4.0","33","21.4","0.030","1.09","0.14","6.1","9.1","2","1.3","0.000","6.00","0.50","-4.0","0.0","12","7.8","0.000","1.58","0.17","","0.0","4","2.6","0.000","","","-0.8","0.0"
"132","Saquon Barkley","PHI","RB","10","2025","151","0.020","1.36","0.22","1.3","33","","0.0","","","","","0.0","1","0.7","0.000","","","4.0","0.0","2","1.3","0.000","","","5.0","0.0","8","5.3","0.000","1.38","0.25","5.6","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","1","0.7","0.000","","","8.0","0.0","4","2.6","0.250","","0.25","25.0","2","1.3","0.000","","","2.5","0.0","10","6.6","0.000","0.55","0.36","-3.7","0.0","3","2.0","0.000","","","","0.0","120","79.5","0.017","1.58","0.21","-2.5","0.8"
"133","Kenneth Gainwell","PIT","RB","10","2025","151","0.026","1.30","0.27","2.6","42","5","3.3","0.600","3.20","0.40","1.4","40.0","5","3.3","0.200","","0.20","3.8","20.0","","0.0","","","","","0.0","5","3.3","0.000","5.00","0.60","3.8","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","3","2.0","0.000","","","0.0","7","4.6","0.000","1.14","0.14","-3.0","0.0","3","2.0","0.000","","","-6.3","0.0","23","15.2","0.000","1.04","0.31","","0.0","100","66.2","0.000","1.24","0.26","-2.9","1.0"
"134","Jaylin Lane","WAS","WR","11","2025","151","0.053","1.47","0.19","14.6","29","9","6.0","-0.222","1.89","0.33","2.4","11.1","13","8.6","-0.077","0.54","0.08","11.3","15.4","19","12.6","0.053","","0.16","13.7","15.8","31","20.5","0.129","3.10","0.32","10.1","19.4","1","0.7","1.000","","1.00","100.0","11.0","10","6.6","0.000","","0.10","15.0","0.0","15","9.9","0.200","3.80","0.27","13.7","20.0","27","17.9","-0.074","1.28","0.07","3.7","19","12.6","0.211","0.68","0.11","9.9","26.3","3","2.0","0.000","-0.67","0.67","-4.0","0.0","4","2.6","0.000","","","","0.0","","0.0","","","","","0.0"
"135","Ricky Pearsall","SF","WR","5","2025","151","0.126","2.15","0.20","18.5","31","8","5.3","0.000","0.56","0.11","3.8","12.5","17","11.3","0.294","2.18","0.41","13.8","35.3","35","23.2","0.200","2.11","0.23","14.4","22.9","24","15.9","0.125","0.50","0.17","9.2","16.7","2","1.3","0.000","","","0.0","14.5","21","13.9","0.095","1.14","0.10","12.5","9.5","6","4.0","0.000","6.67","0.33","11.8","0.0","18","11.9","-0.056","6.11","0.17","16.7","18","11.9","0.167","1.17","0.17","8.4","22.2","1","0.7","0.000","","","-4.0","0.0","1","0.7","0.000","4.00","1.00","","0.0","","0.0","","","","","0.0"
"136","Josh Reynolds","NYJ","WR","5","2025","151","0.000","0.66","0.14","7.3","21","8","5.3","-0.250","1.00","0.25","3.3","0.0","11","7.3","-0.091","0.67","0.17","13.9","9.1","28","18.5","0.036","","0.07","13.5","7.1","35","23.2","-0.057","1.83","0.23","9.7","0.0","1","0.7","0.000","","","0.0","29.0","11","7.3","0.273","0.82","0.18","13.5","18.2","13","8.6","0.077","0.86","0.14","15.2","7.7","30","19.9","-0.100","","0.10","3.3","13","8.6","0.231","","","9.5","30.8","1","0.7","0.000","","","-4.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"137","Pat Freiermuth","PIT","TE","10","2025","150","-0.060","1.79","0.18","4.0","28","16","10.7","-0.188","1.88","0.19","3.1","6.3","17","11.3","0.059","2.63","0.37","6.5","11.8","5","3.3","0.200","1.40","0.20","13.0","20.0","28","18.7","-0.143","1.00","0.21","5.4","0.0","","0.0","","","","0.0","","17","11.3","-0.118","","","9.8","0.0","10","6.7","0.100","8.70","0.20","8.7","10.0","21","14.0","-0.095","0.52","0.09","4.8","12","8.0","-0.083","","0.08","6.5","0.0","4","2.7","0.000","10.75","1.00","-2.3","0.0","20","13.3","0.000","1.00","0.10","","0.0","","0.0","","","","","0.0"
"138","Marvin Mims","DEN","WR","9","2025","149","0.107","1.53","0.21","10.1","32","6","4.0","0.000","2.17","0.33","1.3","0.0","11","7.4","-0.091","1.09","0.27","10.0","0.0","4","2.7","0.250","","","11.3","25.0","26","17.4","0.000","0.52","0.11","9.7","3.8","","0.0","","","","0.0","","7","4.7","0.143","","","19.4","14.3","10","6.7","0.100","","0.10","14.2","10.0","47","31.5","0.213","2.31","0.17","14.9","20","13.4","0.200","0.62","0.19","7.6","20.0","13","8.7","0.000","3.15","0.62","-5.1","0.0","2","1.3","0.000","","0.50","","0.0","3","2.0","0.000","10.00","0.67","-1.3","0.0"
"139","Nick Westbrook-Ikhine","MIA","WR","11","2025","149","-0.020","0.58","0.11","1.3","17","5","3.4","0.000","","0.20","5.2","20.0","13","8.7","0.000","1.00","0.21","9.0","0.0","14","9.4","-0.071","","","10.4","0.0","33","22.1","-0.091","0.71","0.20","8.7","0.0","","0.0","","","","0.0","","13","8.7","0.000","","","10.2","0.0","13","8.7","0.077","2.69","0.15","10.8","7.7","22","14.8","0.000","","","0.0","24","16.1","0.000","","","8.0","0.0","2","1.3","0.000","-0.50","1.00","-4.5","0.0","10","6.7","0.000","1.60","0.20","","0.0","","0.0","","","","","0.0"
"140","Christian Kirk","HST","WR","6","2025","148","0.014","0.96","0.19","7.4","28","15","10.1","0.133","1.67","0.20","2.1","20.0","19","12.8","0.000","1.68","0.37","9.3","21.1","8","5.4","-0.125","","","7.1","0.0","23","15.5","-0.130","0.13","0.13","5.6","0.0","","0.0","","","","0.0","","18","12.2","0.000","","0.11","8.4","0.0","6","4.1","0.500","7.83","0.33","13.7","33.3","25","16.9","0.040","","0.08","4.0","14","9.5","0.000","0.79","0.14","6.3","7.1","1","0.7","0.000","1.00","1.00","-4.0","0.0","17","11.5","0.000","1.06","0.28","","0.0","2","1.4","0.000","3.00","0.50","3.5","0.0"
"141","Calvin Ridley","TEN","WR","7","2025","147","-0.007","2.05","0.23","6.8","34","13","8.8","-0.077","","0.23","4.1","0.0","25","17.0","0.120","2.16","0.32","11.5","12.0","10","6.8","-0.100","1.30","0.30","15.9","0.0","23","15.6","-0.043","2.52","0.26","10.8","0.0","","0.0","","","","0.0","","12","8.2","0.000","","","14.3","8.3","13","8.8","-0.077","","0.08","11.2","0.0","28","19.0","0.071","3.04","0.21","10.7","22","15.0","-0.091","4.00","0.26","11.5","13.6","1","0.7","0.000","1.00","1.00","-2.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"142","Tre Harris","LAC","WR","11","2025","145","0.007","0.91","0.13","8.3","19","11","7.6","0.273","3.42","0.42","2.9","27.3","6","4.1","0.000","","","8.0","0.0","17","11.7","0.118","0.82","0.06","11.9","23.5","22","15.2","0.091","1.26","0.13","9.7","13.6","7","4.8","-0.286","","","0.0","13.3","15","10.3","-0.133","","0.06","12.7","13.3","7","4.8","0.000","","","13.7","0.0","33","22.8","-0.061","0.69","0.09","0.0","16","11.0","0.000","0.19","0.06","4.4","0.0","4","2.8","0.000","6.25","0.75","-2.5","0.0","7","4.8","0.000","0.14","0.29","","0.0","","0.0","","","","","0.0"
"143","Travis Etienne","JAX","RB","10","2025","144","0.000","0.90","0.21","0.0","30","1","0.7","0.000","","","3.0","0.0","2","1.4","0.000","","","3.5","0.0","","0.0","","","","","0.0","6","4.2","0.000","","0.17","3.7","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","3","2.1","0.000","","0.33","-5.0","0.0","6","4.2","0.000","4.33","0.50","-5.7","0.0","6","4.2","0.000","","","","0.0","120","83.3","0.000","0.87","0.21","-3.3","0.0"
