"Player Details","","","","","","Overall","","","","","","Slant","","","","","","","Out","","","","","","","In/Dig","","","","","","","Hitch","","","","","","","Comeback","","","","","","","Corner","","","","","","","Post","","","","","","","Go","","","","","","Crossers","","","","","","","Screens","","","","","","","Flat","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","TGT","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","ADOR","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE"
"11","Justin Jefferson","MIN","WR","10","2025","340","0.094","2.15","0.27","15.3","93","13","3.8","0.154","2.21","0.43","4.0","23.1","48","14.1","0.229","2.42","0.42","10.8","25.0","50","14.7","0.040","0.77","0.12","14.9","16.0","64","18.8","-0.031","1.08","0.15","10.3","6.3","1","0.3","0.000","","","0.0","12.0","27","7.9","0.111","0.63","0.19","13.1","22.2","38","11.2","0.289","6.47","0.32","12.4","26.3","40","11.8","0.000","1.73","0.30","7.5","36","10.6","0.111","0.97","0.16","10.7","13.9","16","4.7","0.000","6.25","0.75","-3.5","0.0","1","0.3","0.000","","","","0.0","6","1.8","0.167","2.43","0.43","0.7","16.7"
"12","Courtland Sutton","DEN","WR","11","2025","332","0.093","1.91","0.21","16.9","71","15","4.5","0.067","2.93","0.53","3.3","26.7","33","9.9","0.061","2.39","0.24","10.1","18.2","51","15.4","0.098","0.38","0.04","16.6","13.7","64","19.3","0.141","2.29","0.27","10.9","21.9","2","0.6","0.500","","0.50","50.0","17.0","23","6.9","0.130","0.57","0.17","12.1","17.4","23","6.9","-0.043","1.74","0.22","12.7","8.7","67","20.2","0.104","2.33","0.24","19.4","52","15.7","0.077","2.60","0.13","8.1","9.6","1","0.3","0.000","1.00","1.00","-3.0","0.0","","0.0","","","","","0.0","1","0.3","0.000","","","","0.0"
"13","Chris Olave","NO","WR","10","2025","331","0.045","1.97","0.27","9.4","91","21","6.3","0.095","1.29","0.19","3.3","19.0","36","10.9","0.028","2.39","0.53","8.9","11.1","11","3.3","0.000","","","11.9","9.1","87","26.3","0.023","1.83","0.30","9.0","8.0","","0.0","","","","0.0","","21","6.3","0.048","1.14","0.14","12.1","4.8","23","6.9","0.174","3.62","0.31","16.2","17.4","73","22.1","-0.041","2.50","0.19","5.5","43","13.0","0.186","1.27","0.20","11.1","14.0","12","3.6","0.000","1.83","0.58","-4.3","0.0","2","0.6","0.000","","","","0.0","2","0.6","0.000","4.50","0.50","1.0","0.0"
"14","Tre Tucker","LV","WR","10","2025","325","0.043","1.54","0.17","10.5","54","10","3.1","-0.300","","","2.1","0.0","23","7.1","0.217","2.78","0.30","13.6","21.7","19","5.8","0.211","2.26","0.11","14.7","21.1","71","21.8","-0.056","1.90","0.23","10.9","5.6","5","1.5","-0.400","","","0.0","14.8","21","6.5","0.048","","","14.5","14.3","36","11.1","0.194","1.65","0.08","13.2","19.4","72","22.2","0.056","0.46","0.06","8.3","54","16.6","0.037","2.20","0.24","7.5","9.3","14","4.3","0.000","3.21","0.64","-3.3","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"15","Rashid Shaheed","NO, SEA","WR","11","2025","319","0.066","1.62","0.22","9.4","71","23","7.2","-0.043","2.43","0.39","2.9","8.7","33","10.3","0.303","2.82","0.26","13.2","18.2","15","4.7","0.133","0.87","0.13","16.9","13.3","82","25.7","0.024","1.05","0.19","8.7","7.3","2","0.6","0.000","","","0.0","13.0","34","10.7","-0.088","3.09","0.09","14.4","0.0","36","11.3","0.167","1.28","0.11","14.0","13.9","56","17.6","0.107","1.38","0.22","16.1","26","8.2","-0.038","0.81","0.33","3.6","0.0","7","2.2","0.000","2.43","0.71","-3.6","0.0","5","1.6","0.000","0.60","0.20","","0.0","","0.0","","","","","0.0"
"16","Christian McCaffrey","SF","RB","11","2025","316","0.032","2.28","0.28","3.8","90","17","5.4","-0.118","2.06","0.18","2.1","0.0","11","3.5","0.364","3.82","0.55","5.5","36.4","4","1.3","0.000","2.75","0.50","5.8","0.0","8","2.5","0.000","1.00","0.11","7.3","0.0","2","0.6","0.000","7.50","0.50","0.0","14.0","3","0.9","0.333","4.33","0.33","6.7","33.3","5","1.6","0.000","3.40","0.40","10.4","0.0","7","2.2","0.000","1.29","0.14","0.0","4","1.3","0.000","2.00","0.25","-6.0","0.0","9","2.8","0.000","0.56","0.22","-5.3","0.0","8","2.5","0.125","5.22","0.33","","12.5","238","75.3","0.025","2.16","0.27","-0.3","2.5"
"17","Emeka Egbuka","TB","WR","10","2025","314","0.041","2.24","0.26","13.4","84","17","5.4","-0.294","1.12","0.24","3.1","5.9","49","15.6","-0.082","0.94","0.33","7.8","12.2","34","10.8","0.000","2.51","0.20","11.9","11.8","56","17.8","0.036","1.59","0.27","9.5","10.7","","0.0","","","","0.0","","30","9.6","0.100","4.16","0.19","16.7","10.0","24","7.6","0.292","6.69","0.27","13.1","20.8","49","15.6","0.020","1.53","0.27","16.3","45","14.3","0.200","1.11","0.19","12.6","20.0","9","2.9","0.000","5.00","0.78","-3.3","0.0","1","0.3","0.000","","","","0.0","","0.0","","","","","0.0"
"18","Kyle Pitts","ATL","TE","10","2025","304","0.020","1.40","0.20","6.6","62","33","10.9","0.091","1.68","0.24","3.2","15.2","39","12.8","0.000","1.10","0.18","5.9","10.3","15","4.9","-0.067","0.44","0.19","11.0","6.7","30","9.9","0.000","1.55","0.19","5.9","3.3","1","0.3","-1.000","","","0.0","12.0","51","16.8","0.039","1.94","0.13","10.0","5.9","16","5.3","0.000","","0.06","10.3","0.0","34","11.2","0.118","1.06","0.12","11.8","24","7.9","-0.042","1.96","0.17","10.6","4.2","7","2.3","0.000","0.86","0.71","-4.3","0.0","54","17.8","0.000","1.57","0.31","","1.9","","0.0","","","","","0.0"
"19","Troy Franklin","DEN","WR","11","2025","304","0.076","1.62","0.25","12.5","79","17","5.6","-0.176","1.35","0.12","3.1","11.8","24","7.9","0.250","1.52","0.36","10.1","20.8","29","9.5","0.069","1.17","0.10","16.7","20.7","41","13.5","0.049","2.31","0.14","11.2","7.3","6","2.0","0.333","5.50","0.33","33.3","15.0","20","6.6","0.200","1.60","0.20","15.4","20.0","19","6.3","0.053","1.25","0.20","15.2","5.3","77","25.3","0.117","0.43","0.20","13.0","42","13.8","0.000","1.95","0.33","7.2","11.9","25","8.2","0.000","3.96","0.62","-3.2","0.0","3","1.0","0.000","1.20","0.60","","0.0","1","0.3","0.000","","","","0.0"
"20","Michael Pittman","IND","WR","10","2025","301","0.076","1.90","0.22","10.6","68","17","5.6","0.000","6.88","0.71","4.0","11.8","18","6.0","0.111","2.28","0.22","7.8","16.7","48","15.9","0.188","0.55","0.08","12.5","16.7","71","23.6","0.056","2.15","0.22","8.6","8.5","1","0.3","-1.000","","","0.0","15.0","28","9.3","0.000","0.18","0.04","11.0","3.6","19","6.3","0.053","2.40","0.20","13.5","10.5","38","12.6","0.000","2.26","0.26","2.6","52","17.3","0.154","1.30","0.23","7.1","17.3","4","1.3","0.000","0.20","0.40","-4.0","0.0","4","1.3","0.000","4.25","0.50","","0.0","1","0.3","0.000","14.00","1.00","","0.0"
