"Player Details","","","","","","Target Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","TM TGT %"
"43","Marvin Harrison","ARZ","WR","9","2025","20.7","16.0","17.1","24.4","15.6","4.5","19.4","","32.3","26.7","","","","","","","","","19.5"
"44","Jordan Addison","MIN","WR","7","2025","","","","15.2","17.1","","28.6","12.9","16.0","21.4","21.9","","","","","","","","19.4"
"45","Rashid Shaheed","NO, SEA","WR","11","2025","19.6","14.7","14.6","17.9","15.6","23.1","28.1","23.5","36.0","8.3","9.1","","","","","","","","19.1"
"46","Jake Ferguson","DAL","TE","10","2025","17.6","23.1","31.1","17.5","31.0","8.8","23.3","2.9","17.9","","15.2","","","","","","","","19.1"
"47","Kyle Pitts","ATL","TE","10","2025","19.0","23.8","14.0","19.2","","12.5","26.3","29.0","18.9","17.9","10.0","","","","","","","","18.9"
"48","Dalton Schultz","HST","TE","10","2025","14.8","16.7","15.8","21.4","19.4","","20.4","7.7","20.0","24.4","22.0","","","","","","","","18.5"
"49","Courtland Sutton","DEN","WR","11","2025","22.5","13.3","32.0","14.3","25.6","10.0","18.0","20.7","16.2","14.3","15.8","","","","","","","","18.3"
"50","Zach Ertz","WAS","TE","11","2025","16.7","16.7","14.3","14.8","3.8","23.1","21.9","20.0","18.2","22.7","26.7","","","","","","","","18.2"
"51","Jauan Jennings","SF","WR","9","2025","14.3","23.1","","10.5","","7.7","26.9","21.9","20.8","23.1","19.2","","","","","","","","18.1"
"52","Travis Kelce","KC","TE","10","2025","10.3","20.7","16.2","13.5","19.5","23.3","8.6","23.5","14.7","","28.9","","","","","","","","18.0"
"53","Keon Coleman","BUF","WR","9","2025","23.9","11.1","14.3","18.2","22.6","19.2","","17.4","7.7","20.0","","","","","","","","","17.8"
"54","Chris Godwin","TB","WR","2","2025","","","","22.5","12.1","","","","","","","","","","","","","","17.8"
"55","Sam LaPorta","DET","TE","9","2025","23.1","14.3","14.3","14.8","25.0","20.7","10.3","","21.6","14.3","","","","","","","","","17.8"
"56","Ricky Pearsall","SF","WR","5","2025","20.0","15.4","26.8","13.2","","","","","","","7.7","","","","","","","","17.3"
"57","Tre Tucker","LV","WR","10","2025","8.8","18.6","31.0","9.5","16.7","21.7","33.3","","10.3","11.1","19.0","","","","","","","","17.3"
"58","Harold Fannin","CLV","TE","10","2025","20.0","10.4","11.1","14.3","12.1","19.2","27.8","22.9","","21.9","19.2","","","","","","","","17.2"
"59","Juwan Johnson","NO","TE","10","2025","23.9","26.5","19.5","10.7","9.4","7.7","21.9","15.7","16.0","14.3","","","","","","","","","17.2"
