"Player Details","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"20","Jaylen Warren","PIT","RB","9","2025","123","536","59.6","4.36","2","0","0","0","0","85.4","63.4","31.7","9.8","3.3","2.4","1.6","8","72.7","11","68.8","22","68.8","28","9.8","25","219","11.5","8.76","7.82","24.3","89.3","1","5.3","1","1","0","121.4","13.5","13.2","118.5"
"21","Chase Brown","CIN","RB","10","2025","126","519","51.9","4.12","2","1","0","0","0","84.1","57.9","32.5","9.5","4.0","3.2","1.6","9","81.8","12","66.7","19","65.5","52","13.9","39","229","9.5","5.87","4.40","22.9","75.0","1","5.0","2","4","1","158.3","15.8","13.4","133.8"
"22","Tony Pollard","TEN","RB","10","2025","129","502","50.2","3.89","2","2","0","0","0","82.9","58.1","33.3","10.9","2.3","0.8","","4","40.0","8","44.4","13","50.0","27","8.1","22","147","7.5","6.68","5.44","14.7","81.5","0","0.0","0","0","0","114.4","11.4","9.7","96.9"
"23","Jacory Croskey-Merritt","WAS","RB","11","2025","114","498","45.3","4.37","4","2","0","0","0","83.3","62.3","36.8","9.6","4.4","1.8","0.9","4","26.7","9","31.0","14","26.9","12","3.9","9","68","3.0","7.56","5.67","6.2","75.0","0","0.0","0","1","0","86.5","7.9","8.0","87.6"
"24","David Montgomery","DET","RB","10","2025","110","493","49.3","4.48","5","1","0","0","0","85.5","53.6","28.2","10.0","3.6","1.8","1.8","10","58.8","15","46.9","21","33.3","18","5.8","15","116","4.7","7.73","6.44","11.6","83.3","0","0.0","0","2","0","100.2","10.0","11.1","111.0"
"25","TreVeyon Henderson","NE","RB","11","2025","100","492","44.7","4.92","5","1","0","0","0","86.0","58.0","35.0","9.0","5.0","3.0","2.0","3","18.8","11","32.4","20","34.5","29","9.0","26","165","5.8","6.35","5.69","15.0","89.7","1","5.0","1","2","0","110.7","10.1","11.5","126.7"
"26","Jordan Mason","MIN","RB","10","2025","108","489","48.9","4.53","5","2","0","0","0","82.4","60.2","41.7","12.0","4.6","0.9","","6","75.0","7","58.3","20","66.7","14","4.4","12","44","2.1","3.67","3.14","4.4","85.7","0","0.0","0","1","0","91.7","9.2","9.4","94.3"
"27","Alvin Kamara","NO","RB","10","2025","128","460","46.0","3.59","1","1","0","0","0","85.2","57.8","29.7","7.8","3.1","","","2","40.0","6","40.0","15","41.7","37","10.8","31","182","8.3","5.87","4.92","18.2","83.8","0","0.0","2","5","1","134.4","13.4","9.9","99.2"
"28","Nick Chubb","HST","RB","10","2025","99","419","41.9","4.23","2","0","0","0","0","85.9","65.7","34.3","7.1","3.0","2.0","","4","30.8","4","23.5","9","26.5","18","5.0","11","59","2.4","5.36","3.28","5.9","61.1","0","0.0","0","2","0","84.5","8.5","7.1","70.8"
"29","Kimani Vidal","LAC","RB","8","2025","96","417","52.1","4.34","2","1","0","0","0","76.0","52.1","35.4","12.5","5.2","3.1","1.0","5","71.4","8","57.1","21","63.6","15","5.4","12","52","2.7","4.33","3.47","6.5","80.0","1","7.7","3","4","0","90.5","11.3","9.6","76.9"
"30","Kyle Monangai","CHI","RB","10","2025","87","413","41.3","4.75","3","0","0","0","0","86.2","62.1","41.4","10.3","4.6","2.3","1.1","5","33.3","11","33.3","20","29.9","13","3.9","10","97","4.1","9.70","7.46","9.7","76.9","0","0.0","0","1","0","79.9","8.0","7.9","79.0"
"31","Cam Skattebo","NYG","RB","8","2025","101","410","51.3","4.06","5","1","0","0","0","83.2","59.4","32.7","9.9","4.0","1.0","","9","69.2","12","57.1","23","52.3","30","11.8","24","207","11.7","8.63","6.90","25.9","80.0","2","18.2","1","4","0","116.9","14.6","16.1","128.7"
"32","Rachaad White","TB","RB","10","2025","97","376","37.6","3.88","4","0","0","0","0","88.7","58.8","37.1","8.2","1.0","","","7","58.3","8","42.1","14","36.8","30","8.8","28","144","6.1","5.14","4.80","14.4","93.3","0","0.0","0","6","0","108.8","10.9","10.4","104.0"
"33","Kareem Hunt","KC","RB","10","2025","86","353","35.3","4.10","6","1","0","0","0","88.4","62.8","37.2","7.0","1.2","1.2","1.2","10","71.4","13","48.1","21","38.2","12","3.3","10","66","2.5","6.60","5.50","6.6","83.3","1","5.6","1","2","0","79.6","8.0","9.4","93.9"
"34","Zach Charbonnet","SEA","RB","9","2025","105","350","38.9","3.33","6","0","0","0","0","73.3","52.4","34.3","3.8","2.9","1.0","1.0","10","55.6","16","55.2","28","45.9","10","3.9","9","67","2.9","7.44","6.70","7.4","90.0","0","0.0","1","1","0","91.1","10.1","9.6","86.7"
"35","Woody Marks","HST","RB","10","2025","99","348","34.8","3.52","2","0","0","0","0","76.8","49.5","32.3","9.1","4.0","2.0","","6","46.2","9","52.9","16","47.1","25","6.9","16","190","7.8","11.88","7.60","19.0","64.0","2","14.3","2","5","0","103.3","10.3","9.4","93.8"
"36","Tyrone Tracy","NYG","RB","9","2025","83","336","37.3","4.05","1","0","0","0","0","83.1","59.0","36.1","8.4","3.6","1.2","1.2","0","0.0","1","3.4","4","7.8","23","7.9","18","138","6.5","7.67","6.00","15.3","78.3","0","0.0","0","0","0","78.2","8.7","7.9","71.4"
"37","Chuba Hubbard","CAR","RB","9","2025","91","334","37.1","3.67","1","0","0","0","0","87.9","65.9","34.1","3.3","","","","1","11.1","5","27.8","12","30.8","25","8.4","17","126","6.8","7.41","5.04","14.0","68.0","2","20.0","3","5","0","96.0","10.7","9.0","81.0"
"38","Isiah Pacheco","KC","RB","8","2025","78","329","41.1","4.22","1","0","0","0","0","91.0","67.9","35.9","11.5","1.3","","","0","0.0","4","20.0","12","27.3","17","6.0","11","43","2.0","3.91","2.53","5.4","64.7","1","5.9","1","3","0","76.1","9.5","7.5","60.2"
"39","Blake Corum","LA","RB","10","2025","75","317","31.7","4.23","1","0","0","0","0","81.3","56.0","37.3","16.0","5.3","1.3","","6","30.0","9","26.5","14","25.9","10","2.9","5","10","0.4","2.00","1.00","1.0","50.0","0","0.0","0","1","0","64.4","6.4","4.4","43.7"
"40","Omarion Hampton","LAC","RB","5","2025","66","314","62.8","4.76","2","0","0","0","0","75.8","62.1","36.4","10.6","6.1","3.0","1.5","4","80.0","7","87.5","12","66.7","21","11.5","20","136","10.7","6.80","6.48","27.2","95.2","0","0.0","0","0","1","73.7","14.7","15.4","77.0"
"41","Tyler Allgeier","ATL","RB","10","2025","77","280","28.0","3.64","7","0","0","0","0","76.6","54.5","32.5","10.4","5.2","1.3","","6","46.2","14","56.0","22","48.9","8","2.4","7","26","1.2","3.71","3.25","2.6","87.5","0","0.0","0","1","0","69.3","6.9","8.0","79.6"
"42","Rhamondre Stevenson","NE","RB","8","2025","83","279","34.9","3.36","3","2","0","0","0","75.9","53.0","26.5","7.2","3.6","2.4","","7","63.6","12","54.5","17","43.6","19","8.3","16","169","8.3","10.56","8.89","21.1","84.2","0","0.0","0","2","1","85.0","10.6","9.7","77.8"
"43","Chris Rodriguez","WAS","RB","9","2025","60","279","31.0","4.65","3","0","0","0","0","86.7","58.3","30.0","11.7","3.3","1.7","1.7","5","33.3","11","39.3","17","37.8","1","0.4","1","6","0.3","6.00","6.00","0.7","100.0","0","0.0","0","0","0","45.5","5.1","5.3","47.5"
