"Player Details","","","","","","Rushing","","","","","","Receiving","","","","","","","","","","Total","","","","","Efficiency","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","AY","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G","XFP %","XTD","XTD/G"
"18","J.K. Dobbins","DEN","RB","10","2025","153","772","4","347","31","12","71","14","11","37","0","-36","58","15","2","0","164","809","4","33","362","5.05","2.27","0.20","7.8","0.52","2.64","5.27","1.36","0.18","","4.93","0.20","2.21","7.3","77.2","3.7","80.9","11.6","115.9","109.7","11.0","14.7","4.1","0.41"
"19","Alvin Kamara","NO","RB","10","2025","128","460","1","220","21","4","196","37","31","182","0","49","182","37","7","2","159","642","1","28","257","3.59","1.72","0.16","3.1","0.93","4.92","5.87","1.19","0.23","6.5","4.04","0.18","1.62","3.8","46.0","18.2","64.2","9.9","99.2","127.5","12.7","17.9","3.1","0.31"
"20","D'Andre Swift","CHI","RB","9","2025","134","634","4","269","22","7","142","32","23","210","1","-36","261","65","2","3","157","844","5","24","334","4.73","2.01","0.16","5.2","1.48","6.56","11.35","2.83","0.09","13.0","5.38","0.15","2.13","6.4","70.4","23.3","93.8","15.2","136.4","131.7","14.6","20.2","4.7","0.52"
"21","Tony Pollard","TEN","RB","10","2025","129","502","2","307","15","3","176","27","22","147","0","9","136","68","3","1","151","649","2","18","375","3.89","2.38","0.12","2.3","0.84","5.44","6.18","3.09","0.14","4.5","4.30","0.12","2.48","2.6","50.2","14.7","64.9","9.7","96.9","116.6","11.7","18.2","3.4","0.34"
"22","Kenneth Walker","SEA","RB","10","2025","136","606","4","278","34","10","91","15","14","127","0","-1","129","53","5","2","150","733","4","39","331","4.46","2.04","0.25","7.4","1.40","8.47","9.21","3.79","0.36","14.3","4.89","0.26","2.21","8.0","60.6","12.7","73.3","11.1","111.3","110.2","11.0","16.6","4.3","0.43"
"23","Jaylen Warren","PIT","RB","9","2025","123","536","2","340","34","4","100","28","25","219","1","-54","270","151","17","1","148","755","3","51","491","4.36","2.76","0.28","3.3","2.19","7.82","10.80","6.04","0.68","4.0","5.10","0.34","3.32","3.4","59.6","24.3","83.9","13.2","118.5","118.7","13.2","20.1","5.0","0.56"
"24","TreVeyon Henderson","NE","RB","11","2025","100","492","5","174","11","5","158","29","26","165","1","-11","184","38","5","0","126","657","6","16","212","4.92","1.74","0.11","5.0","1.04","5.69","7.08","1.46","0.19","","5.21","0.13","1.68","4.0","44.7","15.0","59.7","11.5","126.7","105.8","9.6","14.4","3.7","0.33"
"25","Rachaad White","TB","RB","10","2025","97","376","4","168","15","1","174","30","28","144","0","-47","216","74","8","0","125","520","4","23","242","3.88","1.73","0.15","1.0","0.83","4.80","7.71","2.64","0.29","","4.16","0.18","1.94","0.8","37.6","14.4","52.0","10.4","104.0","113.3","11.3","15.4","5.1","0.51"
"26","Cam Skattebo","NYG","RB","8","2025","101","410","5","285","26","4","122","30","24","207","2","4","210","70","6","1","125","617","7","32","355","4.06","2.82","0.26","4.0","1.70","6.90","8.75","2.92","0.25","4.2","4.94","0.26","2.84","4.0","51.3","25.9","77.1","16.1","128.7","119.1","14.9","20.8","5.6","0.70"
"27","David Montgomery","DET","RB","10","2025","110","493","5","269","14","4","84","18","15","116","0","12","126","50","4","1","125","609","5","18","319","4.48","2.45","0.13","3.6","1.38","6.44","8.40","3.33","0.27","6.7","4.87","0.14","2.55","4.0","49.3","11.6","60.9","11.1","111.0","101.1","10.1","15.0","5.3","0.53"
"28","Jacory Croskey-Merritt","WAS","RB","11","2025","114","498","4","286","13","5","89","12","9","68","0","-20","78","22","0","1","123","566","4","13","308","4.37","2.51","0.11","4.4","0.76","5.67","8.67","2.44","","11.1","4.60","0.11","2.50","4.9","45.3","6.2","51.5","8.0","87.6","83.5","7.6","11.9","2.7","0.25"
"29","Jordan Mason","MIN","RB","10","2025","108","489","5","242","20","5","112","14","12","44","0","-46","88","27","1","0","120","533","5","21","269","4.53","2.24","0.19","4.6","0.39","3.14","7.33","2.25","0.08","","4.44","0.18","2.24","4.2","48.9","4.4","53.3","9.4","94.3","87.5","8.8","13.2","3.6","0.36"
"30","Woody Marks","HST","RB","10","2025","99","348","2","208","3","4","134","25","16","190","2","43","193","47","4","3","115","538","4","7","255","3.52","2.10","0.03","4.0","1.42","7.60","12.06","2.94","0.25","18.8","4.68","0.06","2.22","6.1","34.8","19.0","53.8","9.4","93.8","108.0","10.8","13.7","4.9","0.49"
"31","Zach Charbonnet","SEA","RB","9","2025","105","350","6","251","17","3","94","10","9","67","0","19","51","15","0","1","114","417","6","17","266","3.33","2.39","0.16","2.9","0.71","6.70","5.67","1.67","","11.1","3.66","0.15","2.33","3.5","38.9","7.4","46.3","9.6","86.7","91.6","10.2","15.1","6.3","0.70"
"32","Nick Chubb","HST","RB","10","2025","99","419","2","238","7","3","79","18","11","59","0","19","56","12","0","1","110","478","2","7","250","4.23","2.40","0.07","3.0","0.75","3.28","5.09","1.09","","9.1","4.35","0.06","2.27","3.6","41.9","5.9","47.8","7.1","70.8","87.0","8.7","11.0","2.9","0.29"
"33","Chuba Hubbard","CAR","RB","9","2025","91","334","1","156","4","0","137","25","17","126","2","-9","162","73","4","2","108","460","3","8","229","3.67","1.71","0.04","","0.92","5.04","9.53","4.29","0.24","11.8","4.26","0.07","2.12","1.9","37.1","14.0","51.1","9.0","81.0","98.6","11.0","15.7","3.0","0.33"
"34","Kimani Vidal","LAC","RB","8","2025","96","417","2","213","9","5","120","15","12","52","1","-26","82","18","1","0","108","469","3","10","231","4.34","2.22","0.09","5.2","0.43","3.47","6.83","1.50","0.08","","4.34","0.09","2.14","4.6","52.1","6.5","58.6","9.6","76.9","86.9","10.9","15.1","4.1","0.51"
"35","Tyrone Tracy","NYG","RB","9","2025","83","336","1","183","5","3","127","23","18","138","0","-25","171","69","4","2","101","474","1","9","252","4.05","2.20","0.06","3.6","1.09","6.00","9.50","3.83","0.22","11.1","4.69","0.09","2.50","5.0","37.3","15.3","52.7","7.9","71.4","74.2","8.2","11.6","0.8","0.09"
"36","Rhamondre Stevenson","NE","RB","8","2025","83","279","3","179","17","3","132","19","16","169","0","76","130","25","2","2","99","448","3","19","204","3.36","2.16","0.20","3.6","1.28","8.89","8.13","1.56","0.13","12.5","4.53","0.19","2.06","5.1","34.9","21.1","56.0","9.7","77.8","82.7","10.3","15.7","3.7","0.47"
"37","Kenneth Gainwell","PIT","RB","10","2025","61","244","3","126","9","2","157","42","36","204","2","-32","257","60","4","2","97","448","5","13","186","4.00","2.07","0.15","3.3","1.30","4.86","7.14","1.67","0.11","5.6","4.62","0.13","1.92","4.1","24.4","20.4","44.8","11.0","109.8","109.7","11.0","17.1","3.9","0.39"
"38","Kyle Monangai","CHI","RB","10","2025","87","413","3","216","10","4","106","13","10","97","0","5","100","22","6","1","97","510","3","16","238","4.75","2.48","0.11","4.6","0.92","7.46","10.00","2.20","0.60","10.0","5.26","0.16","2.45","5.2","41.3","9.7","51.0","7.9","79.0","76.8","7.7","10.4","3.5","0.35"
"39","Kareem Hunt","KC","RB","10","2025","86","353","6","195","11","1","109","12","10","66","1","-10","77","27","2","0","96","419","7","13","222","4.10","2.27","0.13","1.2","0.61","5.50","7.70","2.70","0.20","","4.36","0.14","2.31","1.0","35.3","6.6","41.9","9.4","93.9","80.0","8.0","10.4","5.5","0.55"
"40","Bucky Irving","TB","RB","4","2025","71","237","0","137","10","2","81","19","19","193","2","-40","233","55","15","3","90","430","2","25","192","3.34","1.93","0.14","2.8","2.38","10.16","12.26","2.89","0.79","15.8","4.78","0.28","2.13","5.6","59.3","48.3","107.5","18.3","73.0","67.2","16.8","23.0","1.1","0.27"
"41","Isiah Pacheco","KC","RB","8","2025","78","329","1","181","9","1","128","17","11","43","1","-42","72","16","0","0","89","372","2","9","197","4.22","2.32","0.12","1.3","0.34","2.53","6.55","1.45","","","4.18","0.10","2.21","1.1","41.1","5.4","46.5","7.5","60.2","66.4","8.3","11.1","1.4","0.18"
"42","RJ Harvey","DEN","RB","11","2025","61","244","2","113","10","2","117","32","28","195","4","19","203","59","5","1","89","439","6","15","172","4.00","1.85","0.16","3.3","1.67","6.09","7.25","2.11","0.18","3.6","4.93","0.17","1.93","3.4","22.2","17.7","39.9","9.8","107.9","93.5","8.5","11.5","3.3","0.30"
"43","Omarion Hampton","LAC","RB","5","2025","66","314","2","179","10","4","117","21","20","136","0","-27","167","57","1","1","86","450","2","11","236","4.76","2.71","0.15","6.1","1.16","6.48","8.35","2.85","0.05","5.0","5.23","0.13","2.74","5.8","62.8","27.2","90.0","15.4","77.0","73.5","14.7","19.6","2.5","0.49"
"44","Tyler Allgeier","ATL","RB","10","2025","77","280","7","142","11","4","51","8","7","26","0","-11","33","8","0","0","84","306","7","11","150","3.64","1.84","0.14","5.2","0.51","3.25","4.71","1.14","","","3.64","0.13","1.79","4.8","28.0","2.6","30.6","8.0","79.6","66.4","6.6","9.6","4.0","0.40"
"45","Ja'Marr Chase","CIN","WR","10","2025","2","6","0","1","0","0","380","115","79","861","5","1004","428","153","14","7","81","867","5","14","154","3.00","0.50","","","2.27","7.49","5.42","1.94","0.18","8.9","10.70","0.17","1.90","8.6","0.6","86.1","86.7","19.5","194.7","207.5","20.7","28.1","4.9","0.49"
"46","Blake Corum","LA","RB","10","2025","75","317","1","142","9","4","51","10","5","10","0","8","21","5","1","0","80","327","1","10","147","4.23","1.89","0.12","5.3","0.20","1.00","4.20","1.00","0.20","","4.09","0.13","1.84","5.0","31.7","1.0","32.7","4.4","43.7","69.1","6.9","8.8","3.9","0.39"
"47","Puka Nacua","LA","WR","9","2025","6","73","1","16","1","2","237","86","73","850","4","758","329","188","10","11","79","923","5","11","204","12.17","2.67","0.17","33.3","3.59","9.88","4.51","2.58","0.14","15.1","11.68","0.14","2.58","16.5","8.1","94.4","102.6","21.6","194.3","138.8","15.4","20.2","2.5","0.27"
"48","Jaxon Smith-Njigba","SEA","WR","10","2025","5","33","0","21","2","0","262","94","72","1146","5","1159","294","112","8","19","77","1179","5","10","133","6.60","4.20","0.40","","4.37","12.19","4.08","1.56","0.11","26.4","15.31","0.13","1.73","24.7","3.3","114.6","117.9","21.9","218.9","177.1","17.7","26.7","4.0","0.40"
"49","Trey McBride","ARZ","TE","10","2025","0","0","0","0","0","0","380","95","71","718","7","698","304","119","11","6","71","718","7","11","119","","","","","1.89","7.56","4.28","1.68","0.15","8.5","10.11","0.15","1.68","8.5","0.0","71.8","71.8","18.5","184.8","178.3","17.8","22.2","7.4","0.74"
"50","Amon-Ra St. Brown","DET","WR","10","2025","3","9","0","6","0","0","295","91","66","735","8","780","306","70","8","8","69","744","8","8","76","3.00","2.00","","","2.49","8.08","4.64","1.06","0.12","12.1","10.78","0.12","1.10","11.6","0.9","73.5","74.4","18.8","188.4","170.9","17.1","25.4","5.9","0.59"
"51","Devin Singletary","NYG","RB","11","2025","60","191","2","121","6","0","71","10","9","92","0","8","82","61","3","2","69","283","2","9","182","3.18","2.02","0.10","","1.30","9.20","9.11","6.78","0.33","22.2","4.10","0.13","2.64","2.9","17.4","8.4","25.7","4.5","49.3","59.1","5.4","7.4","3.6","0.33"
"52","Bhayshul Tuten","JAX","RB","10","2025","60","238","3","157","11","1","56","11","8","61","1","-13","79","9","4","1","68","299","4","15","166","3.97","2.62","0.18","1.7","1.09","5.55","9.88","1.13","0.50","12.5","4.40","0.22","2.44","2.9","23.8","6.1","29.9","6.2","61.9","56.9","5.7","7.3","2.8","0.28"
"53","Aaron Jones","MIN","RB","6","2025","52","256","1","89","3","2","93","21","13","112","1","24","105","14","0","1","66","368","2","3","103","4.92","1.71","0.06","3.8","1.20","5.33","8.08","1.08","","7.7","5.58","0.05","1.56","4.5","42.7","18.7","61.3","10.3","61.8","60.4","10.1","17.7","1.3","0.21"
"54","Bam Knight","ARZ","RB","8","2025","53","181","3","90","5","1","77","17","12","86","0","14","87","23","1","1","65","267","3","6","113","3.42","1.70","0.09","1.9","1.12","5.06","7.25","1.92","0.08","8.3","4.11","0.09","1.74","3.1","22.6","10.8","33.4","7.1","56.7","73.1","9.1","11.0","4.8","0.60"
"55","Emanuel Wilson","GB","RB","10","2025","53","220","1","107","2","1","84","13","11","69","0","-32","103","40","5","1","64","289","1","7","147","4.15","2.02","0.04","1.9","0.82","5.31","9.36","3.64","0.45","9.1","4.52","0.11","2.30","3.1","22.0","6.9","28.9","4.8","47.9","53.2","5.3","7.7","1.8","0.18"
