"Player Details","","","","","","Rushing","","","","","","Receiving","","","","","","","","","","Total","","","","","Efficiency","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","AY","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G","XFP %","XTD","XTD/G"
"77","Rashid Shaheed","NO, SEA","WR","11","2025","5","27","0","7","0","0","326","71","47","529","2","806","157","35","2","4","52","556","2","2","42","5.40","1.40","","","1.62","7.45","3.34","0.74","0.04","8.5","10.69","0.04","0.81","7.7","2.5","48.1","50.5","10.3","113.6","131.1","11.9","16.5","3.8","0.35"
"78","Tyjae Spears","TEN","RB","6","2025","34","155","1","78","4","1","93","19","18","127","0","-24","153","52","9","1","52","282","1","13","130","4.56","2.29","0.12","2.9","1.37","6.68","8.50","2.89","0.50","5.6","5.42","0.25","2.50","3.8","25.8","21.2","47.0","8.7","52.2","45.5","7.6","11.6","0.8","0.14"
"79","Dalton Schultz","HST","TE","10","2025","0","0","0","0","0","0","292","67","51","489","1","438","235","57","4","4","51","489","1","4","57","","","","","1.67","7.30","4.61","1.12","0.08","7.8","9.59","0.08","1.12","7.8","0.0","48.9","48.9","10.6","105.9","110.7","11.1","14.0","2.0","0.20"
"80","Nico Collins","HST","WR","9","2025","1","8","0","2","0","0","292","81","49","642","4","967","156","67","1","8","50","650","4","1","69","8.00","2.00","","","2.20","7.93","3.18","1.37","0.02","16.3","13.00","0.02","1.38","16.0","0.9","71.3","72.2","15.4","139.0","160.4","17.8","22.6","6.4","0.71"
"81","Travis Kelce","KC","TE","10","2025","0","0","0","0","0","0","301","65","50","631","4","374","351","113","8","8","50","631","4","8","113","","","","","2.10","9.71","7.02","2.26","0.16","16.0","12.62","0.16","2.26","16.0","0.0","63.1","63.1","13.9","139.1","107.9","10.8","14.1","2.4","0.24"
"82","Troy Franklin","DEN","WR","11","2025","4","9","0","5","1","0","315","79","46","509","5","1202","153","65","10","7","50","518","5","11","70","2.25","1.25","0.25","","1.62","6.44","3.33","1.41","0.22","15.2","10.36","0.22","1.40","14.0","0.8","46.3","47.1","12.1","132.8","165.7","15.1","20.3","6.8","0.62"
"83","Jaylen Waddle","MIA","WR","11","2025","0","0","0","0","0","0","276","71","49","722","5","931","198","44","4","11","49","722","5","4","44","","","","","2.62","10.17","4.04","0.90","0.08","22.4","14.73","0.08","0.90","22.4","0.0","65.6","65.6","13.8","151.5","136.6","12.4","19.4","4.0","0.37"
"84","DeVonta Smith","PHI","WR","10","2025","0","0","0","0","0","0","305","68","49","665","3","843","193","65","0","9","49","665","3","0","65","","","","","2.18","9.78","3.94","1.33","","18.4","13.57","","1.33","18.4","0.0","66.5","66.5","13.4","133.5","130.2","13.0","20.8","3.3","0.33"
"85","Harold Fannin","CLV","TE","10","2025","3","6","0","5","0","0","251","62","44","422","2","372","196","102","9","5","47","428","2","9","107","2.00","1.67","","","1.68","6.81","4.45","2.32","0.20","11.4","9.11","0.19","2.28","10.6","0.6","42.2","42.8","9.9","98.8","104.7","10.5","14.5","1.5","0.15"
"86","Emeka Egbuka","TB","WR","10","2025","2","9","0","1","0","0","320","84","45","717","6","1015","255","54","1","15","47","726","6","1","55","4.50","0.50","","","2.24","8.54","5.67","1.20","0.02","33.3","15.45","0.02","1.17","31.9","0.9","71.7","72.6","15.6","155.6","156.2","15.6","21.3","5.2","0.52"
"87","Kyle Pitts","ATL","TE","10","2025","0","0","0","0","0","0","310","62","47","434","1","427","184","74","5","5","47","434","1","5","74","","","","","1.40","7.00","3.91","1.57","0.11","10.6","9.23","0.11","1.57","10.6","0.0","43.4","43.4","9.6","96.4","103.1","10.3","15.0","1.5","0.15"
"88","Khalil Shakir","BUF","WR","10","2025","1","5","0","1","0","0","251","59","46","454","3","259","364","172","14","5","47","459","3","14","173","5.00","1.00","","","1.81","7.69","7.91","3.74","0.30","10.9","9.77","0.30","3.68","10.6","0.5","45.4","45.9","11.0","109.9","97.8","9.8","14.1","1.2","0.12"
"89","Malik Washington","MIA","WR","11","2025","13","78","0","50","3","1","227","45","33","234","2","212","197","78","5","1","46","312","2","8","128","6.00","3.85","0.23","7.7","1.03","5.20","5.97","2.36","0.15","3.0","6.78","0.17","2.78","4.3","7.1","21.3","28.4","6.8","75.2","85.1","7.7","12.1","2.0","0.18"
"90","DJ Moore","CHI","WR","10","2025","13","57","1","20","0","1","297","49","31","421","1","560","166","47","4","5","45","478","2","4","67","4.38","1.54","","7.7","1.42","8.59","5.35","1.52","0.13","16.1","10.62","0.09","1.49","13.3","5.7","42.1","47.8","9.4","93.9","100.2","10.0","13.6","3.0","0.30"
"91","Courtland Sutton","DEN","WR","11","2025","0","0","0","0","0","0","339","71","45","649","4","879","197","98","5","12","45","649","4","5","98","","","","","1.91","9.14","4.38","2.18","0.11","26.7","14.42","0.11","2.18","26.7","0.0","59.0","59.0","12.4","135.9","143.7","13.1","17.6","4.3","0.39"
"92","Brashard Smith","KC","RB","10","2025","28","82","0","40","1","0","52","22","16","130","0","-29","172","34","4","0","44","212","0","5","74","2.93","1.43","0.04","","2.50","5.91","10.75","2.13","0.25","","4.82","0.11","1.68","","8.2","13.0","21.2","3.7","37.2","53.1","5.3","6.9","1.7","0.17"
"93","Jerome Ford","CLV","RB","10","2025","23","76","0","49","1","0","139","25","21","76","0","-30","109","28","2","0","44","152","0","3","77","3.30","2.13","0.04","","0.55","3.04","5.19","1.33","0.10","","3.45","0.07","1.75","","7.6","7.6","15.2","3.6","36.2","55.8","5.6","7.7","1.7","0.17"
"94","Tre Tucker","LV","WR","10","2025","6","36","0","13","1","0","327","54","38","502","5","487","224","78","6","8","44","538","5","7","91","6.00","2.17","0.17","","1.54","9.30","5.89","2.05","0.16","21.1","12.23","0.16","2.07","18.2","3.6","50.2","53.8","12.2","121.8","102.9","10.3","16.0","3.0","0.30"
"95","Davante Adams","LA","WR","10","2025","0","0","0","0","0","0","288","84","43","569","10","1110","89","31","5","11","43","569","10","5","31","","","","","1.98","6.77","2.07","0.72","0.12","25.6","13.23","0.12","0.72","25.6","0.0","56.9","56.9","16.0","159.9","183.2","18.3","23.4","10.6","1.06"
"96","Juwan Johnson","NO","TE","10","2025","0","0","0","0","0","0","298","59","43","491","3","427","229","57","3","6","43","491","3","3","57","","","","","1.65","8.32","5.33","1.33","0.07","14.0","11.42","0.07","1.33","14.0","0.0","49.1","49.1","10.9","109.1","97.1","9.7","13.7","1.9","0.19"
"97","Trey Benson","ARZ","RB","4","2025","29","160","0","94","8","2","71","13","13","64","0","-8","72","24","2","0","42","224","0","10","118","5.52","3.24","0.28","6.9","0.90","4.92","5.54","1.85","0.15","","5.33","0.24","2.81","4.8","40.0","16.0","56.0","8.9","35.4","36.7","9.2","13.3","1.0","0.25"
"98","Jeremy McNichols","WAS","RB","11","2025","26","181","1","118","6","2","104","20","15","149","0","-2","155","60","3","1","41","330","1","9","178","6.96","4.54","0.23","7.7","1.43","7.45","10.33","4.00","0.20","6.7","8.05","0.22","4.34","7.3","16.5","13.5","30.0","4.9","54.0","43.8","4.0","6.3","0.8","0.07"
"99","CeeDee Lamb","DAL","WR","7","2025","1","2","0","1","0","0","226","59","40","557","2","696","194","58","5","8","41","559","2","5","59","2.00","1.00","","","2.46","9.44","4.85","1.45","0.13","20.0","13.63","0.12","1.44","19.5","0.3","79.6","79.9","15.4","107.9","125.1","17.9","20.7","4.8","0.69"
"100","Jakobi Meyers","JAX, LV","WR","9","2025","0","0","0","0","0","0","267","56","41","457","0","516","190","72","9","7","41","457","0","9","72","","","","","1.71","8.16","4.63","1.76","0.22","17.1","11.15","0.22","1.76","17.1","0.0","50.8","50.8","9.6","86.7","91.5","10.2","14.9","1.6","0.18"
"101","Brock Bowers","LV","TE","7","2025","2","2","0","5","0","0","214","53","39","455","3","401","213","74","4","6","41","457","3","4","79","1.00","2.50","","","2.13","8.58","5.46","1.90","0.10","15.4","11.15","0.10","1.93","14.6","0.3","65.0","65.3","15.0","104.7","98.1","14.0","20.4","3.5","0.50"
"102","James Conner","ARZ","RB","3","2025","32","95","1","58","6","0","34","9","8","38","1","-6","70","26","4","0","40","133","2","10","84","2.97","1.81","0.19","","1.12","4.22","8.75","3.25","0.50","","3.33","0.25","2.10","","31.7","12.7","44.3","11.1","33.3","39.0","13.0","19.7","2.1","0.68"
"103","Sam LaPorta","DET","TE","9","2025","0","0","0","0","0","0","229","49","40","489","3","281","277","87","7","6","40","489","3","7","87","","","","","2.14","9.98","6.93","2.18","0.18","15.0","12.23","0.18","2.18","15.0","0.0","54.3","54.3","11.9","106.9","75.8","8.4","12.4","1.2","0.13"
"104","Zach Ertz","WAS","TE","11","2025","0","0","0","0","0","0","271","56","39","387","4","504","89","25","2","4","39","387","4","2","25","","","","","1.43","6.91","2.28","0.64","0.05","10.3","9.92","0.05","0.64","10.3","0.0","35.2","35.2","9.4","103.7","109.0","9.9","15.6","3.1","0.29"
"105","Emari Demercado","ARZ","RB","9","2025","31","241","0","61","5","4","65","11","8","64","1","21","46","14","2","1","39","305","1","7","75","7.77","1.97","0.16","12.9","0.98","5.82","5.75","1.75","0.25","12.5","7.82","0.18","1.92","12.8","26.8","7.1","33.9","4.8","43.5","37.0","4.1","5.1","1.8","0.21"
"106","Justice Hill","BLT","RB","9","2025","18","93","2","26","1","1","110","27","21","169","1","-15","191","61","8","1","39","262","3","9","87","5.17","1.44","0.06","5.6","1.54","6.26","9.10","2.90","0.38","4.8","6.72","0.23","2.23","5.1","10.3","18.8","29.1","7.2","65.2","53.1","5.9","9.6","0.8","0.08"
"107","Rome Odunze","CHI","WR","10","2025","0","0","0","0","0","0","310","73","39","600","6","1088","209","63","4","12","39","600","6","4","63","","","","","1.94","8.22","5.36","1.62","0.10","30.8","15.38","0.10","1.62","30.8","0.0","60.0","60.0","13.5","135.0","154.6","15.5","21.0","6.5","0.65"
"108","Quentin Johnston","LAC","WR","10","2025","2","7","0","2","0","0","355","60","37","502","6","713","192","81","13","9","39","509","6","13","83","3.50","1.00","","","1.41","8.37","5.19","2.19","0.35","24.3","13.05","0.33","2.13","23.1","0.7","50.2","50.9","12.3","122.9","110.4","11.0","15.0","4.0","0.40"
"109","Romeo Doubs","GB","WR","10","2025","0","0","0","0","0","0","262","64","39","499","4","848","119","47","5","8","39","499","4","5","47","","","","","1.90","7.80","3.05","1.21","0.13","20.5","12.79","0.13","1.21","20.5","0.0","49.9","49.9","11.5","114.9","128.1","12.8","18.6","4.5","0.45"
"110","AJ Barner","SEA","TE","10","2025","8","11","1","7","0","0","188","34","31","306","4","197","138","53","5","2","39","317","5","5","60","1.38","0.88","","","1.63","9.00","4.45","1.71","0.16","6.5","8.13","0.13","1.54","5.1","1.1","30.6","31.7","9.3","92.7","67.1","6.7","10.1","3.2","0.32"
"111","Mark Andrews","BLT","TE","10","2025","7","43","1","3","0","1","193","43","32","276","5","331","72","28","0","3","39","319","6","0","31","6.14","0.43","","14.3","1.43","6.42","2.25","0.88","","9.4","8.18","","0.79","10.3","4.3","27.6","31.9","10.0","99.9","90.6","9.1","14.7","4.9","0.49"
"112","Samaje Perine","CIN","RB","9","2025","32","198","1","88","7","2","97","9","7","30","0","-7","35","13","1","0","39","228","1","8","101","6.19","2.75","0.22","6.3","0.31","3.33","5.00","1.86","0.14","","5.85","0.21","2.59","5.1","22.0","3.3","25.3","3.9","34.8","29.5","3.3","4.4","0.5","0.05"
"113","Sterling Shepard","TB","WR","10","2025","4","19","0","7","0","0","264","45","34","349","1","389","127","42","4","5","38","368","1","4","49","4.75","1.75","","","1.32","7.76","3.74","1.24","0.12","14.7","9.68","0.11","1.29","13.2","1.9","34.9","36.8","7.6","75.8","85.1","8.5","11.6","2.2","0.22"
"114","A.J. Brown","PHI","WR","9","2025","0","0","0","0","0","0","267","64","38","457","3","752","109","78","1","7","38","457","3","1","78","","","","","1.71","7.14","2.87","2.05","0.03","18.4","12.03","0.03","2.05","18.4","0.0","50.8","50.8","11.3","101.7","116.0","12.9","20.2","2.9","0.32"
"115","Marquise Brown","KC","WR","10","2025","0","0","0","0","0","0","244","55","38","429","4","559","134","46","7","5","38","429","4","7","46","","","","","1.76","7.80","3.53","1.21","0.18","13.2","11.29","0.18","1.21","13.2","0.0","42.9","42.9","10.5","104.9","100.8","10.1","13.1","3.1","0.31"
"116","Michael Wilson","ARZ","WR","10","2025","0","0","0","0","0","0","344","55","37","416","1","626","132","54","2","5","37","416","1","2","54","","","","","1.21","7.56","3.57","1.46","0.05","13.5","11.24","0.05","1.46","13.5","0.0","41.6","41.6","8.5","84.6","99.4","9.9","12.4","2.6","0.26"
"117","Isaiah Davis","NYJ","RB","10","2025","22","130","0","98","6","2","102","20","15","118","0","40","112","26","2","1","37","248","0","8","124","5.91","4.45","0.27","9.1","1.16","5.90","7.47","1.73","0.13","6.7","6.70","0.22","3.35","8.1","13.0","11.8","24.8","4.2","41.8","43.8","4.4","7.5","0.6","0.06"
"118","Cade Otton","TB","TE","10","2025","0","0","0","0","0","0","293","52","37","381","0","282","210","66","3","5","37","381","0","3","66","","","","","1.30","7.33","5.68","1.78","0.08","13.5","10.30","0.08","1.78","13.5","0.0","38.1","38.1","7.5","75.1","80.1","8.0","10.9","0.8","0.08"
"119","Josh Downs","IND","WR","9","2025","0","0","0","0","0","0","199","47","36","316","3","325","80","40","4","1","37","316","3","4","40","","","","","1.59","6.72","2.22","1.11","0.11","2.8","8.54","0.11","1.08","2.7","0.0","35.1","35.1","9.5","85.6","78.7","8.7","11.9","1.9","0.22"
"120","DK Metcalf","PIT","WR","10","2025","0","0","0","0","0","0","289","63","37","551","5","696","318","72","9","9","37","551","5","9","72","","","","","1.91","8.75","8.59","1.95","0.24","24.3","14.89","0.24","1.95","24.3","0.0","55.1","55.1","12.2","122.1","122.8","12.3","19.1","4.6","0.46"
"121","Oronde Gadsden","LAC","TE","9","2025","0","0","0","0","0","0","238","48","37","507","2","417","186","82","3","8","37","507","2","3","82","","","","","2.13","10.56","5.03","2.22","0.08","21.6","13.70","0.08","2.22","21.6","0.0","56.3","56.3","11.0","98.7","90.2","10.0","13.3","3.1","0.34"
"122","Garrett Wilson","NYJ","WR","7","2025","0","0","0","0","0","0","218","55","36","395","4","536","111","47","7","4","36","395","4","7","47","","","","","1.81","7.18","3.08","1.31","0.19","11.1","10.97","0.19","1.31","11.1","0.0","56.4","56.4","14.2","99.5","100.0","14.3","25.1","2.0","0.29"
"123","Parker Washington","JAX","WR","10","2025","6","5","0","4","0","0","221","49","30","350","2","614","103","61","5","4","36","355","2","5","65","0.83","0.67","","","1.58","7.14","3.43","2.03","0.17","13.3","9.86","0.14","1.81","11.1","0.5","35.0","35.5","7.8","77.5","99.7","10.0","12.8","2.0","0.20"
"124","Dallas Goedert","PHI","TE","9","2025","0","0","0","0","0","0","238","49","36","356","7","395","130","53","0","5","36","356","7","0","53","","","","","1.50","7.27","3.61","1.47","","13.9","9.89","","1.47","13.9","0.0","39.6","39.6","12.6","113.6","89.4","9.9","15.7","2.9","0.32"
"125","Theo Johnson","NYG","TE","11","2025","0","0","0","0","0","0","308","54","36","350","5","364","163","65","2","4","36","350","5","2","65","","","","","1.14","6.48","4.53","1.81","0.06","11.1","9.72","0.06","1.81","11.1","0.0","31.8","31.8","9.2","101.0","101.1","9.2","12.6","3.3","0.30"
"126","Olamide Zaccheaus","CHI","WR","10","2025","4","25","0","9","0","0","203","48","32","248","1","305","111","34","1","0","36","273","1","1","43","6.25","2.25","","","1.22","5.17","3.47","1.06","0.03","","7.58","0.03","1.19","","2.5","24.8","27.3","6.5","65.3","77.9","7.8","10.6","1.2","0.12"
"127","Tee Higgins","CIN","WR","10","2025","0","0","0","0","0","0","347","62","35","544","7","842","127","50","7","9","35","544","7","7","50","","","","","1.57","8.77","3.63","1.43","0.20","25.7","15.54","0.20","1.43","25.7","0.0","54.4","54.4","13.3","133.4","124.6","12.5","16.9","5.4","0.54"
"128","Jameson Williams","DET","WR","10","2025","4","10","0","3","1","0","297","49","31","562","5","696","249","58","10","10","35","572","5","11","61","2.50","0.75","0.25","","1.89","11.47","8.03","1.87","0.32","32.3","16.34","0.31","1.74","28.6","1.0","56.2","57.2","11.8","118.2","90.1","9.0","13.4","1.9","0.19"
"129","Marvin Harrison","ARZ","WR","9","2025","0","0","0","0","0","0","303","62","34","525","4","828","116","55","2","8","34","525","4","2","55","","","","","1.73","8.47","3.41","1.62","0.06","23.5","15.44","0.06","1.62","23.5","0.0","58.3","58.3","12.5","112.5","126.7","14.1","18.1","5.3","0.59"
"130","Hunter Henry","NE","TE","11","2025","0","0","0","0","0","0","290","50","34","422","4","424","172","41","1","5","34","422","4","1","41","","","","","1.46","8.44","5.06","1.21","0.03","14.7","12.41","0.03","1.21","14.7","0.0","38.4","38.4","9.1","100.2","97.9","8.9","13.3","3.8","0.35"
"131","Mason Taylor","NYJ","TE","10","2025","0","0","0","0","0","0","257","46","34","276","1","266","105","29","0","2","34","276","1","0","29","","","","","1.07","6.00","3.09","0.85","","5.9","8.12","","0.85","5.9","0.0","27.6","27.6","7.0","69.6","76.1","7.6","13.1","1.6","0.16"
"132","T.J. Hockenson","MIN","TE","10","2025","0","0","0","0","0","0","280","47","34","280","2","250","146","62","2","1","34","280","2","2","62","","","","","1.00","5.96","4.29","1.82","0.06","2.9","8.24","0.06","1.82","2.9","0.0","28.0","28.0","7.4","74.0","80.9","8.1","12.2","1.8","0.18"
"133","Xavier Worthy","KC","WR","8","2025","7","73","0","8","1","1","210","45","27","281","1","563","126","30","7","3","34","354","1","8","38","10.43","1.14","0.14","14.3","1.34","6.24","4.67","1.11","0.26","11.1","10.41","0.24","1.12","11.8","9.1","35.1","44.3","8.6","68.4","95.3","11.9","15.0","3.1","0.39"
"134","Tucker Kraft","GB","TE","8","2025","1","3","0","1","0","0","190","42","32","489","6","193","341","115","9","6","33","492","6","9","116","3.00","1.00","","","2.57","11.64","10.66","3.59","0.28","18.8","14.91","0.27","3.52","18.2","0.4","61.1","61.5","14.7","117.2","75.0","9.4","13.5","2.1","0.27"
"135","Evan Engram","DEN","TE","10","2025","1","7","0","1","0","0","208","48","32","260","1","223","182","66","3","1","33","267","1","3","67","7.00","1.00","","","1.25","5.42","5.69","2.06","0.09","3.1","8.09","0.09","2.03","3.0","0.7","26.0","26.7","6.5","64.7","78.0","7.8","10.2","1.4","0.14"
"136","Keon Coleman","BUF","WR","9","2025","0","0","0","0","0","0","224","48","32","330","3","600","70","18","0","4","32","330","3","0","18","","","","","1.47","6.88","2.19","0.56","","12.5","10.31","","0.56","12.5","0.0","36.7","36.7","9.1","82.0","87.2","9.7","14.0","1.8","0.20"
"137","Jauan Jennings","SF","WR","9","2025","0","0","0","0","0","0","250","54","32","378","3","560","124","52","3","6","32","378","3","3","52","","","","","1.51","7.00","3.88","1.63","0.09","18.8","11.81","0.09","1.63","18.8","0.0","42.0","42.0","9.9","88.8","105.2","11.7","16.2","3.9","0.43"
"138","Matthew Golden","GB","WR","9","2025","8","45","0","29","5","0","185","31","24","286","0","415","86","11","5","6","32","331","0","10","40","5.63","3.63","0.63","","1.55","9.23","3.58","0.46","0.21","25.0","10.34","0.31","1.25","18.8","5.0","31.8","36.8","6.3","57.1","58.1","6.5","9.4","1.6","0.18"
"139","Brian Thomas","JAX","WR","8","2025","2","16","1","2","0","0","262","59","30","420","1","730","138","19","3","7","32","436","2","3","21","8.00","1.00","","","1.60","7.12","4.60","0.63","0.10","23.3","13.63","0.09","0.66","21.9","2.0","52.5","54.5","10.7","85.6","109.0","13.6","16.9","2.3","0.29"
"140","Chig Okonkwo","TEN","TE","10","2025","0","0","0","0","0","0","230","41","32","337","0","224","185","50","7","4","32","337","0","7","50","","","","","1.47","8.22","5.78","1.56","0.22","12.5","10.53","0.22","1.56","12.5","0.0","33.7","33.7","6.6","65.7","67.0","6.7","10.4","0.7","0.07"
"141","Kendrick Bourne","SF","WR","10","2025","0","0","0","0","0","0","252","42","31","482","0","433","159","87","3","4","31","482","0","3","87","","","","","1.91","11.48","5.13","2.81","0.10","12.9","15.55","0.10","2.81","12.9","0.0","48.2","48.2","7.9","79.2","68.2","6.8","9.2","0.8","0.08"
"142","Zavier Scott","MIN","RB","6","2025","21","69","0","40","1","0","40","11","10","73","1","40","66","34","2","1","31","142","1","3","74","3.29","1.90","0.05","","1.83","6.64","6.60","3.40","0.20","10.0","4.58","0.10","2.39","3.2","11.5","12.2","23.7","4.9","29.2","33.6","5.6","7.8","0.8","0.13"
"143","Jerry Jeudy","CLV","WR","10","2025","0","0","0","0","0","0","350","71","31","356","1","831","100","34","2","4","31","356","1","2","34","","","","","1.02","5.01","3.23","1.10","0.06","12.9","11.48","0.06","1.10","12.9","0.0","35.6","35.6","7.3","72.6","134.3","13.4","18.6","4.2","0.42"
"144","Chimere Dike","TEN","WR","10","2025","8","17","0","19","3","0","183","34","23","208","1","279","111","21","2","2","31","225","1","5","40","2.13","2.38","0.38","","1.14","6.12","4.83","0.91","0.09","8.7","7.26","0.16","1.29","6.5","1.7","20.8","22.5","5.2","51.5","70.6","7.1","11.0","1.8","0.18"
"145","Mack Hollins","NE","WR","11","2025","1","4","0","-1","0","0","217","38","30","387","2","484","81","20","0","5","31","391","2","0","19","4.00","-1.00","","","1.78","10.18","2.70","0.67","","16.7","12.61","","0.61","16.1","0.4","35.2","35.5","7.4","81.1","73.9","6.7","10.0","2.5","0.23"
"146","David Njoku","CLV","TE","9","2025","0","0","0","0","0","0","238","42","30","288","3","228","170","68","3","2","30","288","3","3","68","","","","","1.21","6.86","5.67","2.27","0.10","6.7","9.60","0.10","2.27","6.7","0.0","32.0","32.0","8.5","76.8","68.5","7.6","10.2","1.2","0.13"
"147","Marvin Mims","DEN","WR","9","2025","8","56","1","27","4","1","153","32","22","234","1","402","137","62","2","5","30","290","2","6","89","7.00","3.38","0.50","12.5","1.53","7.31","6.23","2.82","0.09","22.7","9.67","0.20","2.97","20.0","6.2","26.0","32.2","7.0","63.0","63.3","7.0","9.3","1.4","0.15"
"148","Noah Fant","CIN","TE","9","2025","0","0","0","0","0","0","148","33","30","256","3","115","151","48","2","3","30","256","3","2","48","","","","","1.73","7.76","5.03","1.60","0.07","10.0","8.53","0.07","1.60","10.0","0.0","28.4","28.4","8.0","71.6","55.2","6.1","8.0","1.6","0.17"
"149","Rashee Rice","KC","WR","4","2025","4","18","1","8","0","0","107","35","26","253","3","204","163","26","3","4","30","271","4","3","34","4.50","2.00","","","2.36","7.23","6.27","1.00","0.12","15.4","9.03","0.10","1.13","13.3","4.5","63.3","67.8","19.3","77.1","70.3","17.6","20.7","2.8","0.69"
"150","Dalton Kincaid","BUF","TE","8","2025","0","0","0","0","0","0","133","36","29","448","4","338","203","61","1","10","29","448","4","1","61","","","","","3.37","12.44","7.00","2.10","0.03","34.5","15.45","0.03","2.10","34.5","0.0","56.0","56.0","12.2","97.8","63.8","8.0","11.2","1.5","0.19"
"151","Travis Hunter","JAX","WR","7","2025","1","0","0","0","0","0","212","44","28","298","1","368","120","68","9","5","29","298","1","9","68","","","","","1.41","6.77","4.29","2.43","0.32","17.9","10.28","0.31","2.34","17.2","0.0","42.6","42.6","9.1","63.8","79.3","11.3","14.8","2.0","0.28"
"152","Jordan Addison","MIN","WR","7","2025","1","16","0","6","1","1","247","49","28","412","3","706","104","31","2","7","29","428","3","3","37","16.00","6.00","1.00","100.0","1.67","8.41","3.71","1.11","0.07","25.0","14.76","0.10","1.28","27.6","2.3","58.9","61.1","12.7","88.8","83.0","11.9","16.5","2.9","0.41"
"153","Cooper Kupp","SEA","WR","9","2025","0","0","0","0","0","0","209","40","29","390","1","334","199","101","5","5","29","390","1","5","101","","","","","1.87","9.75","6.86","3.48","0.17","17.2","13.45","0.17","3.48","17.2","0.0","43.3","43.3","8.1","73.0","74.5","8.3","12.4","1.5","0.17"
"154","DeMario Douglas","NE","WR","11","2025","5","2","0","4","1","0","159","33","23","332","3","305","154","29","3","5","28","334","3","4","33","0.40","0.80","0.20","","2.09","10.06","6.70","1.26","0.13","21.7","11.93","0.14","1.18","17.9","0.2","30.2","30.4","6.8","74.4","70.2","6.4","9.5","2.7","0.25"
"155","Elic Ayomanor","TEN","WR","10","2025","0","0","0","0","0","0","297","56","28","334","2","712","96","37","2","5","28","334","2","2","37","","","","","1.12","5.96","3.43","1.32","0.07","17.9","11.93","0.07","1.32","17.9","0.0","33.4","33.4","7.3","73.4","105.1","10.5","16.4","2.5","0.25"
"156","Miles Sanders","DAL","RB","4","2025","20","117","1","60","3","1","23","8","8","30","0","-14","44","19","2","0","28","147","1","5","79","5.85","3.00","0.15","5.0","1.30","3.75","5.50","2.38","0.25","","5.25","0.18","2.82","3.6","29.3","7.5","36.8","6.9","27.7","24.7","6.2","6.6","0.8","0.19"
"157","George Kittle","SF","TE","6","2025","1","-3","0","1","1","0","140","30","27","251","5","184","88","35","0","2","28","248","5","1","36","-3.00","1.00","1.00","","1.79","8.37","3.26","1.30","","7.4","8.86","0.04","1.29","7.1","-0.5","41.8","41.3","13.6","81.8","57.8","9.6","13.7","2.6","0.43"
"158","Alec Pierce","IND","WR","8","2025","0","0","0","0","0","0","247","51","28","585","1","1000","84","47","1","10","28","585","1","1","47","","","","","2.37","11.47","3.00","1.68","0.04","35.7","20.89","0.04","1.68","35.7","0.0","73.1","73.1","11.6","92.5","97.3","12.2","16.6","2.4","0.31"
"159","Ty Johnson","BUF","RB","10","2025","19","83","1","52","1","1","114","12","8","116","1","-7","133","70","3","1","28","199","2","4","122","4.37","2.74","0.05","5.3","1.02","9.67","16.63","8.75","0.38","12.5","7.11","0.14","4.36","7.1","8.3","11.6","19.9","4.0","39.9","32.9","3.3","4.7","1.1","0.11"
"160","Ray Davis","BUF","RB","10","2025","24","44","0","35","0","0","22","7","4","18","1","3","29","5","0","0","28","62","1","0","40","1.83","1.46","","","0.82","2.57","7.25","1.25","","","2.21","","1.43","","4.4","1.8","6.2","1.6","16.2","26.8","2.7","3.9","1.0","0.10"
"161","Antonio Gibson","NE","RB","5","2025","25","106","1","64","1","2","14","3","2","6","0","-4","16","5","0","0","27","112","1","1","69","4.24","2.56","0.04","8.0","0.43","2.00","8.00","2.50","","","4.15","0.04","2.56","7.4","21.2","1.2","22.4","3.6","18.2","19.9","4.0","5.9","1.0","0.20"
"162","Jonnu Smith","PIT","TE","10","2025","1","10","0","6","1","0","191","36","26","163","2","169","133","44","4","1","27","173","2","5","50","10.00","6.00","1.00","","0.85","4.53","5.12","1.69","0.15","3.8","6.41","0.19","1.85","3.7","1.0","16.3","17.3","5.5","55.3","61.7","6.2","9.6","1.3","0.13"
"163","Greg Dortch","ARZ","WR","10","2025","5","20","1","16","1","0","157","22","21","139","2","14","129","24","9","0","26","159","3","10","40","4.00","3.20","0.20","","0.89","6.32","6.14","1.14","0.43","","6.12","0.38","1.54","","2.0","13.9","15.9","5.5","54.9","45.1","4.5","5.6","1.3","0.13"
"164","Jake Tonges","SF","TE","11","2025","0","0","0","0","0","0","182","35","26","226","4","153","139","36","2","2","26","226","4","2","36","","","","","1.24","6.46","5.35","1.38","0.08","7.7","8.69","0.08","1.38","7.7","0.0","20.5","20.5","6.6","72.6","63.3","5.8","7.6","1.8","0.17"
