"Player Details","","","","","","Overall","","","","","Wide","","","","","","","Slot","","","","","","","Inline","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"47","A.J. Brown","PHI","WR","9","2025","267","64","0.24","90.5","1.71","238","89.1","45.5","55","0.23","80.7","1.85","29","10.9","6.4","9","0.31","9.8","0.59","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"48","Jakobi Meyers","LV, JAX","WR","9","2025","267","56","0.21","86.4","1.71","114","42.7","21.1","26","0.23","36.9","1.79","153","57.3","36.7","30","0.20","49.5","1.65","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"49","Stefon Diggs","NE","WR","11","2025","267","71","0.27","66.4","2.47","140","52.4","19.2","43","0.31","34.8","3.01","126","47.2","25.9","28","0.22","31.3","1.89","0","0.0","","0","0.00","","0.00","1","0.4","0.3","0","0.00","0.2","0.00"
"50","Xavier Hutchinson","HST","WR","10","2025","265","34","0.13","64.2","1.00","215","81.1","28.4","19","0.09","52.1","0.63","50","18.9","10.0","15","0.30","12.1","2.58","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"51","Brandin Cooks","NO","WR","10","2025","264","25","0.09","68.4","0.63","151","57.2","22.4","13","0.09","39.1","0.74","113","42.8","18.3","12","0.11","29.3","0.47","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"52","Sterling Shepard","TB","WR","10","2025","264","45","0.17","69.3","1.32","129","48.9","18.9","23","0.18","33.9","1.12","135","51.1","23.2","22","0.16","35.4","1.52","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"53","Brian Thomas","JAX","WR","8","2025","262","59","0.23","78.9","1.60","204","77.9","35.2","46","0.23","61.4","2.01","58","22.1","13.2","13","0.22","17.5","0.17","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"54","Romeo Doubs","GB","WR","10","2025","262","64","0.24","75.9","1.90","214","81.7","37.3","54","0.25","62.0","2.04","48","18.3","11.6","10","0.21","13.9","1.29","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"55","Jaxon Smith-Njigba","SEA","WR","10","2025","262","94","0.36","90.0","4.37","206","78.6","40.4","76","0.37","70.8","4.83","54","20.6","19.5","17","0.31","18.6","2.56","1","0.4","0.4","1","1.00","0.3","14.00","1","0.4","0.6","0","0.00","0.3","0.00"
"56","Mason Taylor","NYJ","TE","10","2025","257","46","0.18","73.0","1.07","56","21.8","8.9","9","0.16","15.9","0.57","79","30.7","17.0","12","0.15","22.4","0.52","120","46.7","63.8","25","0.21","34.1","1.69","2","0.8","0.9","0","0.00","0.6","0.00"
"57","Bijan Robinson","ATL","RB","10","2025","256","57","0.22","72.1","1.98","34","13.3","5.3","8","0.24","9.6","1.06","52","20.3","10.7","27","0.52","14.6","3.42","0","0.0","","0","0.00","","0.00","170","66.4","68.8","22","0.13","47.9","1.72"
"58","Xavier Legette","CAR","WR","9","2025","253","43","0.17","77.1","1.04","152","60.1","25.4","31","0.20","46.3","1.34","101","39.9","18.6","12","0.12","30.8","0.60","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"59","Jalen Nailor","MIN","WR","10","2025","253","35","0.14","68.4","1.26","104","41.1","15.7","12","0.12","28.1","0.70","149","58.9","30.5","23","0.15","40.3","1.64","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"60","Kendrick Bourne","SF","WR","10","2025","252","42","0.17","66.3","1.91","192","76.2","28.4","27","0.14","50.5","1.92","60","23.8","13.0","15","0.25","15.8","1.90","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"61","Khalil Shakir","BUF","WR","10","2025","251","59","0.24","71.9","1.81","65","25.9","10.7","18","0.28","18.6","3.48","181","72.1","36.3","38","0.21","51.9","1.25","3","1.2","2.1","2","0.67","0.9","1.67","2","0.8","0.8","0","0.00","0.6","0.00"
"62","Harold Fannin","CLV","TE","10","2025","251","62","0.25","61.8","1.68","39","15.5","5.4","8","0.21","9.6","1.97","119","47.4","23.0","28","0.24","29.3","1.46","89","35.5","34.6","25","0.28","21.9","1.72","4","1.6","1.6","1","0.25","1.0","4.50"
"63","Jauan Jennings","SF","WR","9","2025","250","54","0.22","76.5","1.51","179","71.6","31.0","33","0.18","54.7","1.54","71","28.4","18.5","21","0.30","21.7","1.45","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"64","Alec Pierce","IND","WR","8","2025","247","51","0.21","83.2","2.37","222","89.9","42.9","48","0.22","74.7","2.32","25","10.1","6.4","3","0.12","8.4","2.80","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"65","Jordan Addison","MIN","WR","7","2025","247","49","0.20","86.1","1.67","183","74.1","35.5","36","0.20","63.8","1.99","63","25.5","16.3","13","0.21","22.0","0.76","0","0.0","","0","0.00","","0.00","1","0.4","0.6","0","0.00","0.3","0.00"
"66","Marquise Brown","KC","WR","10","2025","244","55","0.23","58.5","1.76","151","61.9","21.4","31","0.21","36.2","1.51","92","37.7","15.2","24","0.26","22.1","2.18","0","0.0","","0","0.00","","0.00","1","0.4","0.4","0","0.00","0.2","0.00"
"67","De'Von Achane","MIA","RB","11","2025","239","71","0.30","66.0","1.55","30","12.6","5.0","4","0.13","8.3","0.13","58","24.3","12.1","20","0.34","16.0","2.10","2","0.8","1.2","1","0.50","0.6","3.50","149","62.3","65.9","46","0.31","41.2","1.54"
"68","Oronde Gadsden","LAC","TE","9","2025","238","48","0.20","62.3","2.13","40","16.8","5.8","9","0.23","10.5","2.70","106","44.5","19.7","17","0.16","27.7","1.41","90","37.8","57.7","22","0.24","23.6","2.78","2","0.8","0.8","0","0.00","0.5","0.00"
"69","David Njoku","CLV","TE","9","2025","238","42","0.18","62.1","1.21","35","14.7","5.1","4","0.11","9.1","0.97","78","32.8","15.7","17","0.22","20.4","1.14","125","52.5","52.5","21","0.17","32.6","1.32","0","0.0","","0","0.00","","0.00"
"70","Dallas Goedert","PHI","TE","9","2025","238","49","0.21","80.1","1.50","42","17.6","8.0","5","0.12","14.1","0.76","111","46.6","24.9","15","0.14","37.4","1.10","84","35.3","67.7","28","0.33","28.3","2.35","1","0.4","0.6","1","1.00","0.3","5.00"
"71","Puka Nacua","LA","WR","9","2025","237","86","0.36","73.6","3.59","141","59.5","25.5","53","0.38","43.8","3.35","91","38.4","22.0","30","0.33","28.3","3.52","3","1.3","1.6","2","0.67","0.9","11.00","2","0.8","1.1","1","0.50","0.6","12.00"
"72","Darius Slayton","NYG","WR","8","2025","235","33","0.14","74.1","1.46","186","79.1","33.2","29","0.16","58.7","1.59","49","20.9","10.4","4","0.08","15.5","0.98","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"73","Jonathan Taylor","IND","RB","10","2025","234","32","0.14","64.3","1.11","18","7.7","2.8","1","0.06","4.9","0.89","22","9.4","4.5","4","0.18","6.0","2.91","0","0.0","","0","0.00","","0.00","194","82.9","80.2","26","0.13","53.3","0.86"
"74","Chig Okonkwo","TEN","TE","10","2025","230","41","0.18","59.4","1.47","31","13.5","4.6","1","0.03","8.0","0.13","104","45.2","18.9","27","0.26","26.9","2.53","93","40.4","50.5","12","0.13","24.0","0.74","2","0.9","0.8","1","0.50","0.5","0.50"
"75","Sam LaPorta","DET","TE","9","2025","229","49","0.21","76.8","2.14","45","19.7","8.8","5","0.11","15.1","1.76","96","41.9","25.8","21","0.22","32.2","1.94","86","37.6","61.9","22","0.26","28.9","2.58","2","0.9","1.0","1","0.50","0.7","1.00"
"76","Darnell Mooney","ATL","WR","8","2025","228","40","0.18","83.5","0.98","134","58.8","27.1","31","0.23","49.1","1.19","94","41.2","25.1","9","0.10","34.4","0.69","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"77","Malik Washington","MIA","WR","11","2025","227","45","0.20","62.7","1.03","100","44.1","16.7","17","0.17","27.6","0.85","116","51.1","24.2","25","0.22","32.0","1.13","1","0.4","0.6","0","0.00","0.3","0.00","10","4.4","4.4","3","0.30","2.8","1.80"
"78","CeeDee Lamb","DAL","WR","7","2025","226","59","0.26","76.4","2.46","157","69.5","28.5","37","0.24","53.0","2.34","69","30.5","16.2","22","0.32","23.3","2.75","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"79","Keon Coleman","BUF","WR","9","2025","224","48","0.21","70.7","1.47","187","83.5","33.9","43","0.23","59.0","1.61","37","16.5","8.1","5","0.14","11.7","0.76","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"80","Javonte Williams","DAL","RB","10","2025","222","33","0.15","55.0","0.42","7","3.2","0.9","0","0.00","1.7","0.00","11","5.0","2.0","2","0.18","2.7","0.73","0","0.0","","0","0.00","","0.00","204","91.9","77.0","31","0.15","50.5","0.42"
"81","Parker Washington","JAX","WR","10","2025","221","49","0.22","57.0","1.58","119","53.8","17.4","30","0.25","30.7","1.69","102","46.2","19.9","19","0.19","26.3","1.46","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"82","Garrett Wilson","NYJ","WR","7","2025","218","55","0.25","92.0","1.81","133","61.0","30.9","30","0.23","56.1","1.71","85","39.0","27.0","25","0.29","35.9","1.96","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"83","Mack Hollins","NE","WR","11","2025","217","38","0.18","54.0","1.78","162","74.7","22.2","32","0.20","40.3","2.11","48","22.1","9.9","5","0.10","11.9","0.77","7","3.2","3.4","1","0.14","1.7","1.14","0","0.0","","0","0.00","","0.00"
"84","Kayshon Boutte","NE","WR","9","2025","217","30","0.14","66.0","1.99","190","87.6","31.9","27","0.14","57.8","2.12","27","12.4","7.0","3","0.11","8.2","1.07","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"85","Jahan Dotson","PHI","WR","10","2025","214","17","0.08","66.5","0.91","116","54.2","20.4","11","0.09","36.0","1.43","98","45.8","20.1","6","0.06","30.4","0.29","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"86","Brock Bowers","LV","TE","7","2025","214","53","0.25","79.0","2.13","42","19.6","8.9","14","0.33","15.5","2.60","98","45.8","27.1","25","0.26","36.2","2.49","72","33.6","48.0","14","0.19","26.6","1.42","2","0.9","1.1","0","0.00","0.7","0.00"
"87","Chase Brown","CIN","RB","10","2025","213","52","0.24","52.9","1.08","12","5.6","1.6","3","0.25","3.0","0.00","17","8.0","3.1","5","0.29","4.2","1.82","2","0.9","1.1","0","0.00","0.5","0.00","182","85.4","59.7","44","0.24","45.2","1.09"
"88","Travis Hunter","JAX","WR","7","2025","212","44","0.21","72.4","1.41","73","34.4","14.2","15","0.21","24.9","1.10","135","63.7","34.7","27","0.20","46.1","1.53","0","0.0","","0","0.00","","0.00","4","1.9","2.1","2","0.50","1.4","3.00"
"89","Jalen Tolbert","DAL","WR","10","2025","211","25","0.12","52.2","0.82","120","56.9","16.0","17","0.14","29.7","1.10","91","43.1","16.4","8","0.09","22.5","0.44","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"90","Xavier Worthy","KC","WR","8","2025","210","45","0.21","62.1","1.34","133","63.3","23.5","24","0.18","39.3","1.30","76","36.2","15.5","21","0.28","22.5","1.42","0","0.0","","0","0.00","","0.00","1","0.5","0.5","0","0.00","0.3","0.00"
"91","Cooper Kupp","SEA","WR","9","2025","209","40","0.19","78.3","1.87","99","47.4","21.2","16","0.16","37.1","2.05","109","52.2","43.1","23","0.21","40.8","1.56","0","0.0","","0","0.00","","0.00","1","0.5","0.6","1","1.00","0.4","17.00"
"92","Evan Engram","DEN","TE","10","2025","208","48","0.23","53.7","1.25","24","11.5","3.7","6","0.25","6.2","0.79","97","46.6","19.9","19","0.20","25.1","1.21","84","40.4","47.2","22","0.26","21.7","1.39","3","1.4","1.3","1","0.33","0.8","2.33"
"93","Rashod Bateman","BLT","WR","9","2025","204","29","0.14","73.1","0.95","179","87.7","35.7","27","0.15","64.2","0.88","24","11.8","6.3","2","0.08","8.6","1.50","0","0.0","","0","0.00","","0.00","1","0.5","0.5","0","0.00","0.4","0.00"
"94","Olamide Zaccheaus","CHI","WR","10","2025","203","48","0.24","54.1","1.22","91","44.8","14.1","18","0.20","24.3","0.76","112","55.2","23.1","30","0.27","29.9","1.60","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"95","Isaiah Bond","CLV","WR","9","2025","201","28","0.14","55.4","0.61","115","57.2","17.7","15","0.13","31.7","0.48","85","42.3","18.6","13","0.15","23.4","0.80","0","0.0","","0","0.00","","0.00","1","0.5","0.4","0","0.00","0.3","0.00"
"96","Josh Downs","IND","WR","9","2025","199","47","0.24","60.7","1.59","39","19.6","6.8","11","0.28","11.9","1.31","159","79.9","36.1","36","0.23","48.5","1.62","0","0.0","","0","0.00","","0.00","1","0.5","0.5","0","0.00","0.3","0.00"
"97","JuJu Smith-Schuster","KC","WR","10","2025","199","28","0.14","47.7","1.46","109","54.8","15.4","10","0.09","26.1","1.03","89","44.7","14.7","18","0.20","21.3","2.01","1","0.5","0.6","0","0.00","0.2","0.00","0","0.0","","0","0.00","","0.00"
"98","Alvin Kamara","NO","RB","10","2025","196","37","0.19","50.8","0.93","15","7.7","2.2","2","0.13","3.9","1.87","16","8.2","2.6","1","0.06","4.1","0.00","0","0.0","","0","0.00","","0.00","165","84.2","67.9","34","0.21","42.7","0.93"
"99","Van Jefferson","TEN","WR","10","2025","196","32","0.16","50.6","0.96","175","89.3","25.7","27","0.15","45.2","0.88","21","10.7","3.8","5","0.24","5.4","1.67","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"100","Arian Smith","NYJ","WR","10","2025","195","10","0.05","55.4","0.24","106","54.4","16.9","7","0.07","30.1","0.42","89","45.6","19.2","3","0.03","25.3","0.02","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
