"Player Details","","","","","","Overall","","","","","Horizontally Breaking","","","","","","Vertically Breaking","","","","","","Static","","","","","","Shallow/Underneath","","","","","","Backfield","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE"
"20","Michael Pittman","IND","WR","10","2025","301","0.076","1.90","0.22","10.6","109","36.2","0.138","1.91","0.21","16.5","85","28.2","0.012","0.17","1.62","4.7","72","23.9","0.042","0.22","2.12","8.3","34","11.3","0.118","1.72","0.36","11.8","1","0.3","0.000","14.00","1.00","0.0"
"21","Marvin Harrison","ARZ","WR","9","2025","300","0.070","1.73","0.20","13.7","110","36.7","0.118","1.54","0.18","19.1","103","34.3","0.019","0.18","2.13","9.7","69","23.0","0.072","0.26","1.48","13.0","18","6.0","0.056","1.56","0.28","5.6","","0.0","","","","0.0"
"22","Keenan Allen","LAC","WR","11","2025","299","0.067","1.92","0.27","15.1","148","49.5","0.128","2.20","0.27","22.3","49","16.4","-0.041","0.19","1.13","8.2","85","28.4","0.035","0.33","2.13","8.2","17","5.7","0.000","0.89","0.11","5.9","","0.0","","","","0.0"
"23","DeVonta Smith","PHI","WR","10","2025","298","0.081","2.18","0.22","14.8","97","32.6","0.082","2.35","0.25","21.6","93","31.2","0.108","0.14","2.29","12.9","85","28.5","0.047","0.23","1.58","10.6","23","7.7","0.087","3.22","0.39","8.7","","0.0","","","","0.0"
"24","Rome Odunze","CHI","WR","10","2025","297","0.081","1.94","0.24","14.5","112","37.7","0.089","2.68","0.31","19.6","114","38.4","0.088","0.18","1.34","12.3","50","16.8","0.000","0.13","0.79","8.0","20","6.7","0.100","3.91","0.41","10.0","1","0.3","2.000","","","100.0"
"25","Theo Johnson","NYG","TE","11","2025","297","-0.007","1.14","0.18","6.7","86","29.0","0.012","2.05","0.17","15.1","87","29.3","0.023","0.15","0.75","8.0","42","14.1","-0.119","0.14","0.74","0.0","66","22.2","0.000","1.00","0.25","0.0","16","5.4","0.000","0.06","0.12","0.0"
"26","Andrei Iosivas","CIN","WR","10","2025","295","0.058","0.85","0.12","11.5","109","36.9","0.119","0.85","0.13","21.1","120","40.7","0.058","0.07","0.94","8.3","44","14.9","-0.091","0.20","0.77","0.0","21","7.1","0.048","0.62","0.14","4.8","1","0.3","0.000","","","0.0"
"27","Elic Ayomanor","TEN","WR","10","2025","294","0.078","1.12","0.19","11.2","110","37.4","0.109","0.95","0.20","12.7","120","40.8","0.067","0.17","1.12","12.5","56","19.0","0.018","0.18","0.91","5.4","8","2.7","0.250","4.78","0.44","12.5","","0.0","","","","0.0"
"28","Jameson Williams","DET","WR","10","2025","293","0.048","1.89","0.16","11.3","115","39.2","0.078","1.93","0.14","14.8","119","40.6","0.042","0.12","1.43","9.2","34","11.6","0.029","0.31","2.69","14.7","25","8.5","-0.040","2.77","0.31","0.0","","0.0","","","","0.0"
"29","Amon-Ra St. Brown","DET","WR","10","2025","292","0.147","2.49","0.31","16.8","133","45.5","0.211","3.37","0.37","23.3","76","26.0","0.171","0.23","2.04","19.7","48","16.4","0.000","0.21","1.23","2.1","33","11.3","0.061","2.00","0.41","6.1","2","0.7","0.000","","","0.0"
