"Player Details","","","","","","Overall","","","","","Horizontally Breaking","","","","","","Vertically Breaking","","","","","","Static","","","","","","Shallow/Underneath","","","","","","Backfield","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE"
"76","CeeDee Lamb","DAL","WR","7","2025","224","0.121","2.46","0.26","18.3","84","37.5","0.286","3.25","0.33","33.3","69","30.8","0.029","0.13","2.13","10.1","57","25.4","0.018","0.26","1.89","10.5","13","5.8","0.000","1.85","0.54","0.0","1","0.4","0.000","","","0.0"
"77","Darnell Mooney","ATL","WR","8","2025","224","-0.018","0.98","0.18","7.1","66","29.5","0.015","0.49","0.16","10.6","110","49.1","-0.045","0.11","0.50","2.7","40","17.9","0.000","0.39","3.24","15.0","8","3.6","0.000","0.25","0.13","0.0","","0.0","","","","0.0"
"78","Javonte Williams","DAL","RB","10","2025","221","0.000","0.42","0.15","0.0","4","1.8","0.000","","","0.0","1","0.5","0.000","","","0.0","","0.0","","","","0.0","15","6.8","0.000","0.53","0.13","0.0","201","91.0","0.000","0.42","0.15","0.0"
"79","Malik Washington","MIA","WR","11","2025","220","0.005","1.03","0.20","3.6","84","38.2","-0.012","0.69","0.15","4.8","46","20.9","0.000","0.10","0.47","2.2","39","17.7","0.026","0.20","1.83","5.1","42","19.1","0.024","1.43","0.38","2.4","9","4.1","0.000","2.00","0.33","0.0"
"80","Parker Washington","JAX","WR","10","2025","218","0.028","1.58","0.22","10.1","89","40.8","0.022","1.95","0.27","13.5","69","31.7","0.014","0.14","0.39","8.7","46","21.1","0.043","0.22","2.13","4.3","14","6.4","0.071","3.43","0.29","14.3","","0.0","","","","0.0"
"81","Garrett Wilson","NYJ","WR","7","2025","217","0.092","1.81","0.25","12.9","94","43.3","0.181","2.29","0.31","20.2","60","27.6","0.000","0.15","1.20","8.3","48","22.1","0.083","0.23","1.73","8.3","15","6.9","-0.067","1.47","0.40","0.0","","0.0","","","","0.0"
"82","Keon Coleman","BUF","WR","9","2025","216","-0.028","1.47","0.21","7.4","72","33.3","0.056","2.11","0.23","12.5","78","36.1","-0.077","0.19","1.14","6.4","46","21.3","-0.087","0.26","1.37","2.2","20","9.3","0.000","0.75","0.15","5.0","","0.0","","","","0.0"
"83","Mack Hollins","NE","WR","11","2025","213","0.136","1.78","0.18","15.0","98","46.0","0.204","1.75","0.17","21.4","72","33.8","0.069","0.11","1.44","8.3","30","14.1","0.100","0.27","2.53","10.0","13","6.1","0.077","2.23","0.38","15.4","","0.0","","","","0.0"
"84","Brock Bowers","LV","TE","7","2025","213","0.056","2.13","0.25","8.9","84","39.4","0.202","2.38","0.22","19.0","51","23.9","-0.039","0.16","1.33","3.9","41","19.2","-0.049","0.37","2.63","2.4","35","16.4","-0.029","2.20","0.31","0.0","2","0.9","0.000","","","0.0"
"85","Kayshon Boutte","NE","WR","9","2025","213","0.099","1.99","0.14","11.7","76","35.7","0.000","0.92","0.11","7.9","108","50.7","0.111","0.12","2.35","10.2","24","11.3","0.250","0.33","3.63","29.2","5","2.3","0.600","2.20","0.20","20.0","","0.0","","","","0.0"
"86","Travis Hunter","JAX","WR","7","2025","211","0.014","1.41","0.21","7.1","64","30.3","-0.063","0.81","0.22","7.8","66","31.3","0.091","0.15","2.45","12.1","47","22.3","0.021","0.09","0.21","4.3","30","14.2","0.000","2.00","0.45","0.0","4","1.9","0.000","3.00","0.50","0.0"
"87","Chase Brown","CIN","RB","10","2025","210","0.029","1.08","0.24","2.4","7","3.3","0.000","","0.57","0.0","2","1.0","0.000","","","0.0","12","5.7","0.083","0.08","1.08","8.3","9","4.3","0.000","1.64","0.27","0.0","180","85.7","0.028","1.09","0.24","2.2"
"88","Jahan Dotson","PHI","WR","10","2025","210","0.005","0.91","0.08","7.6","43","20.5","0.000","0.77","0.09","14.0","81","38.6","-0.012","0.05","1.10","2.5","70","33.3","0.043","0.07","0.82","10.0","16","7.6","-0.063","0.69","0.25","6.3","","0.0","","","","0.0"
"89","Jalen Tolbert","DAL","WR","10","2025","210","-0.029","0.82","0.12","6.7","62","29.5","-0.048","0.58","0.13","11.3","88","41.9","-0.057","0.07","0.96","2.3","43","20.5","0.000","0.16","0.74","7.0","17","8.1","0.118","1.12","0.24","11.8","","0.0","","","","0.0"
"90","Evan Engram","DEN","TE","10","2025","205","0.049","1.25","0.23","7.8","69","33.7","0.029","0.57","0.11","13.0","41","20.0","0.122","0.15","0.68","9.8","35","17.1","0.029","0.25","1.64","2.9","57","27.8","0.018","2.17","0.41","1.8","3","1.5","0.333","2.33","0.33","33.3"
"91","Xavier Worthy","KC","WR","8","2025","201","0.060","1.34","0.21","11.4","67","33.3","0.075","1.63","0.21","16.4","82","40.8","-0.012","0.14","0.73","7.3","22","10.9","0.273","0.23","2.77","22.7","29","14.4","0.069","1.45","0.45","3.4","1","0.5","0.000","","","0.0"
"92","Cooper Kupp","SEA","WR","9","2025","201","0.025","1.87","0.19","10.0","86","42.8","0.047","2.19","0.19","14.0","48","23.9","0.083","0.10","1.20","12.5","50","24.9","-0.060","0.23","1.77","4.0","16","8.0","0.000","1.44","0.31","0.0","1","0.5","0.000","17.00","1.00","0.0"
"93","Rashod Bateman","BLT","WR","9","2025","201","0.065","0.95","0.14","15.4","78","38.8","0.154","0.83","0.13","20.5","69","34.3","-0.014","0.12","0.52","11.6","44","21.9","0.023","0.18","1.76","13.6","9","4.5","0.111","1.44","0.33","11.1","1","0.5","0.000","","","0.0"
"94","Josh Downs","IND","WR","9","2025","198","0.101","1.59","0.24","11.1","61","30.8","0.213","2.30","0.31","23.0","60","30.3","0.083","0.12","1.08","5.0","48","24.2","0.000","0.33","1.69","4.2","28","14.1","0.071","1.03","0.17","10.7","1","0.5","0.000","","","0.0"
"95","Isaiah Bond","CLV","WR","9","2025","196","0.041","0.61","0.14","10.2","68","34.7","0.118","0.91","0.16","17.6","85","43.4","-0.012","0.09","0.40","7.1","23","11.7","0.000","0.04","","4.3","19","9.7","0.053","1.20","0.40","5.3","1","0.5","0.000","","","0.0"
"96","Arian Smith","NYJ","WR","10","2025","195","0.036","0.24","0.05","7.2","58","29.7","0.086","","0.02","10.3","91","46.7","0.033","0.03","","7.7","33","16.9","0.000","0.09","1.36","3.0","13","6.7","-0.077","0.15","0.23","0.0","","0.0","","","","0.0"
"97","Olamide Zaccheaus","CHI","WR","10","2025","194","-0.015","1.22","0.24","7.2","67","34.5","0.045","0.90","0.26","14.9","53","27.3","-0.132","0.05","","1.9","45","23.2","0.000","0.37","2.57","4.4","28","14.4","0.036","2.23","0.33","3.6","1","0.5","0.000","","","0.0"
"98","Van Jefferson","TEN","WR","10","2025","194","-0.026","0.96","0.16","8.2","61","31.4","0.016","0.74","0.16","11.5","74","38.1","-0.081","0.16","1.24","8.1","44","22.7","0.045","0.13","0.38","6.8","15","7.7","-0.133","2.27","0.27","0.0","","0.0","","","","0.0"
"99","JuJu Smith-Schuster","KC","WR","10","2025","194","0.026","1.46","0.14","10.3","86","44.3","0.070","1.81","0.16","16.3","35","18.0","0.000","0.03","0.11","14.3","49","25.3","-0.020","0.12","1.14","2.0","24","12.4","0.000","2.83","0.29","0.0","","0.0","","","","0.0"
"100","Alvin Kamara","NO","RB","10","2025","193","0.005","0.93","0.19","0.5","7","3.6","-0.143","3.14","0.14","0.0","9","4.7","0.000","","","0.0","8","4.1","0.000","0.25","0.75","0.0","13","6.7","0.000","-0.38","0.15","0.0","156","80.8","0.013","1.00","0.20","0.6"
"101","Jayden Higgins","HST","WR","10","2025","192","0.047","1.31","0.18","11.5","87","45.3","0.069","1.00","0.16","12.6","66","34.4","0.091","0.18","1.24","12.1","31","16.1","-0.097","0.29","1.81","9.7","8","4.2","0.000","3.50","0.13","0.0","","0.0","","","","0.0"
"102","Tyler Lockett","TEN, LV","WR","10","2025","190","0.021","0.77","0.15","7.4","76","40.0","0.013","0.84","0.17","13.2","58","30.5","0.052","0.05","0.33","3.4","34","17.9","-0.029","0.15","0.76","2.9","22","11.6","0.045","1.73","0.32","4.5","","0.0","","","","0.0"
"103","Mark Andrews","BLT","TE","10","2025","189","0.058","1.43","0.22","9.5","73","38.6","0.137","1.78","0.28","17.8","45","23.8","0.044","0.17","1.57","8.9","41","21.7","-0.049","0.21","0.81","0.0","30","15.9","0.033","1.23","0.17","3.3","","0.0","","","","0.0"
"104","Tez Johnson","TB","WR","9","2025","186","0.081","1.38","0.16","10.2","57","30.6","0.140","1.02","0.16","15.8","79","42.5","0.089","0.12","1.45","8.9","36","19.4","0.000","0.17","1.06","8.3","13","7.0","0.000","3.54","0.46","0.0","1","0.5","0.000","","","0.0"
"105","Tucker Kraft","GB","TE","8","2025","185","0.070","2.57","0.22","9.2","40","21.6","0.075","1.05","0.08","15.0","34","18.4","0.265","0.25","5.69","23.5","32","17.3","0.000","0.16","0.44","0.0","79","42.7","0.013","2.78","0.30","3.8","","0.0","","","","0.0"
"106","Jonnu Smith","PIT","TE","10","2025","185","-0.043","0.85","0.19","1.1","59","31.9","-0.102","0.25","0.08","3.4","46","24.9","-0.043","0.14","0.43","0.0","28","15.1","0.000","0.21","1.79","0.0","48","25.9","0.000","1.56","0.38","0.0","4","2.2","0.000","","","0.0"
"107","Chris Moore","WAS","WR","10","2025","184","0.049","1.02","0.11","14.7","48","26.1","0.208","1.55","0.14","25.0","86","46.7","0.000","0.06","0.64","10.5","47","25.5","-0.021","0.16","1.22","12.8","3","1.6","0.000","","","0.0","","0.0","","","","0.0"
"108","Chimere Dike","TEN","WR","10","2025","180","0.022","1.14","0.19","6.1","55","30.6","-0.073","0.96","0.14","3.6","70","38.9","0.100","0.10","0.84","10.0","23","12.8","-0.043","0.17","1.25","0.0","32","17.8","0.063","2.00","0.47","6.3","","0.0","","","","0.0"
"109","Jake Tonges","SF","TE","11","2025","180","-0.017","1.24","0.19","2.8","48","26.7","0.000","0.79","0.17","6.3","50","27.8","-0.040","0.15","1.21","2.0","31","17.2","-0.065","0.16","1.00","0.0","49","27.2","0.020","1.69","0.27","2.0","2","1.1","0.000","5.50","0.50","0.0"
"110","Matthew Golden","GB","WR","9","2025","178","0.101","1.55","0.17","11.2","64","36.0","0.125","1.35","0.14","12.5","66","37.1","0.152","0.11","1.62","15.2","25","14.0","0.000","0.20","1.92","4.0","23","12.9","0.000","1.48","0.39","4.3","","0.0","","","","0.0"
"111","Calvin Austin","PIT","WR","8","2025","176","-0.017","1.31","0.19","7.4","63","35.8","-0.032","1.12","0.17","11.1","76","43.2","0.000","0.13","0.74","6.6","23","13.1","-0.130","0.24","2.24","0.0","13","7.4","0.000","2.69","0.62","0.0","1","0.6","2.000","18.00","1.00","100.0"
"112","AJ Barner","SEA","TE","10","2025","176","0.000","1.63","0.18","1.1","56","31.8","-0.071","0.90","0.18","0.0","33","18.8","0.121","0.17","3.44","6.1","37","21.0","0.000","0.14","0.95","0.0","46","26.1","0.000","1.80","0.22","0.0","4","2.3","0.000","0.75","0.25","0.0"
"113","Tony Pollard","TEN","RB","10","2025","176","-0.006","0.84","0.15","0.0","1","0.6","-1.000","","","0.0","1","0.6","0.000","","","0.0","2","1.1","0.000","","","0.0","13","7.4","0.000","","0.08","0.0","159","90.3","0.000","0.92","0.16","0.0"
"114","Dyami Brown","JAX","WR","9","2025","174","0.046","1.24","0.20","13.2","70","40.2","0.129","1.51","0.18","18.6","60","34.5","-0.033","0.20","1.00","6.7","36","20.7","0.028","0.19","1.08","16.7","8","4.6","0.000","1.38","0.50","0.0","","0.0","","","","0.0"
"115","Kyren Williams","LA","RB","10","2025","174","0.023","1.04","0.17","1.7","5","2.9","0.200","3.60","0.40","20.0","5","2.9","0.200","0.40","6.00","20.0","1","0.6","0.000","","","0.0","8","4.6","0.000","","","0.0","155","89.1","0.013","0.86","0.17","0.6"
"116","Ashton Jeanty","LV","RB","10","2025","172","0.006","0.94","0.21","0.6","","0.0","","","","0.0","1","0.6","0.000","","","0.0","2","1.2","0.000","","","0.0","10","5.8","0.000","1.50","0.40","0.0","159","92.4","0.006","0.93","0.21","0.6"
"117","Cedric Tillman","CLV","WR","6","2025","172","0.110","0.96","0.15","16.3","66","38.4","0.167","1.80","0.21","19.7","56","32.6","0.071","0.07","0.52","14.3","42","24.4","0.071","0.12","0.40","14.3","8","4.7","0.125","0.25","0.38","12.5","","0.0","","","","0.0"
"118","Colston Loveland","CHI","TE","9","2025","172","0.012","1.84","0.18","5.2","58","33.7","0.052","1.42","0.20","6.9","44","25.6","0.000","0.17","2.76","9.1","33","19.2","-0.030","0.17","1.63","3.0","34","19.8","0.000","1.42","0.17","0.0","3","1.7","0.000","3.33","0.33","0.0"
"119","Rachaad White","TB","RB","10","2025","172","0.000","0.83","0.17","1.2","6","3.5","0.167","","","33.3","6","3.5","-0.167","0.14","","0.0","2","1.2","0.000","0.50","6.50","0.0","13","7.6","0.000","0.31","0.15","0.0","145","84.3","0.000","0.89","0.17","0.0"
"120","Tommy Tremble","CAR","TE","11","2025","170","0.000","1.08","0.14","2.9","45","26.5","-0.044","1.64","0.13","2.2","40","23.5","0.025","0.08","0.18","5.0","34","20.0","-0.029","0.12","0.88","0.0","46","27.1","0.043","1.55","0.23","4.3","5","2.9","0.000","","","0.0"
"121","Dont'e Thornton","LV","WR","9","2025","170","-0.018","0.58","0.12","8.2","51","30.0","-0.137","0.18","0.14","7.8","86","50.6","0.081","0.12","0.65","10.5","26","15.3","-0.115","0.08","0.15","3.8","7","4.1","0.000","4.14","0.29","0.0","","0.0","","","","0.0"
"122","Tyquan Thornton","KC","WR","10","2025","170","0.106","2.15","0.17","15.3","37","21.8","0.081","0.32","0.05","13.5","114","67.1","0.123","0.21","2.77","16.7","13","7.6","0.077","0.15","2.62","15.4","6","3.5","0.000","0.83","0.17","0.0","","0.0","","","","0.0"
"123","Jahmyr Gibbs","DET","RB","10","2025","167","0.012","2.00","0.26","3.0","6","3.6","0.000","","","0.0","2","1.2","0.000","","","0.0","4","2.4","0.000","0.75","3.00","0.0","8","4.8","0.125","8.25","0.63","12.5","147","88.0","0.007","1.74","0.24","2.7"
"124","Cole Kmet","CHI","TE","9","2025","164","0.006","1.14","0.16","3.0","44","26.8","0.023","1.36","0.14","6.8","35","21.3","-0.057","0.21","2.21","0.0","28","17.1","0.036","0.11","0.25","3.6","51","31.1","0.020","0.80","0.18","2.0","6","3.7","0.000","","0.14","0.0"
"125","Zay Jones","ARZ","WR","8","2025","161","0.062","1.12","0.10","11.2","54","33.5","0.000","1.76","0.18","13.0","67","41.6","0.104","0.04","0.99","10.4","32","19.9","0.125","0.06","0.47","12.5","8","5.0","-0.125","0.50","0.13","0.0","","0.0","","","","0.0"
"126","Jordan Whittington","LA","WR","10","2025","158","0.044","0.82","0.11","8.9","44","27.8","0.114","0.70","0.05","18.2","58","36.7","-0.034","0.05","0.68","1.7","29","18.4","0.103","0.03","0.24","13.8","25","15.8","0.040","1.72","0.44","4.0","2","1.3","0.000","4.50","0.50","0.0"
"127","Pat Bryant","DEN","WR","11","2025","157","0.051","1.43","0.14","10.8","84","53.5","0.095","1.64","0.16","15.5","42","26.8","0.048","0.11","1.64","9.5","19","12.1","-0.105","0.11","0.68","0.0","12","7.6","0.000","0.42","0.08","0.0","","0.0","","","","0.0"
"128","Greg Dortch","ARZ","WR","10","2025","156","0.045","0.89","0.14","5.8","46","29.5","0.022","0.28","0.07","6.5","41","26.3","0.073","0.02","0.40","4.9","20","12.8","-0.050","0.10","1.35","5.0","43","27.6","0.093","1.79","0.35","7.0","6","3.8","0.000","0.83","0.17","0.0"
"129","TreVeyon Henderson","NE","RB","11","2025","155","0.000","1.04","0.18","0.0","2","1.3","0.000","","","0.0","4","2.6","0.000","","","0.0","4","2.6","0.000","0.25","1.50","0.0","8","5.2","0.000","","0.25","0.0","137","88.4","0.000","1.14","0.19","0.0"
"130","DeMario Douglas","NE","WR","11","2025","155","0.129","2.09","0.21","14.8","55","35.5","0.164","2.16","0.27","21.8","51","32.9","0.059","0.08","1.96","7.8","19","12.3","0.263","0.21","1.95","21.1","26","16.8","0.077","2.04","0.30","7.7","4","2.6","0.250","3.40","0.40","25.0"
"131","Dawson Knox","BUF","TE","10","2025","154","-0.006","1.13","0.13","6.5","42","27.3","0.071","1.25","0.14","16.7","47","30.5","-0.021","0.15","1.64","4.3","27","17.5","-0.074","0.04","","3.7","34","22.1","-0.029","1.31","0.17","0.0","4","2.6","0.000","","","0.0"
"132","Ricky Pearsall","SF","WR","5","2025","151","0.126","2.15","0.20","18.5","72","47.7","0.222","1.88","0.26","26.4","45","29.8","0.022","0.16","3.87","11.1","26","17.2","0.115","0.15","0.46","15.4","8","5.3","-0.125","0.50","0.13","0.0","","0.0","","","","0.0"
"133","Josh Reynolds","NYJ","WR","5","2025","151","0.000","0.66","0.14","7.3","55","36.4","0.000","0.29","0.11","10.9","54","35.8","0.019","0.13","0.38","7.4","36","23.8","-0.056","0.22","1.78","0.0","6","4.0","0.167","","","16.7","","0.0","","","","0.0"
"134","Saquon Barkley","PHI","RB","10","2025","151","0.020","1.36","0.22","1.3","3","2.0","0.000","","","0.0","5","3.3","0.200","0.20","","20.0","8","5.3","0.000","0.25","1.38","0.0","15","9.9","0.000","0.38","0.25","0.0","120","79.5","0.017","1.58","0.21","0.8"
"135","Kenneth Gainwell","PIT","RB","10","2025","151","0.026","1.30","0.27","2.6","10","6.6","0.400","1.60","0.30","30.0","3","2.0","0.000","","","0.0","5","3.3","0.000","0.60","5.00","0.0","33","21.9","0.000","0.97","0.25","0.0","100","66.2","0.000","1.24","0.26","1.0"
"136","Jaylin Lane","WAS","WR","11","2025","151","0.053","1.47","0.19","14.6","53","35.1","0.019","0.70","0.17","18.9","52","34.4","0.019","0.13","1.74","7.7","32","21.2","0.156","0.34","3.00","21.9","14","9.3","0.071","-0.14","0.14","7.1","","0.0","","","","0.0"
"137","Pat Freiermuth","PIT","TE","10","2025","150","-0.060","1.79","0.18","4.0","45","30.0","-0.044","1.85","0.23","8.9","48","32.0","-0.063","0.08","1.98","4.2","28","18.7","-0.143","0.21","1.00","0.0","29","19.3","0.000","2.13","0.23","0.0","","0.0","","","","0.0"
"138","Nick Westbrook-Ikhine","MIA","WR","11","2025","149","-0.020","0.58","0.11","1.3","46","30.9","-0.022","0.30","0.09","2.2","48","32.2","0.021","0.04","0.71","2.1","33","22.1","-0.091","0.20","0.71","0.0","22","14.8","0.000","0.68","0.18","0.0","","0.0","","","","0.0"
"139","Marvin Mims","DEN","WR","9","2025","149","0.107","1.53","0.21","10.1","29","19.5","0.103","0.83","0.23","13.8","64","43.0","0.188","0.14","1.68","14.1","26","17.4","0.000","0.11","0.52","3.8","27","18.1","0.037","2.00","0.41","3.7","3","2.0","0.000","10.00","0.67","0.0"
"140","Christian Kirk","HST","WR","6","2025","148","0.014","0.96","0.19","7.4","47","31.8","0.021","1.21","0.21","17.0","49","33.1","0.082","0.12","0.94","6.1","23","15.5","-0.130","0.13","0.13","0.0","27","18.2","0.000","1.11","0.29","0.0","2","1.4","0.000","3.00","0.50","0.0"
"141","Calvin Ridley","TEN","WR","7","2025","147","-0.007","2.05","0.23","6.8","67","45.6","0.000","1.99","0.27","9.0","53","36.1","0.019","0.13","1.60","7.5","23","15.6","-0.043","0.26","2.52","0.0","4","2.7","-0.250","5.40","0.60","0.0","","0.0","","","","0.0"
"142","Tre Harris","LAC","WR","11","2025","145","0.007","0.91","0.13","8.3","39","26.9","0.128","1.38","0.15","17.9","55","37.9","-0.073","0.07","0.41","3.6","29","20.0","0.000","0.10","0.97","10.3","22","15.2","0.000","1.32","0.27","0.0","","0.0","","","","0.0"
"143","Noah Fant","CIN","TE","9","2025","144","0.007","1.73","0.22","2.8","29","20.1","0.034","1.69","0.14","6.9","31","21.5","0.032","0.03","0.70","3.2","38","26.4","0.026","0.29","2.11","2.6","44","30.6","-0.045","2.26","0.37","0.0","2","1.4","0.000","","","0.0"
"144","Ja'Tavion Sanders","CAR","TE","8","2025","144","0.042","1.16","0.20","7.6","50","34.7","0.020","1.16","0.18","8.0","36","25.0","0.028","0.11","0.47","8.3","26","18.1","0.077","0.42","2.73","7.7","31","21.5","0.065","0.71","0.16","6.5","1","0.7","0.000","","","0.0"
"145","David Sills","ATL","WR","10","2025","144","0.028","0.23","0.05","9.0","41","28.5","0.122","0.21","0.05","14.6","62","43.1","0.081","0.03","","9.7","33","22.9","-0.182","0.09","0.70","3.0","8","5.6","0.000","0.25","0.13","0.0","","0.0","","","","0.0"
"146","Travis Etienne","JAX","RB","10","2025","144","0.000","0.90","0.21","0.0","3","2.1","0.000","","","0.0","","0.0","","","","0.0","6","4.2","0.000","0.17","","0.0","15","10.4","0.000","1.73","0.27","0.0","120","83.3","0.000","0.87","0.21","0.0"
"147","Noah Gray","KC","TE","10","2025","143","0.000","0.74","0.14","7.0","39","27.3","0.000","1.00","0.15","10.3","44","30.8","0.045","0.15","0.93","11.4","26","18.2","-0.077","0.04","0.23","3.8","32","22.4","0.000","0.31","0.16","0.0","2","1.4","0.000","4.00","0.50","0.0"
"148","Hunter Renfrow","CAR","WR","6","2025","142","0.113","0.62","0.16","11.3","51","35.9","0.255","0.45","0.18","23.5","46","32.4","0.065","0.11","0.54","6.5","32","22.5","0.000","0.15","0.76","0.0","13","9.2","0.000","1.23","0.31","7.7","","0.0","","","","0.0"
"149","Kalif Raymond","DET","WR","10","2025","142","0.063","0.80","0.12","7.7","47","33.1","0.085","1.23","0.15","10.6","41","28.9","0.049","","","4.9","37","26.1","0.081","0.14","0.86","10.8","17","12.0","0.000","1.35","0.29","0.0","","0.0","","","","0.0"
"150","Tyler Higbee","LA","TE","9","2025","141","-0.014","1.29","0.20","3.5","47","33.3","-0.021","0.72","0.13","8.5","36","25.5","-0.028","0.13","0.64","2.8","25","17.7","0.000","0.08","0.28","0.0","32","22.7","0.000","3.54","0.49","0.0","1","0.7","0.000","","","0.0"
"151","Demarcus Robinson","SF","WR","8","2025","140","0.064","1.08","0.16","13.6","51","36.4","0.039","0.54","0.10","13.7","50","35.7","0.000","0.19","1.17","10.0","31","22.1","0.226","0.23","2.16","22.6","8","5.7","0.000","-0.13","0.13","0.0","","0.0","","","","0.0"
"152","D'Andre Swift","CHI","RB","9","2025","140","0.021","1.48","0.23","2.1","4","2.9","0.250","13.75","0.50","25.0","2","1.4","0.000","","","0.0","2","1.4","0.000","","","0.0","15","10.7","0.000","1.27","0.27","0.0","117","83.6","0.017","1.15","0.22","1.7"
"153","KaVontae Turpin","DAL","WR","8","2025","139","0.173","1.30","0.17","15.1","41","29.5","0.293","2.07","0.20","26.8","55","39.6","0.164","0.03","0.47","10.9","21","15.1","0.095","0.24","1.71","14.3","21","15.1","0.048","1.71","0.43","4.8","1","0.7","0.000","","","0.0"
"154","James Cook","BUF","RB","10","2025","138","0.007","1.34","0.16","0.7","2","1.4","0.000","","","0.0","1","0.7","0.000","","","0.0","1","0.7","0.000","","","0.0","2","1.4","0.000","1.50","0.50","0.0","132","95.7","0.008","1.38","0.15","0.8"
"155","Rico Dowdle","CAR","RB","11","2025","138","0.000","1.43","0.20","0.7","11","8.0","0.000","1.00","0.09","0.0","10","7.2","0.000","","","0.0","6","4.3","0.000","","","0.0","5","3.6","0.000","","0.20","0.0","106","76.8","0.000","1.75","0.24","0.9"
"156","George Kittle","SF","TE","6","2025","138","0.014","1.79","0.21","7.2","57","41.3","0.035","1.95","0.24","12.3","29","21.0","0.069","0.14","2.45","6.9","16","11.6","-0.188","0.06","0.19","0.0","36","26.1","0.028","1.73","0.30","2.8","","0.0","","","","0.0"
"157","Jerome Ford","CLV","RB","10","2025","137","0.007","0.55","0.18","0.7","3","2.2","0.000","","","0.0","3","2.2","0.000","","","0.0","3","2.2","0.000","0.33","","0.0","13","9.5","0.000","","","0.0","115","83.9","0.009","0.66","0.21","0.9"
"158","Josh Jacobs","GB","RB","10","2025","137","-0.007","1.72","0.25","0.0","3","2.2","-0.333","11.67","0.67","0.0","6","4.4","0.000","","","0.0","2","1.5","0.000","","","0.0","11","8.0","0.000","3.73","0.36","0.0","115","83.9","0.000","1.39","0.24","0.0"
"159","Gunnar Helm","TEN","TE","10","2025","137","0.015","1.54","0.21","5.1","29","21.2","0.138","1.90","0.17","17.2","30","21.9","0.033","0.16","1.58","6.7","31","22.6","0.000","0.29","1.84","0.0","47","34.3","-0.064","1.12","0.20","0.0","","0.0","","","","0.0"
"160","Tyler Johnson","NYJ","WR","9","2025","135","-0.044","1.36","0.10","3.0","48","35.6","-0.146","1.76","0.12","2.1","47","34.8","0.000","0.11","1.38","4.3","21","15.6","0.000","0.05","0.24","0.0","19","14.1","0.053","1.42","0.11","5.3","","0.0","","","","0.0"
"161","Dontayvion Wicks","GB","WR","8","2025","135","0.126","1.31","0.20","16.3","48","35.6","0.146","2.92","0.39","27.1","45","33.3","0.111","0.09","","11.1","34","25.2","0.118","0.11","0.97","8.8","8","5.9","0.125","0.50","0.13","12.5","","0.0","","","","0.0"
"162","Chuba Hubbard","CAR","RB","9","2025","134","0.000","0.92","0.18","0.0","9","6.7","0.000","1.78","0.11","0.0","8","6.0","0.000","0.11","","0.0","7","5.2","0.000","","","0.0","10","7.5","0.000","3.20","0.20","0.0","100","74.6","0.000","0.75","0.19","0.0"
"163","Woody Marks","HST","RB","10","2025","132","0.008","1.42","0.19","3.0","2","1.5","0.000","","","0.0","4","3.0","0.000","","","25.0","","0.0","","","","0.0","6","4.5","-0.333","","0.17","0.0","120","90.9","0.025","1.56","0.20","2.5"
"164","Michael Mayer","LV","TE","8","2025","132","-0.008","1.25","0.23","3.0","31","23.5","0.032","0.48","0.13","6.5","36","27.3","-0.056","0.08","0.11","2.8","23","17.4","0.043","0.35","2.83","4.3","38","28.8","-0.026","1.84","0.34","0.0","4","3.0","0.000","2.75","0.50","0.0"
"165","Rhamondre Stevenson","NE","RB","8","2025","131","0.008","1.28","0.14","2.3","3","2.3","0.000","5.00","0.33","0.0","3","2.3","-0.333","0.33","","0.0","1","0.8","0.000","","","0.0","2","1.5","0.000","","","0.0","122","93.1","0.016","1.25","0.14","2.5"
"166","Ray-Ray McCloud","ATL, NYG","WR","6","2025","128","0.039","0.54","0.10","10.2","43","33.6","0.140","1.00","0.14","20.9","43","33.6","0.023","0.02","","7.0","33","25.8","-0.061","0.06","0.39","3.0","9","7.0","0.000","1.44","0.44","0.0","","0.0","","","","0.0"
"167","Jamari Thrash","CLV","WR","9","2025","127","0.000","0.84","0.11","5.5","51","40.2","0.059","1.00","0.13","9.8","50","39.4","-0.040","0.02","","2.0","18","14.2","-0.056","0.17","2.33","5.6","8","6.3","0.000","1.63","0.38","0.0","","0.0","","","","0.0"
"168","Ryan Flournoy","DAL","WR","9","2025","126","0.000","1.57","0.18","7.9","35","27.8","-0.114","2.06","0.20","8.6","37","29.4","0.027","0.08","1.34","5.4","42","33.3","0.095","0.24","1.50","11.9","12","9.5","-0.083","1.17","0.25","0.0","","0.0","","","","0.0"
"169","Isiah Pacheco","KC","RB","8","2025","126","0.000","0.34","0.13","0.0","3","2.4","0.000","","","0.0","6","4.8","0.000","","","0.0","","0.0","","","","0.0","10","7.9","0.000","","","0.0","107","84.9","0.000","0.40","0.16","0.0"
