Dataset,Records,Seasons,Priority
ESPN QBR Week,10441,2006-2025,HIGH
Injuries,84684,2009.0-2024.0,HIGH
Team Stats Week,14259,1999-2025,HIGH
Snap Counts,311921,2013-2025,MEDIUM
Officials,20877,2006-2025,LOW
PFR Adv Receiving,33534,2018-2025,MEDIUM
PFR Adv Rushing,17321,2018-2025,MEDIUM
Player Stats,466936,1999-2025,MEDIUM
Rosters Weekly,886361,2002-2025,LOW
Draft Picks,12670,1980-2025,LOW
Trades,4847,2002.0-2025.0,LOW
